# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "gbc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/PolII-PROseq.counts.cds.txt" "./ChIP-nexus/mapped/bam_dm6/Input_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped/bam_dm6/PolII_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep2.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep2.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP-nexus/mapped/bam_dm6/Input_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped/bam_dm6/PolII_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep2.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep2.dm6.bowtie2.sorted.bam
FBtr0345674	2R	11117325	11121384	-	4060	563	151	326	1077	429	512
FBtr0089419	2R	11120066	11121384	-	1319	0	0	0	0	0	0
FBtr0089418	2R	11123758	11125147	-	1390	155	40	90	243	79	99
FBtr0088202	2R	11136423	11139215	+	2793	537	126	382	1075	531	469
FBtr0330603	2R	11139404	11171706	-	32303	2762	1506	1751	4618	4030	3718
FBtr0088206	2R	11139969	11143171	-	3203	0	0	0	0	0	0
FBtr0088205	2R	11147702	11149568	-	1867	0	0	0	0	0	0
FBtr0330619	2R	11159586	11217294	+	57709	441	211	288	787	525	442
FBtr0088101	2R	11174303	11217294	+	42992	0	0	0	0	0	0
FBtr0088098	2R	11183724	11217294	+	33571	0	0	0	0	0	0
FBtr0088099	2R	11198776	11217294	+	18519	0	0	0	0	0	0
FBtr0088100	2R	11205129	11217294	+	12166	0	0	0	0	0	0
FBtr0330635	2R	11217516	11218741	-	1226	0	0	0	0	0	0
FBtr0339485	2R	11217516	11219271	-	1756	135	235	89	285	1299	1780
FBtr0088103	2R	11220039	11222010	+	1972	123	119	70	192	412	437
FBtr0088104	2R	11220434	11222380	+	1947	14	13	4	16	35	23
FBtr0088102	2R	11220434	11222238	+	1805	0	0	0	0	0	0
FBtr0088105	2R	11223371	11226646	+	3276	94	55	65	176	265	192
FBtr0339479	2R	11223945	11226646	+	2702	0	0	0	0	0	0
FBtr0339484	2R	11226558	11232016	-	5459	1523	777	1041	3093	1833	1573
FBtr0088111	2R	11250868	11251813	+	946	287	48	171	504	188	141
FBtr0088190	2R	11251851	11252898	-	1048	227	56	206	429	167	149
FBtr0088113	2R	11257007	11258667	+	1661	449	87	309	910	407	245
FBtr0088114	2R	11265626	11266756	+	1131	341	91	267	653	301	212
FBtr0302719	2R	11267015	11272075	-	5061	1009	201	654	1778	802	479
FBtr0345540	2R	11273945	11274786	-	842	25	9	26	47	26	17
FBtr0088184	2R	11274135	11274786	-	652	0	0	0	0	0	0
FBtr0088115	2R	11280225	11280933	+	709	100	320	69	234	857	898
FBtr0332422	2R	11280584	11283471	-	2888	954	1218	538	1705	3065	3059
FBtr0088180	2R	11285248	11289272	-	4025	1048	1418	745	1768	3502	3433
FBtr0088177	2R	11289788	11290596	-	809	357	525	233	710	1440	1562
FBtr0088176	2R	11291094	11292674	-	1581	632	516	418	1162	1633	1411
FBtr0088117	2R	11293031	11293491	+	461	65	188	42	119	777	644
FBtr0299853	2R	11294636	11297020	-	2385	262	757	186	468	2259	2357
FBtr0299856	2R	11294636	11295715	-	1080	0	0	0	0	0	0
FBtr0088118	2R	11302416	11305507	+	3092	427	376	280	745	1512	1489
FBtr0339481	2R	11303995	11305507	+	1513	0	0	0	0	0	0
FBtr0088170	2R	11305611	11307028	-	1418	452	981	274	830	3894	4048
FBtr0088119	2R	11308379	11309729	+	1351	523	370	340	879	1001	1004
FBtr0339483	2R	11310435	11318176	-	7742	213	49	155	396	144	102
FBtr0089379	2R	11310435	11317109	-	6675	0	0	0	0	0	0
FBtr0088166	2R	11319810	11320812	-	1003	290	60	207	527	226	121
FBtr0273343	2R	11324814	11336363	+	11550	310	119	169	522	402	302
FBtr0332463	2R	11326288	11336363	+	10076	0	0	0	0	0	0
FBtr0088162	2R	11341814	11342260	-	447	155	32	84	255	111	79
FBtr0345928	2R	11346825	11347295	+	471	111	24	102	245	100	106
FBtr0088155	2R	11358002	11358676	-	675	138	87	123	244	274	208
FBtr0088126	2R	11361206	11361771	+	566	126	175	82	190	567	514
FBtr0088127	2R	11362400	11363305	+	906	325	401	219	563	1239	1212
FBtr0088128	2R	11367210	11370187	+	2978	220	110	196	406	565	361
FBtr0088129	2R	11368786	11370187	+	1402	0	0	0	0	0	0
FBtr0345952	2R	11370400	11370835	-	436	191	384	131	349	659	671
FBtr0304901	2R	11374107	11377009	+	2903	423	87	272	851	319	246
FBtr0304902	2R	11375683	11377009	+	1327	0	0	0	0	0	0
FBtr0088151	2R	11377293	11378677	-	1385	429	114	293	711	314	179
FBtr0110897	2R	11380447	11383614	-	3168	4	8	7	30	20	28
FBtr0433531	2R	11380549	11383614	-	3066	0	0	0	0	0	0
FBtr0089939	2R	11381425	11383614	-	2190	0	0	0	0	0	0
FBtr0088146	2R	11384843	11396932	-	12090	2554	3645	1672	4669	8413	7912
FBtr0289990	2R	11387260	11388279	-	1020	0	0	0	0	0	0
FBtr0088133	2R	11406097	11407979	+	1883	525	125	376	1036	386	302
FBtr0331390	2R	11411303	11429145	-	17843	134	29	82	274	97	36
FBtr0331388	2R	11412056	11424170	-	12115	0	0	0	0	0	0
FBtr0331389	2R	11412056	11427303	-	15248	0	0	0	0	0	0
FBtr0088142	2R	11412056	11429145	-	17090	0	0	0	0	0	0
FBtr0088137	2R	11436743	11442116	+	5374	1030	204	709	1955	879	621
FBtr0339545	2R	11443005	11451504	+	8500	1728	403	1096	3105	1998	1390
FBtr0330623	2R	11452543	11465170	+	12628	0	0	0	0	0	0
FBtr0330622	2R	11452543	11463930	+	11388	0	0	0	0	0	0
FBtr0088139	2R	11452689	11463930	+	11242	0	0	0	0	0	0
FBtr0088140	2R	11453269	11463930	+	10662	0	0	0	0	0	0
FBtr0330621	2R	11453269	11465170	+	11902	0	0	0	0	0	0
FBtr0088068	2R	11474965	11507080	+	32116	371	519	204	694	1668	1847
FBtr0345673	2R	11476208	11509595	+	33388	420	185	292	831	526	436
FBtr0088069	2R	11476208	11507080	+	30873	0	0	0	0	0	0
FBtr0088096	2R	11524106	11527383	-	3278	0	0	0	0	0	0
FBtr0088095	2R	11524106	11527710	-	3605	110	273	78	217	753	718
FBtr0333070	2R	11577585	11592626	-	15042	229	681	164	490	2553	2648
FBtr0333071	2R	11578980	11604436	-	25457	0	0	0	0	0	0
FBtr0113066	2R	11578980	11615545	-	36566	2269	4142	1530	4055	13586	13771
FBtr0088094	2R	11579617	11582135	-	2519	0	0	0	0	0	0
FBtr0088090	2R	11616969	11618523	-	1555	620	836	427	1052	1945	2124
FBtr0300945	2R	11619579	11632015	-	12437	52	149	36	92	338	202
FBtr0306029	2R	11619950	11640441	-	20492	1560	2400	1070	2747	6261	6309
FBtr0088089	2R	11620288	11632015	-	11728	0	0	0	0	0	0
FBtr0113067	2R	11641577	11645729	-	4153	0	0	0	0	0	0
FBtr0330634	2R	11641577	11651116	-	9540	0	0	0	0	0	0
FBtr0330633	2R	11642368	11651116	-	8749	0	0	0	0	0	0
FBtr0088088	2R	11642368	11645413	-	3046	0	0	0	0	0	0
FBtr0113068	2R	11642368	11648014	-	5647	0	0	0	0	0	0
FBtr0302211	2R	11652856	11678854	-	25999	7	4	11	17	26	14
FBtr0088085	2R	11652934	11678854	-	25921	0	0	0	0	0	0
FBtr0088073	2R	11666268	11674682	+	8415	0	0	0	0	0	0
FBtr0088074	2R	11672556	11674682	+	2127	0	0	0	0	0	0
FBtr0088075	2R	11676435	11677914	+	1480	0	0	0	0	0	0
FBtr0088077	2R	11679992	11688457	+	8466	1385	481	929	2591	1665	1334
FBtr0088084	2R	11684265	11685934	-	1670	0	0	0	0	0	0
FBtr0088083	2R	11688669	11690363	-	1695	50	46	23	66	138	158
FBtr0088082	2R	11689036	11690363	-	1328	0	0	0	0	0	0
FBtr0345619	2R	11691785	11697685	+	5901	462	281	293	887	1095	800
FBtr0088078	2R	11691785	11695346	+	3562	0	0	0	0	0	0
FBtr0088080	2R	11700747	11701949	-	1203	352	76	242	658	266	232
FBtr0113070	2R	11712763	11726245	+	13483	2646	2529	1872	4871	3302	2604
FBtr0304622	2R	11757317	11814324	+	57008	6534	2676	4467	11659	6047	4405
FBtr0088029	2R	11768953	11769461	+	509	0	0	0	0	0	0
FBtr0088065	2R	11787908	11788993	-	1086	0	0	0	0	0	0
FBtr0088030	2R	11790866	11811915	+	21050	0	0	0	0	0	0
FBtr0088031	2R	11825845	11826997	+	1153	400	493	236	721	1193	1285
FBtr0088064	2R	11827270	11839325	-	12056	41	26	27	76	86	105
FBtr0345677	2R	11827270	11839044	-	11775	0	0	0	0	0	0
FBtr0088063	2R	11842203	11843740	-	1538	566	181	386	993	715	610
FBtr0088032	2R	11845824	11852224	+	6401	1934	530	1223	3439	1771	1496
FBtr0332464	2R	11853117	11861102	+	7986	40	105	31	91	252	245
FBtr0088033	2R	11853117	11860753	+	7637	0	0	0	0	0	0
FBtr0347012	2R	11864212	11865883	-	1672	224	66	137	406	253	187
FBtr0088061	2R	11865276	11865883	-	608	0	0	0	0	0	0
FBtr0310323	2R	11867976	11885085	-	17110	5086	3171	3422	9097	8546	8365
FBtr0088034	2R	11886567	11887503	+	937	231	155	160	429	686	633
FBtr0088058	2R	11887668	11890479	-	2812	761	574	539	1533	2019	1969
FBtr0345023	2R	11891635	11895420	+	3786	15	5	16	46	47	7
FBtr0331927	2R	11891896	11895662	+	3767	35	210	24	62	757	654
FBtr0088035	2R	11892622	11895420	+	2799	0	0	0	0	0	0
FBtr0345022	2R	11894042	11895420	+	1379	0	0	0	0	0	0
FBtr0301430	2R	11896097	11903038	-	6942	0	0	0	0	0	0
FBtr0301431	2R	11896097	11903418	-	7322	0	0	0	0	0	0
FBtr0301428	2R	11896942	11903038	-	6097	0	0	0	0	0	0
FBtr0301429	2R	11896942	11903418	-	6477	0	0	0	0	0	0
FBtr0088038	2R	11900017	11901294	+	1278	0	0	0	0	0	0
FBtr0088054	2R	11904423	11912279	-	7857	1997	437	1132	3161	1691	1219
FBtr0088039	2R	11940057	11967335	+	27279	5721	2135	3755	10482	5989	4937
FBtr0088051	2R	11967443	11968350	-	908	0	0	0	0	0	0
FBtr0310157	2R	11967443	11969615	-	2173	170	330	96	301	1182	975
FBtr0088053	2R	11967443	11968154	-	712	0	0	0	0	0	0
FBtr0088041	2R	11971186	11975168	+	3983	0	0	0	0	0	0
FBtr0088042	2R	11971186	11977621	+	6436	474	761	279	869	1619	1524
FBtr0088050	2R	11977636	11978518	-	883	285	369	197	544	805	624
FBtr0088049	2R	11979194	11980038	-	845	390	139	244	698	483	536
FBtr0088048	2R	11980677	11982456	-	1780	501	481	324	933	1570	1540
FBtr0088046	2R	11983245	11984893	-	1649	543	4150	331	964	6235	7920
FBtr0344887	2R	11986508	11987553	+	1046	29	42	16	45	159	163
FBtr0339555	2R	11986613	11988287	-	1675	0	0	0	0	0	0
FBtr0088045	2R	11986818	11988287	-	1470	0	0	0	0	0	0
FBtr0088043	2R	11989631	11991341	+	1711	0	0	0	0	0	0
FBtr0306003	2R	11989631	11992250	+	2620	212	136	161	394	421	357
FBtr0344879	2R	12001573	12019346	-	17774	4100	2043	2788	7601	5912	5057
FBtr0088027	2R	12023246	12024772	-	1527	583	432	442	1083	1015	891
FBtr0339583	2R	12025714	12027207	-	1494	390	282	258	653	918	994
FBtr0087974	2R	12028485	12033625	+	5141	1534	1578	928	2644	3834	4074
FBtr0087975	2R	12034446	12036160	+	1715	50	33	21	98	132	136
FBtr0344873	2R	12034711	12036160	+	1450	0	0	0	0	0	0
FBtr0306063	2R	12036021	12036665	-	645	118	42	52	179	155	110
FBtr0087976	2R	12037798	12038751	+	954	412	445	292	723	1279	1334
FBtr0087977	2R	12039541	12042523	+	2983	1104	897	720	1951	2276	2507
FBtr0087978	2R	12045112	12050072	+	4961	1063	263	841	2053	927	553
FBtr0339581	2R	12053444	12056447	+	3004	178	33	114	355	154	101
FBtr0339579	2R	12053444	12054496	+	1053	0	0	0	0	0	0
FBtr0087979	2R	12055589	12062520	+	6932	0	0	0	0	0	0
FBtr0087980	2R	12055589	12062766	+	7178	25	6	20	43	22	9
FBtr0088022	2R	12064665	12079043	-	14379	3031	723	2053	5631	2071	1651
FBtr0333065	2R	12085294	12118840	-	33547	862	208	563	1524	746	536
FBtr0088021	2R	12090730	12118353	-	27624	0	0	0	0	0	0
FBtr0087983	2R	12141131	12143172	+	2042	805	410	519	1376	1811	1866
FBtr0088019	2R	12143291	12144052	-	762	286	175	158	522	474	334
FBtr0088017	2R	12146124	12150557	-	4434	22	36	8	27	102	94
FBtr0087984	2R	12146210	12152652	+	6443	457	1047	304	834	2685	3262
FBtr0333063	2R	12146681	12150106	-	3426	0	0	0	0	0	0
FBtr0301127	2R	12153571	12154163	+	593	161	258	85	232	762	800
FBtr0088016	2R	12154358	12162498	-	8141	3063	5518	1899	5346	12755	13388
FBtr0345490	2R	12164175	12164796	+	622	92	33	67	167	240	211
FBtr0088015	2R	12166395	12167988	-	1594	33	40	33	79	178	102
FBtr0088013	2R	12166676	12173764	-	7089	591	2433	336	1024	7624	7741
FBtr0088014	2R	12167129	12170785	-	3657	0	0	0	0	0	0
FBtr0087986	2R	12169231	12169903	+	673	0	0	0	0	0	0
FBtr0087987	2R	12175302	12177416	+	2115	45	59	33	72	323	299
FBtr0087988	2R	12175596	12177416	+	1821	0	0	0	0	0	0
FBtr0088012	2R	12177530	12178053	-	524	288	440	176	495	1212	1282
FBtr0339595	2R	12180993	12182273	+	1281	42	87	43	72	108	128
FBtr0087989	2R	12181123	12182273	+	1151	0	0	0	0	0	0
FBtr0100005	2R	12183139	12185406	+	2268	749	1239	459	1288	3447	3681
FBtr0339596	2R	12186167	12188331	+	2165	770	252	559	1449	674	719
FBtr0088009	2R	12188438	12189877	-	1440	500	240	330	1077	515	520
FBtr0087993	2R	12191182	12192336	+	1155	388	197	229	696	519	517
FBtr0088008	2R	12192474	12198354	-	5881	2228	1335	1325	3917	3704	3185
FBtr0088007	2R	12199124	12200315	-	1192	44	133	29	85	511	367
FBtr0088006	2R	12199491	12200315	-	825	0	0	0	0	0	0
FBtr0303037	2R	12208993	12211655	-	2663	148	1057	90	214	2518	2924
FBtr0088004	2R	12208993	12210743	-	1751	0	0	0	0	0	0
FBtr0331944	2R	12224561	12228810	-	4250	380	86	315	677	345	253
FBtr0114562	2R	12224561	12226346	-	1786	0	0	0	0	0	0
FBtr0087998	2R	12254492	12255601	+	1110	404	61	250	609	205	118
FBtr0088000	2R	12257782	12258552	+	771	197	69	168	414	165	104
FBtr0304963	2R	12259898	12278709	+	18812	345	78	234	618	289	181
FBtr0088001	2R	12259898	12274525	+	14628	0	0	0	0	0	0
FBtr0345018	2R	12260532	12274525	+	13994	0	0	0	0	0	0
FBtr0088002	2R	12265044	12273810	+	8767	0	0	0	0	0	0
FBtr0304964	2R	12265044	12276521	+	11478	0	0	0	0	0	0
FBtr0345483	2R	12280271	12300695	+	20425	1	0	1	3	0	0
FBtr0302922	2R	12280271	12298147	+	17877	0	0	0	0	0	0
FBtr0345481	2R	12280271	12298794	+	18524	0	0	0	0	0	0
FBtr0332922	2R	12286551	12298147	+	11597	0	0	0	0	0	0
FBtr0332924	2R	12291289	12298147	+	6859	0	0	0	0	0	0
FBtr0087972	2R	12298847	12301740	-	2894	0	0	0	0	0	0
FBtr0087973	2R	12298894	12301740	-	2847	0	0	0	0	0	0
FBtr0089671	2R	12302644	12305769	-	3126	851	194	530	1530	579	401
FBtr0087893	2R	12307028	12310312	+	3285	1235	232	814	2158	748	562
FBtr0273303	2R	12311189	12313734	+	2546	818	158	554	1480	549	400
FBtr0339627	2R	12314617	12317473	+	2857	40	8	26	60	53	28
FBtr0087895	2R	12314617	12317119	+	2503	0	0	0	0	0	0
FBtr0472670	2R	12321738	12322421	+	684	0	0	0	0	0	0
FBtr0339628	2R	12321738	12322697	+	960	11	21	4	25	53	31
FBtr0087964	2R	12322607	12325758	-	3152	68	37	48	143	131	159
FBtr0087965	2R	12322607	12325615	-	3009	0	0	0	0	0	0
FBtr0087898	2R	12326860	12332370	+	5511	0	0	0	0	0	0
FBtr0087897	2R	12326860	12333760	+	6901	379	311	255	675	700	706
FBtr0087902	2R	12338297	12339444	+	1148	136	263	113	255	701	836
FBtr0301874	2R	12338800	12339444	+	645	0	0	0	0	0	0
FBtr0087960	2R	12339710	12344117	-	4408	468	118	342	877	547	453
FBtr0087959	2R	12339710	12341596	-	1887	0	0	0	0	0	0
FBtr0087958	2R	12339710	12341430	-	1721	0	0	0	0	0	0
FBtr0087904	2R	12345483	12351225	+	5743	1921	1639	1267	3526	5568	5807
FBtr0087905	2R	12352293	12355313	+	3021	849	252	569	1671	821	677
FBtr0087906	2R	12356171	12358987	+	2817	693	109	497	1217	608	401
FBtr0087907	2R	12359936	12363065	+	3130	848	145	557	1520	590	486
FBtr0332249	2R	12367853	12370786	+	2934	877	162	591	1553	627	416
FBtr0087911	2R	12372094	12374981	+	2888	920	157	625	1669	677	427
FBtr0087915	2R	12383545	12384420	+	876	278	82	199	567	148	153
FBtr0345948	2R	12387166	12389957	+	2792	91	23	66	182	45	43
FBtr0339631	2R	12387460	12389957	+	2498	0	0	0	0	0	0
FBtr0087918	2R	12393983	12394742	+	760	208	23	107	338	135	90
FBtr0332425	2R	12395407	12399042	+	3636	783	115	640	1514	576	392
FBtr0087920	2R	12402716	12405008	+	2293	532	125	392	1013	600	458
FBtr0345652	2R	12406432	12406945	+	514	127	23	83	182	167	85
FBtr0087924	2R	12414462	12415070	+	609	252	29	138	449	183	125
FBtr0087925	2R	12416544	12418131	+	1588	493	107	324	888	307	311
FBtr0087954	2R	12420575	12422035	-	1461	512	104	345	917	358	254
FBtr0087926	2R	12423431	12425359	+	1929	140	527	124	319	1504	1726
FBtr0303222	2R	12424061	12425359	+	1299	0	0	0	0	0	0
FBtr0087927	2R	12425983	12426875	+	893	32	34	32	94	134	136
FBtr0346630	2R	12426092	12426875	+	784	0	0	0	0	0	0
FBtr0087952	2R	12428549	12430599	-	2051	602	800	418	1166	1770	1692
FBtr0087950	2R	12431547	12436077	-	4531	253	476	173	412	1476	1666
FBtr0087951	2R	12432027	12435336	-	3310	0	0	0	0	0	0
FBtr0087930	2R	12437845	12452816	+	14972	311	221	220	540	1038	817
FBtr0113074	2R	12437845	12451190	+	13346	0	0	0	0	0	0
FBtr0087933	2R	12453690	12465530	+	11841	3087	23296	2019	5943	106132	116313
FBtr0087948	2R	12465778	12471275	-	5498	284	770	221	517	2174	2315
FBtr0339638	2R	12465778	12467652	-	1875	0	0	0	0	0	0
FBtr0087934	2R	12469151	12471622	+	2472	76	88	60	164	269	271
FBtr0087935	2R	12472415	12473921	+	1507	515	272	321	872	837	727
FBtr0087936	2R	12474924	12486643	+	11720	0	0	0	0	0	0
FBtr0113075	2R	12474924	12487886	+	12963	202	111	124	370	404	321
FBtr0346633	2R	12487551	12506833	-	19283	0	0	0	0	0	0
FBtr0339637	2R	12487845	12504208	-	16364	0	0	0	0	0	0
FBtr0087946	2R	12488003	12506833	-	18831	0	0	0	0	0	0
FBtr0087947	2R	12488501	12490879	-	2379	0	0	0	0	0	0
FBtr0113358	2R	12496172	12501359	+	5188	0	0	0	0	0	0
FBtr0087945	2R	12507996	12510115	-	2120	669	235	385	1281	1037	885
FBtr0087942	2R	12511634	12514562	-	2929	204	92	107	368	376	424
FBtr0339635	2R	12511634	12513898	-	2265	0	0	0	0	0	0
FBtr0087939	2R	12515875	12517184	+	1310	613	1475	370	1080	3679	3809
FBtr0087941	2R	12517364	12518412	-	1049	409	784	323	651	1865	2247
FBtr0087940	2R	12519666	12521524	+	1859	639	566	367	1195	1897	1818
FBtr0087821	2R	12529553	12564084	+	34532	7605	8806	5066	14157	50979	49912
FBtr0087824	2R	12566685	12568961	+	2277	726	529	470	1139	1759	1589
FBtr0087825	2R	12570867	12571783	+	917	295	63	204	532	410	325
FBtr0087826	2R	12572568	12575199	+	2632	681	1553	476	1361	4647	4237
FBtr0339650	2R	12575340	12592417	-	17078	652	5824	463	1280	15368	15903
FBtr0303565	2R	12575340	12588652	-	13313	0	0	0	0	0	0
FBtr0333100	2R	12594104	12611968	+	17865	3502	1390	2366	6123	4807	4105
FBtr0344531	2R	12613240	12619720	+	6481	0	0	0	0	0	0
FBtr0087831	2R	12613240	12621142	+	7903	0	0	0	0	0	0
FBtr0304955	2R	12613240	12623097	+	9858	303	240	200	538	988	762
FBtr0333101	2R	12613240	12618883	+	5644	0	0	0	0	0	0
FBtr0087832	2R	12616287	12618883	+	2597	0	0	0	0	0	0
FBtr0087833	2R	12616288	12621142	+	4855	0	0	0	0	0	0
FBtr0302388	2R	12624226	12625252	+	1027	4	1	4	27	20	15
FBtr0302389	2R	12624279	12625252	+	974	0	0	0	0	0	0
FBtr0110824	2R	12626308	12628519	+	2212	419	152	297	704	555	367
FBtr0333103	2R	12628797	12631781	-	2985	67	35	32	105	81	99
FBtr0087885	2R	12629067	12631878	-	2812	23	15	16	49	87	88
FBtr0333102	2R	12634266	12635182	-	917	0	0	0	0	0	0
FBtr0091650	2R	12634266	12635641	-	1376	143	567	111	280	1539	1659
FBtr0087843	2R	12637171	12640528	+	3358	967	2178	676	1955	5585	5863
FBtr0087881	2R	12640790	12647724	-	6935	547	107	378	990	481	340
FBtr0087882	2R	12640790	12644641	-	3852	0	0	0	0	0	0
FBtr0087880	2R	12651401	12651987	-	587	232	54	157	427	138	104
FBtr0087845	2R	12653305	12655643	+	2339	629	126	419	1178	520	340
FBtr0301237	2R	12656454	12659241	+	2788	689	160	466	1342	545	407
FBtr0087869	2R	12659597	12665299	-	5703	0	0	0	0	0	0
FBtr0339741	2R	12659597	12661250	-	1654	0	0	0	0	0	0
FBtr0087867	2R	12659597	12669719	-	10123	797	202	530	1403	905	629
FBtr0339742	2R	12659597	12662084	-	2488	0	0	0	0	0	0
FBtr0087868	2R	12659689	12665299	-	5611	0	0	0	0	0	0
FBtr0302974	2R	12670583	12679093	-	8511	0	0	0	0	0	0
FBtr0344191	2R	12670583	12674918	-	4336	0	0	0	0	0	0
FBtr0302975	2R	12670583	12676094	-	5512	0	0	0	0	0	0
FBtr0302973	2R	12670706	12679093	-	8388	0	0	0	0	0	0
FBtr0302972	2R	12670706	12674023	-	3318	0	0	0	0	0	0
FBtr0302979	2R	12671175	12676094	-	4920	0	0	0	0	0	0
FBtr0302978	2R	12671175	12679093	-	7919	0	0	0	0	0	0
FBtr0339707	2R	12671175	12675912	-	4738	0	0	0	0	0	0
FBtr0306684	2R	12680067	12685679	-	5613	1754	1470	1106	2934	3803	3942
FBtr0331975	2R	12686749	12688686	+	1938	91	35	52	174	208	166
FBtr0087847	2R	12687109	12688686	+	1578	0	0	0	0	0	0
FBtr0331976	2R	12687409	12688686	+	1278	0	0	0	0	0	0
FBtr0087873	2R	12688833	12689376	-	544	182	36	110	313	172	139
FBtr0087871	2R	12691408	12692190	-	783	219	108	163	343	296	233
FBtr0310576	2R	12705672	12751445	+	45774	9506	3630	6220	16867	12352	9824
FBtr0087865	2R	12751583	12752436	-	854	244	149	156	509	338	341
FBtr0087862	2R	12753126	12755914	-	2789	210	190	104	375	593	478
FBtr0087863	2R	12753126	12754903	-	1778	0	0	0	0	0	0
FBtr0302455	2R	12753202	12754677	-	1476	0	0	0	0	0	0
FBtr0087864	2R	12753319	12754395	-	1077	0	0	0	0	0	0
FBtr0087853	2R	12758046	12759624	+	1579	24	94	20	59	111	120
FBtr0339705	2R	12758130	12759624	+	1495	0	0	0	0	0	0
FBtr0087860	2R	12759793	12760292	-	500	0	0	0	0	0	0
FBtr0087859	2R	12759793	12760336	-	544	0	0	0	0	0	0
FBtr0087858	2R	12759793	12760499	-	707	42	330	31	93	542	688
FBtr0087854	2R	12762613	12763725	+	1113	449	96	330	853	319	231
FBtr0087855	2R	12781041	12800990	+	19950	0	0	0	0	0	0
FBtr0087856	2R	12781041	12801910	+	20870	144	630	86	220	1152	1134
FBtr0087857	2R	12807114	12807711	+	598	86	24	55	167	67	37
FBtr0087820	2R	12840913	12842058	-	1146	413	80	266	752	209	195
FBtr0087781	2R	12843165	12844604	+	1440	405	93	262	812	522	417
FBtr0302939	2R	12845644	12846096	-	453	185	61	135	357	133	130
FBtr0306584	2R	12846948	12847504	-	557	141	75	105	265	334	185
FBtr0475210	2R	12849458	12867816	-	18359	0	0	0	0	0	0
FBtr0306582	2R	12849458	12861498	-	12041	0	0	0	0	0	0
FBtr0306583	2R	12849458	12853040	-	3583	0	0	0	0	0	0
FBtr0306581	2R	12849458	12850448	-	991	0	0	0	0	0	0
FBtr0087816	2R	12849458	12868923	-	19466	132	105	113	358	635	607
FBtr0306580	2R	12849458	12851082	-	1625	0	0	0	0	0	0
FBtr0344926	2R	12849458	12857489	-	8032	0	0	0	0	0	0
FBtr0306579	2R	12849458	12854861	-	5404	0	0	0	0	0	0
FBtr0475211	2R	12849458	12857153	-	7696	0	0	0	0	0	0
FBtr0337029	2R	12849458	12856248	-	6791	0	0	0	0	0	0
FBtr0475209	2R	12849458	12857740	-	8283	0	0	0	0	0	0
FBtr0087782	2R	12870749	12871694	+	946	220	1113	170	465	2507	2935
FBtr0087815	2R	12872887	12874512	-	1626	594	355	433	1081	1046	882
FBtr0087813	2R	12875264	12876466	-	1203	29	37	21	46	120	147
FBtr0087814	2R	12875264	12876332	-	1069	0	0	0	0	0	0
FBtr0332884	2R	12875264	12875893	-	630	0	0	0	0	0	0
FBtr0089878	2R	12877194	12879298	-	2105	0	0	0	0	0	0
FBtr0089874	2R	12877194	12879156	-	1963	0	0	0	0	0	0
FBtr0089873	2R	12877194	12878873	-	1680	0	0	0	0	0	0
FBtr0309295	2R	12877194	12879730	-	2537	0	0	0	0	0	0
FBtr0332883	2R	12877194	12878306	-	1113	0	0	0	0	0	0
FBtr0332882	2R	12877504	12883068	+	5565	231	587	155	417	1774	1990
FBtr0087784	2R	12880784	12883068	+	2285	0	0	0	0	0	0
FBtr0339391	2R	12880932	12883068	+	2137	0	0	0	0	0	0
FBtr0087785	2R	12885132	12899285	+	14154	2757	664	1852	4876	2626	1977
FBtr0087786	2R	12916494	12923634	+	7141	562	2193	302	936	4413	5018
FBtr0087787	2R	12918358	12923634	+	5277	0	0	0	0	0	0
FBtr0331985	2R	12925067	12930544	+	5478	1067	482	756	2015	1204	1127
FBtr0087789	2R	12929360	12930544	+	1185	0	0	0	0	0	0
FBtr0087806	2R	12931012	12933545	-	2534	12	9	13	30	40	34
FBtr0339738	2R	12931182	12933545	-	2364	0	0	0	0	0	0
FBtr0087804	2R	12934334	12936035	-	1702	528	679	359	979	1831	2066
FBtr0087790	2R	12937391	12940312	+	2922	833	1701	595	1669	915	929
