# Program:featureCounts v2.0.0; Command:"featureCounts" "-s" "2" "-t" "gbc" "-O" "-g" "transcript_id" "-a" "references/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "counts.gbc.txt" "bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam
FBtr0086750	2R	18181117	18182419	+	1303	120	74	120	100	89	104	77	93	131	106	76	168
FBtr0086771	2R	18182535	18183590	-	1056	162	69	149	132	122	127	135	150	150	145	86	149
FBtr0099994	2R	18184482	18192351	-	7870	28	11	39	23	15	23	23	17	35	26	21	22
FBtr0086753	2R	18208255	18208878	+	624	2	0	4	4	2	4	1	0	3	2	1	0
FBtr0086754	2R	18233261	18236211	+	2951	302	185	2717	2209	413	552	651	671	518	524	623	1608
FBtr0086768	2R	18275707	18276677	-	971	399	179	249	272	233	250	236	271	296	336	138	361
FBtr0340331	2R	18277939	18278662	+	724	160	88	75	84	88	80	56	73	116	100	33	81
FBtr0301550	2R	18278298	18356796	-	78499	5973	3575	5454	5099	5548	6519	6868	7407	8484	8427	4352	9509
FBtr0301547	2R	18279080	18356796	-	77717	5889	3515	5353	5005	5463	6418	6782	7326	8346	8298	4268	9351
FBtr0329997	2R	18279165	18356796	-	77632	5878	3505	5349	4996	5455	6406	6777	7321	8324	8270	4256	9330
FBtr0301551	2R	18279165	18288261	-	9097	2266	1156	1741	1590	2103	2457	1370	1381	2910	2841	884	2250
FBtr0301548	2R	18285224	18356796	-	71573	4591	2844	4320	4051	4276	4984	5958	6488	6710	6706	3744	7981
FBtr0086766	2R	18285224	18288261	-	3038	979	495	712	645	924	1035	551	548	1296	1277	372	901
FBtr0301546	2R	18289196	18294612	+	5417	261	135	73	70	185	173	61	74	169	155	50	80
FBtr0086756	2R	18289720	18294612	+	4893	76	41	43	36	82	70	17	15	68	54	21	40
FBtr0086757	2R	18292833	18294612	+	1780	10	5	14	9	16	11	7	7	18	5	9	11
FBtr0340333	2R	18298295	18298803	+	509	3	2	5	2	0	4	3	2	1	6	2	1
FBtr0307186	2R	18303045	18303477	-	433	15	6	20	19	22	25	39	34	31	41	13	53
FBtr0086668	2R	18394166	18395182	+	1017	3	1	7	3	1	9	1	0	2	2	6	0
FBtr0344195	2R	18396738	18398019	-	1282	17	12	22	7	4	8	5	5	11	9	3	4
FBtr0345798	2R	18408334	18408855	+	522	3	3	10	11	4	4	19	18	11	10	5	15
FBtr0345891	2R	18409896	18413099	-	3204	590	340	478	381	349	419	512	609	475	441	287	562
FBtr0086725	2R	18409896	18411032	-	1137	142	67	140	120	79	96	129	106	151	123	68	168
FBtr0086679	2R	18412527	18420642	+	8116	688	354	1963	1817	690	873	1641	1719	883	896	718	1916
FBtr0086683	2R	18412527	18421024	+	8498	719	370	2088	1935	716	905	1756	1820	930	942	770	2036
FBtr0086680	2R	18413348	18420642	+	7295	616	310	1713	1579	607	770	1390	1488	767	793	618	1680
FBtr0086681	2R	18413504	18420642	+	7139	605	308	1680	1543	595	761	1361	1450	758	778	604	1647
FBtr0345226	2R	18414551	18420642	+	6092	526	266	1468	1368	519	667	1190	1274	677	679	522	1452
FBtr0340329	2R	18414906	18420642	+	5737	514	256	1406	1324	502	640	1141	1222	643	654	497	1395
FBtr0301148	2R	18421913	18425567	+	3655	135	101	107	83	54	76	94	89	84	77	61	109
FBtr0086689	2R	18421913	18426121	+	4209	141	103	114	90	59	80	101	95	86	86	65	121
FBtr0086690	2R	18423432	18426121	+	2690	30	19	38	18	19	19	32	24	23	23	20	40
FBtr0086691	2R	18426921	18430233	+	3313	181	97	224	200	110	159	196	189	204	213	92	273
FBtr0113361	2R	18430415	18439975	-	9561	1034	511	1454	1404	541	602	621	745	673	685	352	780
FBtr0086724	2R	18430837	18439975	-	9139	980	491	1396	1323	527	579	593	714	635	657	334	722
FBtr0086693	2R	18441465	18445426	+	3962	929	445	820	778	504	545	458	457	715	765	291	684
FBtr0331958	2R	18441465	18444855	+	3391	801	388	731	672	435	488	405	406	613	677	241	606
FBtr0299806	2R	18447048	18449320	+	2273	177	86	159	128	79	92	55	49	107	150	56	136
FBtr0086723	2R	18447461	18450541	-	3081	540	249	429	426	384	403	406	443	436	469	194	505
FBtr0086696	2R	18451784	18452636	+	853	112	49	94	66	66	84	89	81	110	100	33	76
FBtr0086722	2R	18452837	18453962	-	1126	15	7	39	24	8	3	10	7	23	18	7	16
FBtr0086719	2R	18456702	18497526	-	40825	329	214	250	197	111	140	154	121	308	286	172	247
FBtr0086721	2R	18457062	18497526	-	40465	326	213	246	197	111	137	153	120	305	286	172	245
FBtr0086718	2R	18458184	18497526	-	39343	325	211	246	194	109	134	152	119	303	283	167	240
FBtr0086720	2R	18459776	18497526	-	37751	319	207	237	191	101	130	147	117	300	280	166	232
FBtr0086697	2R	18504108	18504744	+	637	1	4	1	1	4	1	3	4	3	4	5	1
FBtr0345628	2R	18504108	18504925	+	818	3	4	2	1	6	2	3	4	4	4	7	2
FBtr0304865	2R	18515074	18525317	+	10244	37	18	53	26	23	28	25	16	39	29	33	41
FBtr0304867	2R	18515074	18526339	+	11266	40	19	54	26	23	29	29	20	42	31	36	45
FBtr0086699	2R	18527930	18535649	+	7720	237	127	116	108	139	158	318	266	166	146	149	314
FBtr0113093	2R	18532890	18534523	+	1634	67	38	25	23	31	29	65	48	35	27	29	68
FBtr0086701	2R	18537267	18539316	+	2050	3229	1439	555	504	307	415	607	671	774	748	326	887
FBtr0112633	2R	18540085	18548869	+	8785	263	141	470	368	54	62	74	61	76	65	47	48
FBtr0340386	2R	18540469	18548869	+	8401	206	120	455	363	50	58	64	54	62	48	43	35
FBtr0310055	2R	18554219	18611277	-	57059	1512	852	1688	1428	3220	3738	2332	2279	1258	1172	767	1354
FBtr0340387	2R	18554219	18582817	-	28599	591	323	655	578	2212	2426	1046	972	462	420	259	499
FBtr0302904	2R	18611745	18612230	-	486	999	805	979	1369	562	793	825	1418	777	687	601	1247
FBtr0086705	2R	18613590	18614155	+	566	3	3	12	7	2	5	14	6	4	5	5	4
FBtr0086707	2R	18616488	18618217	+	1730	38	17	20	19	12	18	14	7	28	23	10	13
FBtr0307349	2R	18616792	18617518	-	727	4	3	3	2	3	3	13	6	2	3	4	10
FBtr0307347	2R	18616792	18618828	-	2037	16	8	12	8	10	8	28	17	10	8	8	31
FBtr0086711	2R	18620566	18624544	-	3979	40	31	46	38	21	16	18	25	22	21	13	34
FBtr0086708	2R	18622041	18622886	+	846	8	4	5	4	2	2	6	3	8	6	3	4
FBtr0086709	2R	18625749	18627618	+	1870	160	68	124	106	104	133	120	138	111	117	80	163
FBtr0086710	2R	18628418	18629179	+	762	53	20	57	29	22	43	50	39	52	46	25	32
FBtr0345422	2R	18628418	18629295	+	878	54	22	64	32	22	45	53	42	56	54	28	35
FBtr0345423	2R	18629694	18631402	-	1709	229	119	156	145	127	166	144	140	152	156	81	184
FBtr0340394	2R	18630015	18631402	-	1388	185	101	133	120	108	142	124	113	127	129	62	153
FBtr0345424	2R	18630015	18631545	-	1531	211	113	144	127	128	156	134	124	144	140	67	167
FBtr0300924	2R	18632428	18638770	-	6343	2629	1293	1439	1501	1415	1653	1253	1284	1733	1722	682	1619
FBtr0301862	2R	18640962	18652276	-	11315	131	69	137	131	77	99	273	269	122	107	92	192
FBtr0301861	2R	18640962	18657722	-	16761	269	132	324	330	189	229	487	523	269	230	235	432
FBtr0086658	2R	18641123	18652276	-	11154	131	68	135	131	75	99	270	269	122	107	92	189
FBtr0086657	2R	18641123	18657722	-	16600	269	131	322	330	187	229	484	523	269	230	235	429
FBtr0299688	2R	18658518	18661048	-	2531	866	455	549	556	497	586	483	586	673	722	289	608
FBtr0340393	2R	18658518	18660114	-	1597	485	224	270	267	246	294	226	255	355	362	144	319
FBtr0299689	2R	18658518	18660272	-	1755	540	261	302	305	293	334	253	292	404	435	157	358
FBtr0340391	2R	18664549	18665292	-	744	6	8	68	43	22	37	54	51	22	15	12	41
FBtr0340390	2R	18664783	18665292	-	510	5	6	57	32	20	30	48	46	18	12	11	34
FBtr0086652	2R	18667627	18673036	-	5410	174	127	1603	1424	991	1361	2245	2523	448	539	538	1408
FBtr0340486	2R	18678780	18683698	-	4919	16	9	41	22	15	24	29	36	33	16	33	28
FBtr0342881	2R	18678780	18680670	-	1891	5	3	15	6	8	13	10	12	13	5	4	11
FBtr0340485	2R	18684330	18686275	-	1946	8	10	10	4	1	8	14	7	7	7	7	11
FBtr0304023	2R	18687872	18688541	+	670	227	111	150	131	174	256	477	537	189	126	145	329
FBtr0344258	2R	18688632	18705705	+	17074	115	71	359	312	135	173	517	481	177	153	213	486
FBtr0304025	2R	18689026	18705705	+	16680	100	60	343	299	129	169	503	470	171	149	205	475
FBtr0304024	2R	18689122	18701640	+	12519	70	42	224	196	93	120	371	351	111	103	146	336
FBtr0086607	2R	18706477	18708126	+	1650	114	59	118	92	83	77	80	108	76	82	46	135
FBtr0086647	2R	18708252	18710365	-	2114	360	143	175	141	176	153	130	140	241	258	82	207
FBtr0086608	2R	18718614	18754421	+	35808	127	67	126	94	72	93	111	86	309	330	135	184
FBtr0345672	2R	18718614	18754575	+	35962	128	67	126	94	72	93	111	87	311	331	135	184
FBtr0300863	2R	18727917	18729781	-	1865	1	5	5	2	3	6	2	2	4	3	3	4
FBtr0086643	2R	18742617	18743126	-	510	0	1	1	1	2	1	3	1	3	1	3	1
FBtr0086642	2R	18743906	18744496	-	591	2	3	2	2	0	0	1	1	3	1	0	1
FBtr0086609	2R	18755495	18756983	+	1489	5	1	3	3	3	4	2	4	14	7	8	4
FBtr0330006	2R	18757174	18760582	-	3409	7	12	19	16	6	10	13	6	11	5	18	14
FBtr0304051	2R	18757174	18759596	-	2423	5	10	18	13	4	9	9	4	9	2	14	11
FBtr0299944	2R	18757729	18760582	-	2854	6	8	18	14	5	8	10	5	9	4	15	12
FBtr0299942	2R	18758405	18760582	-	2178	6	7	17	14	5	7	10	4	9	4	13	10
FBtr0330004	2R	18762258	18774567	+	12310	1169	629	576	420	715	886	723	677	1867	2428	1166	1008
FBtr0345950	2R	18762258	18774724	+	12467	1169	629	576	420	715	886	723	677	1871	2428	1167	1008
FBtr0330005	2R	18767576	18774567	+	6992	1142	622	540	404	700	859	704	663	1847	2411	1150	987
FBtr0110971	2R	18771978	18774567	+	2590	5	8	6	4	6	14	6	5	7	7	15	7
FBtr0086639	2R	18775769	18776478	-	710	11	4	5	5	2	1	3	2	1	2	2	1
FBtr0086613	2R	18783799	18794494	+	10696	66	44	103	44	41	66	65	27	87	66	64	71
FBtr0086637	2R	18794718	18796178	-	1461	395	208	174	148	146	170	131	144	303	322	72	155
FBtr0345426	2R	18797075	18801905	-	4831	1800	979	1252	1201	754	901	802	854	1056	1127	275	681
FBtr0086635	2R	18797364	18801905	-	4542	1657	899	1147	1087	697	845	735	782	975	1037	253	614
FBtr0086634	2R	18797364	18803227	-	5864	5057	3114	3637	3701	2233	2883	2845	4053	3292	3207	1044	3171
FBtr0086633	2R	18808456	18810960	-	2505	23	8	37	23	13	25	19	14	27	21	63	21
FBtr0086632	2R	18808456	18814519	-	6064	32	16	51	36	21	35	31	17	42	31	70	31
FBtr0112863	2R	18819967	18821739	+	1773	175	72	57	50	83	92	91	88	127	135	33	60
FBtr0112862	2R	18819967	18822150	+	2184	231	107	73	63	117	123	111	109	168	159	42	80
FBtr0303237	2R	18822288	18829199	-	6912	29	14	106	70	18	18	19	17	19	15	28	20
FBtr0086630	2R	18822288	18825238	-	2951	9	7	21	14	10	5	9	5	8	10	18	8
FBtr0330053	2R	18830831	18833141	+	2311	8	9	11	8	5	8	3	6	13	9	11	9
FBtr0086617	2R	18831593	18833141	+	1549	5	7	4	6	3	3	3	3	6	6	6	6
FBtr0086629	2R	18833472	18834275	-	804	9	5	8	6	7	3	3	2	2	6	3	5
FBtr0086618	2R	18835763	18836742	+	980	10	4	13	9	1	2	6	6	9	3	4	2
FBtr0330054	2R	18836921	18846119	-	9199	1047	503	920	842	535	689	588	676	747	706	391	842
FBtr0086627	2R	18846958	18850099	-	3142	137	74	224	174	50	60	90	98	96	97	76	161
FBtr0086619	2R	18851344	18851863	+	520	62	25	30	22	29	44	21	14	47	41	18	25
FBtr0273238	2R	18852007	18852543	-	537	81	34	73	51	52	54	53	46	54	63	36	85
FBtr0086625	2R	18853534	18854587	-	1054	8	1	7	5	0	4	14	12	6	5	3	7
FBtr0089970	2R	18855867	18857440	-	1574	5	5	3	2	0	4	5	1	6	2	7	9
FBtr0345981	2R	18855867	18857745	-	1879	6	5	4	2	0	4	6	1	6	2	7	9
FBtr0086622	2R	18860475	18861578	-	1104	4	3	5	4	3	7	5	8	5	5	2	6
FBtr0290300	2R	18878891	18959400	+	80510	612	382	608	416	302	380	404	345	550	443	407	564
FBtr0086602	2R	18909061	18911395	-	2335	15	11	23	11	8	10	7	2	8	5	7	8
FBtr0086569	2R	18947817	18959400	+	11584	130	62	116	76	46	64	83	75	104	99	91	135
FBtr0086601	2R	18969504	18970633	-	1130	393	180	353	267	168	215	237	261	266	284	148	366
FBtr0086600	2R	18971409	18972037	-	629	262	109	206	189	108	93	159	167	112	132	90	215
FBtr0331977	2R	18973112	18977162	+	4051	823	442	460	417	376	426	335	384	579	599	215	540
FBtr0086570	2R	18973427	18977162	+	3736	750	389	419	376	335	377	279	331	532	517	199	476
FBtr0302494	2R	18978014	18979179	+	1166	7	9	17	13	7	8	6	6	17	8	9	13
FBtr0340449	2R	18987844	19002925	+	15082	56	18	72	38	30	60	57	41	48	41	34	48
FBtr0340447	2R	18987844	19008844	+	21001	93	34	108	51	45	74	78	50	66	57	52	69
FBtr0340448	2R	18991537	19008844	+	17308	80	29	88	34	39	53	63	41	52	49	45	51
FBtr0330055	2R	19022425	19032142	-	9718	43	20	52	27	21	31	23	25	38	30	23	42
FBtr0086599	2R	19023471	19032142	-	8672	41	19	49	26	18	27	21	22	33	29	19	39
FBtr0299568	2R	19059921	19060965	+	1045	4	1	5	2	1	1	3	1	4	3	2	6
FBtr0474126	2R	19067655	19121858	+	54204	237	117	237	114	124	170	161	76	218	169	142	186
FBtr0086595	2R	19094367	19095674	-	1308	2	2	5	2	2	5	4	2	5	3	5	1
FBtr0340459	2R	19122331	19125769	-	3439	17	6	9	9	10	10	11	9	9	9	11	18
FBtr0100129	2R	19122331	19126719	-	4389	20	7	16	11	17	15	16	15	10	11	14	22
FBtr0340458	2R	19122331	19124718	-	2388	11	5	5	5	8	8	8	5	5	5	7	13
FBtr0086593	2R	19122331	19128800	-	6470	30	11	27	17	25	24	19	23	15	16	18	32
FBtr0086594	2R	19122331	19127124	-	4794	20	7	18	11	17	15	16	16	11	12	16	22
FBtr0086579	2R	19130089	19133606	+	3518	364	201	256	260	242	259	246	265	314	340	149	346
FBtr0113096	2R	19133827	19136669	-	2843	350	187	254	239	188	250	274	266	272	263	134	326
FBtr0086592	2R	19133827	19136363	-	2537	296	161	228	207	163	218	234	232	239	228	123	278
FBtr0086581	2R	19137872	19140934	+	3063	400	188	220	187	220	239	167	174	363	339	131	274
FBtr0086583	2R	19142132	19162498	+	20367	7609	3851	3178	3759	5539	6214	2680	3062	6169	6274	2527	5613
FBtr0100174	2R	19142132	19161997	+	19866	7480	3797	3121	3701	5434	6095	2628	2998	6043	6134	2490	5529
FBtr0340450	2R	19142132	19163605	+	21474	7924	4025	3332	3927	5763	6454	2786	3188	6500	6619	2613	5830
FBtr0114623	2R	19155721	19162498	+	6778	1835	917	790	690	1713	1764	586	648	1661	1644	438	954
FBtr0100282	2R	19164643	19178123	+	13481	139	82	165	108	134	160	130	133	148	139	100	168
FBtr0290312	2R	19164643	19176982	+	12340	112	67	142	91	122	148	115	115	129	119	93	141
FBtr0290314	2R	19164643	19177295	+	12653	117	69	143	94	125	150	119	116	130	123	93	149
FBtr0290317	2R	19170723	19178123	+	7401	97	58	102	61	59	85	63	71	91	88	58	99
FBtr0290311	2R	19170723	19176982	+	6260	70	43	79	44	47	73	48	53	72	68	51	72
FBtr0340456	2R	19179238	19227093	+	47856	1252	635	1574	1465	983	1160	1280	1341	1269	1270	766	1736
FBtr0086505	2R	19227844	19228513	+	670	70	30	86	69	49	66	60	66	62	60	33	85
FBtr0340469	2R	19229563	19243651	+	14089	207	127	894	846	151	202	279	291	232	190	176	333
FBtr0340470	2R	19249895	19250817	+	923	8	6	57	38	11	18	23	22	11	8	13	29
FBtr0086510	2R	19250261	19250817	+	557	7	5	43	23	10	11	20	18	7	7	6	22
FBtr0086511	2R	19260409	19262194	+	1786	10	9	17	9	7	6	10	6	4	10	10	19
FBtr0330057	2R	19270578	19281296	+	10719	4944	2861	9620	8198	3452	4633	5524	5907	4808	4618	3055	7159
FBtr0086512	2R	19276232	19281296	+	5065	3426	1728	7445	6343	2399	3095	4028	4273	3285	3271	2005	5554
FBtr0086563	2R	19281518	19283461	-	1944	403	183	355	352	272	318	257	268	337	321	163	405
FBtr0086561	2R	19285495	19286230	-	736	3	1	5	2	2	3	1	1	0	6	3	4
FBtr0300592	2R	19288483	19288895	+	413	1	3	3	2	4	5	9	5	3	4	3	1
FBtr0086560	2R	19291205	19291696	-	492	39	16	60	39	26	33	38	36	28	35	38	67
FBtr0331925	2R	19293029	19304408	+	11380	575	289	847	802	439	525	591	642	560	638	384	980
FBtr0086516	2R	19293029	19303924	+	10896	529	267	794	753	413	492	551	599	532	606	362	923
FBtr0305333	2R	19298743	19303924	+	5182	284	147	439	377	217	259	265	313	297	300	177	479
FBtr0345425	2R	19305672	19307345	+	1674	170	78	184	171	125	180	149	150	160	163	72	184
FBtr0300283	2R	19305672	19307084	+	1413	157	69	175	157	113	162	127	140	139	157	65	170
FBtr0113098	2R	19307547	19310165	-	2619	43	16	62	41	33	25	41	34	34	35	14	37
FBtr0334284	2R	19311248	19324996	-	13749	38	19	53	38	85	88	77	56	48	43	40	53
FBtr0334282	2R	19312493	19324996	-	12504	33	16	47	36	75	78	70	47	42	41	34	52
FBtr0334283	2R	19312493	19356025	-	43533	203	143	208	156	222	281	248	178	207	144	147	211
FBtr0302390	2R	19331389	19335088	+	3700	4	5	20	14	10	6	10	4	14	7	12	10
FBtr0086518	2R	19342309	19345654	+	3346	9	4	11	10	6	8	8	6	8	5	8	13
FBtr0304055	2R	19342309	19344395	+	2087	7	3	7	6	4	5	4	4	5	4	6	11
FBtr0086519	2R	19358032	19362273	+	4242	716	430	670	779	416	531	569	835	404	382	233	535
FBtr0086520	2R	19358816	19362273	+	3458	262	131	147	138	133	124	114	120	105	112	45	129
FBtr0308495	2R	19358816	19363024	+	4209	332	163	194	197	173	161	153	158	126	136	66	156
FBtr0086521	2R	19364141	19367194	+	3054	30	12	31	18	13	15	9	19	19	17	22	18
FBtr0334008	2R	19367348	19373202	-	5855	42	38	112	51	75	113	200	185	80	64	78	129
FBtr0086555	2R	19367348	19372743	-	5396	16	4	35	11	15	23	22	21	15	16	15	19
FBtr0086522	2R	19375813	19380074	+	4262	18	11	13	9	9	8	11	9	19	9	17	16
FBtr0334006	2R	19377215	19380074	+	2860	11	6	7	5	6	3	8	6	16	6	13	10
FBtr0310321	2R	19381043	19384865	+	3823	19	14	18	10	8	14	13	8	12	15	17	20
FBtr0086523	2R	19382120	19384865	+	2746	16	14	17	7	7	11	12	7	12	10	17	17
FBtr0334007	2R	19386423	19389218	+	2796	7	8	11	1	5	5	11	1	14	7	14	12
FBtr0086525	2R	19390628	19391800	+	1173	95	53	55	43	58	51	28	28	76	74	25	57
FBtr0086552	2R	19391963	19395471	-	3509	294	169	218	199	140	151	109	126	251	276	88	196
FBtr0309112	2R	19397132	19424403	-	27272	9275	4945	4945	5569	4625	5428	4974	5862	7223	6775	2683	6132
FBtr0340491	2R	19397132	19410996	-	13865	2063	1040	1634	1671	1089	1298	1338	1444	1617	1594	805	1987
FBtr0309110	2R	19397435	19423614	-	26180	5368	2636	3536	3676	2727	3233	3137	3457	4348	4379	1788	4339
FBtr0309114	2R	19397435	19424403	-	26969	9245	4925	4914	5537	4615	5413	4950	5834	7199	6740	2666	6102
FBtr0309106	2R	19398656	19424403	-	25748	9117	4852	4818	5407	4542	5313	4860	5740	7097	6616	2606	5944
FBtr0309111	2R	19399618	19423614	-	23997	5092	2480	3345	3459	2601	3059	2964	3288	4148	4156	1681	4060
FBtr0309104	2R	19399618	19424403	-	24786	8969	4769	4723	5320	4489	5239	4777	5665	6999	6517	2559	5823
FBtr0309113	2R	19401797	19424403	-	22607	8623	4596	4459	5076	4304	5028	4549	5410	6744	6254	2450	5506
FBtr0309102	2R	19407000	19424403	-	17404	7901	4273	3833	4405	3854	4535	4051	4860	6132	5667	2133	4709
FBtr0309103	2R	19408955	19424403	-	15449	7567	4086	3588	4164	3696	4356	3845	4664	5872	5426	2024	4438
FBtr0309105	2R	19408955	19410861	-	1907	338	171	264	250	155	203	200	230	247	234	140	277
FBtr0309107	2R	19409337	19424403	-	15067	7536	4060	3556	4126	3679	4328	3820	4630	5840	5404	1996	4409
FBtr0086530	2R	19425613	19428950	+	3338	385	156	128	133	111	132	93	67	192	197	63	147
FBtr0086529	2R	19425613	19430464	+	4852	587	231	199	196	173	203	139	105	292	283	99	197
FBtr0114605	2R	19430759	19436759	-	6001	999	494	574	586	560	614	579	556	637	711	287	660
FBtr0086544	2R	19430759	19436693	-	5935	984	485	563	579	548	602	570	549	631	699	283	655
FBtr0086531	2R	19437983	19441798	+	3816	968	474	794	697	580	638	630	628	726	713	373	817
FBtr0086533	2R	19442842	19443418	+	577	350	172	210	239	191	207	223	228	288	227	96	243
FBtr0340533	2R	19442842	19443725	+	884	522	252	318	350	293	328	348	374	404	334	141	355
FBtr0086541	2R	19445185	19445786	-	602	199	93	70	76	85	100	77	116	123	117	43	75
FBtr0086537	2R	19447419	19449099	-	1681	2546	1222	1622	1577	1053	1384	1155	1203	2161	2267	657	1833
FBtr0086536	2R	19447419	19451100	-	3682	5296	2611	3463	3385	2282	2885	2421	2573	4190	4410	1461	3661
FBtr0086535	2R	19453004	19455427	+	2424	782	377	360	364	430	481	336	340	621	598	198	451
FBtr0301505	2R	19456670	19482475	+	25806	868	470	2448	2431	839	1008	2268	2406	1180	1158	1222	2973
FBtr0330244	2R	19456670	19485586	+	28917	949	508	2697	2704	929	1101	2521	2637	1289	1272	1356	3317
FBtr0086450	2R	19456670	19484373	+	27704	911	489	2595	2597	887	1053	2427	2562	1238	1223	1303	3168
FBtr0330243	2R	19456670	19481483	+	24814	854	462	2389	2380	826	981	2219	2361	1160	1131	1201	2899
FBtr0086461	2R	19456670	19459423	+	2754	94	46	339	303	107	110	275	298	157	132	158	365
FBtr0100393	2R	19463002	19467713	+	4712	200	96	456	420	166	214	403	424	246	210	208	553
FBtr0086457	2R	19463002	19482475	+	19474	642	352	1736	1769	612	750	1708	1760	852	832	873	2153
FBtr0301506	2R	19463380	19482475	+	19096	631	347	1703	1724	608	735	1674	1735	835	818	853	2112
FBtr0301504	2R	19467966	19481483	+	13518	424	244	1204	1270	422	500	1233	1273	578	588	633	1501
FBtr0301503	2R	19467966	19484373	+	16408	481	271	1410	1487	483	572	1441	1474	656	680	735	1770
FBtr0086502	2R	19485594	19486337	-	744	11	7	9	6	6	3	3	1	9	6	5	14
FBtr0086501	2R	19487146	19491346	-	4201	271	129	160	165	79	106	55	68	163	191	93	161
FBtr0086462	2R	19492587	19494025	+	1439	179	102	95	84	65	87	44	42	112	120	34	77
FBtr0331920	2R	19494096	19496356	-	2261	259	118	240	207	176	208	216	230	217	227	131	284
FBtr0086500	2R	19494397	19496356	-	1960	205	97	213	172	157	184	193	192	180	187	116	250
FBtr0086463	2R	19498252	19500272	+	2021	27	12	41	23	15	19	35	11	56	25	16	33
FBtr0345818	2R	19500395	19500918	-	524	2	1	5	1	1	1	2	0	2	0	2	4
FBtr0086499	2R	19500395	19500823	-	429	2	1	4	1	1	1	2	0	1	0	2	4
FBtr0345929	2R	19503568	19504494	+	927	104	63	120	126	63	90	123	122	94	115	51	160
FBtr0086464	2R	19503568	19504168	+	601	85	34	85	97	51	71	98	98	74	89	36	120
FBtr0086465	2R	19508667	19509553	+	887	3	1	7	2	1	0	4	4	1	2	4	2
FBtr0086466	2R	19510268	19511371	+	1104	3	4	6	1	1	3	2	0	4	5	2	6
FBtr0086497	2R	19511773	19513071	-	1299	3	4	6	5	4	4	8	2	5	11	6	3
FBtr0308797	2R	19517964	19631008	-	113045	4106	2428	7779	6916	3471	4561	7314	8206	4360	4406	4165	8500
FBtr0310331	2R	19517964	19630140	-	112177	3658	2106	7381	6484	3210	4166	6701	7377	3974	3968	3561	7848
FBtr0308785	2R	19523852	19629897	-	106046	3629	2088	7297	6421	3188	4132	6611	7272	3933	3939	3520	7730
FBtr0304653	2R	19529981	19546571	-	16591	228	114	876	859	301	407	974	1127	364	347	505	1146
FBtr0308786	2R	19530009	19631008	-	101000	4043	2390	7476	6635	3389	4456	6955	7856	4245	4308	3998	8099
FBtr0308795	2R	19530397	19565667	-	35271	2062	1248	2575	2077	1483	2104	2439	2638	1870	1920	1490	2833
FBtr0086495	2R	19530397	19546571	-	16175	225	113	852	840	297	397	947	1093	358	341	498	1115
FBtr0308796	2R	19530397	19629897	-	99501	3586	2063	7029	6162	3115	4040	6295	6955	3841	3858	3381	7381
FBtr0300829	2R	19594290	19596766	+	2477	12	4	12	4	4	10	6	6	5	2	10	8
FBtr0336983	2R	19646583	19647145	-	563	11	5	3	0	3	3	4	0	7	5	1	4
FBtr0086471	2R	19658073	19659499	+	1427	24	15	10	6	16	17	7	3	24	17	7	11
FBtr0340595	2R	19658981	19659499	+	519	4	2	4	2	3	4	3	0	7	6	5	3
FBtr0086472	2R	19662936	19663638	+	703	32	17	3	1	10	4	3	1	31	28	2	2
