# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/zld.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/zld.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region1523	chr2R	8913619	8914142	.	524	384	594	499	650	83	133	232	245	11	43	28	107	73
Region1524	chr2R	8914424	8914699	.	276	400	389	699	388	50	96	70	81	2	16	17	52	24
Region1525	chr2R	8915406	8915985	.	580	1095	1498	889	1090	76	100	464	318	9	56	38	111	95
Region1526	chr2R	8922644	8922908	.	265	361	471	588	431	48	87	112	110	11	16	11	54	30
Region1527	chr2R	8927950	8928282	.	333	708	915	1252	858	53	85	193	144	3	26	9	82	38
Region1528	chr2R	8947227	8947517	.	291	354	547	650	633	48	83	157	90	7	25	12	59	31
Region1529	chr2R	8950972	8951204	.	233	191	267	322	370	33	65	88	77	6	22	12	47	33
Region1530	chr2R	8952209	8952421	.	213	176	199	318	241	40	79	66	78	2	19	9	51	35
Region1531	chr2R	8985050	8985310	.	261	231	454	296	265	37	57	173	202	8	21	10	42	38
Region1532	chr2R	8985634	8986056	.	423	318	701	390	791	66	114	270	182	1	37	17	88	63
Region1533	chr2R	8992353	8992550	.	198	222	243	317	189	32	59	34	49	6	13	3	18	19
Region1534	chr2R	9006876	9007154	.	279	351	541	472	317	42	84	107	87	9	21	15	49	31
Region1535	chr2R	9039482	9039724	.	243	285	570	511	466	38	52	70	61	5	19	2	30	25
Region1536	chr2R	9050509	9050796	.	288	200	239	326	649	52	54	158	130	6	15	18	46	37
Region1537	chr2R	9055501	9055869	.	369	126	168	280	632	46	52	121	90	3	31	16	49	48
Region1538	chr2R	9072067	9072512	.	446	424	980	262	276	45	73	216	202	1	33	20	65	72
Region1539	chr2R	9075924	9076154	.	231	432	568	775	472	32	77	65	73	6	12	8	43	29
Region1540	chr2R	9095074	9095320	.	247	382	512	610	457	59	71	64	94	11	12	10	50	36
Region1541	chr2R	9103143	9103376	.	234	246	319	458	262	53	72	85	111	3	18	10	63	33
Region1542	chr2R	9104849	9105198	.	350	149	101	323	409	53	75	230	167	6	24	9	49	63
Region1543	chr2R	9110674	9110972	.	299	233	281	398	317	49	86	100	127	5	20	13	60	47
Region1544	chr2R	9112322	9112598	.	277	325	447	263	280	42	72	250	217	11	18	22	60	46
Region1545	chr2R	9115991	9116708	.	718	621	796	989	974	102	180	244	248	25	46	26	134	77
Region1546	chr2R	9131802	9131989	.	188	179	233	301	153	42	63	37	43	0	20	10	38	16
Region1547	chr2R	9132316	9132593	.	278	598	471	854	512	54	64	90	103	3	24	14	63	28
Region1548	chr2R	9133153	9133935	.	783	736	1318	494	643	107	172	492	311	15	55	38	119	107
Region1549	chr2R	9137833	9138096	.	264	445	773	559	555	48	74	81	78	3	20	10	40	37
Region1550	chr2R	9138374	9139240	.	867	437	938	1121	1816	136	223	366	374	20	82	42	166	109
Region1551	chr2R	9143820	9144026	.	207	234	327	350	353	43	69	101	102	4	18	13	46	31
Region1552	chr2R	9177197	9177397	.	201	135	161	223	246	46	56	87	70	2	5	10	51	32
Region1553	chr2R	9192010	9192262	.	253	390	456	329	282	39	60	42	75	2	12	8	30	28
Region1554	chr2R	9194908	9195233	.	326	452	812	371	413	42	65	223	155	3	21	18	55	46
Region1555	chr2R	9207133	9207687	.	555	814	1222	1083	875	78	141	152	154	13	38	13	97	57
Region1556	chr2R	9231306	9231854	.	549	413	694	299	383	66	104	249	236	8	30	24	95	65
Region1557	chr2R	9247071	9247493	.	423	483	545	826	802	67	78	220	208	3	32	23	56	48
Region1558	chr2R	9278893	9279147	.	255	253	456	355	376	42	78	114	101	5	14	18	52	28
Region1559	chr2R	9284947	9285270	.	324	484	724	812	661	55	103	87	103	7	22	15	46	39
Region1560	chr2R	9291506	9291917	.	412	332	600	662	525	61	124	105	106	5	14	8	58	48
Region1561	chr2R	9292421	9292938	.	518	511	955	569	1038	88	121	246	266	15	36	19	109	77
Region1562	chr2R	9351621	9351930	.	310	520	232	984	582	53	56	228	71	0	23	14	46	34
Region1563	chr2R	9398582	9398878	.	297	279	340	428	375	46	74	122	101	6	25	13	63	46
Region1564	chr2R	9400210	9400435	.	226	167	281	279	241	39	65	49	57	1	12	7	22	21
Region1565	chr2R	9406538	9406969	.	432	417	780	433	795	59	106	161	150	12	26	19	77	57
Region1566	chr2R	9414202	9414688	.	487	383	1060	510	922	61	125	228	219	11	49	24	114	71
Region1567	chr2R	9419678	9420076	.	399	231	379	665	1213	69	110	202	177	8	29	22	58	58
Region1568	chr2R	9423949	9424238	.	290	265	520	632	457	41	93	95	101	6	18	11	49	46
Region1569	chr2R	9426338	9426552	.	215	213	281	327	252	26	85	57	58	5	14	6	26	23
Region1570	chr2R	9426881	9427115	.	235	251	407	325	437	40	72	123	94	5	24	8	36	36
Region1571	chr2R	9441284	9441752	.	469	495	1160	711	1030	62	126	275	214	12	35	31	91	67
Region1572	chr2R	9481754	9482275	.	522	1241	2815	4723	11127	306	503	243	740	57	48	68	429	92
Region1573	chr2R	9482714	9483161	.	448	376	662	2113	5155	233	391	156	377	45	45	53	336	59
Region1574	chr2R	9490852	9491302	.	451	451	1012	245	450	59	108	182	157	8	35	19	59	69
Region1575	chr2R	9541657	9541915	.	259	435	480	517	277	48	62	61	68	4	11	15	46	23
Region1576	chr2R	9552549	9552886	.	338	221	344	366	447	47	72	157	181	12	14	11	68	51
Region1577	chr2R	9577904	9578176	.	273	338	370	564	455	47	52	103	86	9	26	21	66	33
Region1578	chr2R	9578894	9579213	.	320	570	587	929	464	63	87	81	83	4	16	12	55	36
Region1579	chr2R	9584837	9585212	.	376	280	363	685	554	68	82	235	101	14	29	29	48	51
Region1580	chr2R	9587056	9587280	.	225	252	314	365	303	46	61	73	100	12	19	11	55	23
Region1581	chr2R	9590741	9591028	.	288	313	444	487	412	43	88	116	103	4	25	15	70	39
Region1582	chr2R	9593971	9594305	.	335	226	384	305	417	39	100	148	115	15	18	20	74	46
Region1583	chr2R	9691920	9693843	.	1924	2577	3414	4005	3469	281	441	814	760	28	136	86	334	211
Region1584	chr2R	9694566	9695043	.	478	315	623	616	1320	72	95	171	150	8	29	20	93	50
Region1585	chr2R	9698974	9699306	.	333	102	128	218	485	47	77	172	106	6	27	12	51	47
Region1586	chr2R	9701958	9702306	.	349	145	252	321	1159	54	91	127	96	20	32	19	53	50
Region1587	chr2R	9712135	9712491	.	357	178	474	394	806	64	104	121	99	4	30	11	79	37
Region1588	chr2R	9714479	9714935	.	457	324	735	1190	2981	74	119	172	167	14	32	26	68	60
Region1589	chr2R	9810709	9810948	.	240	489	559	653	408	44	94	58	71	7	15	11	48	29
Region1590	chr2R	9820055	9820377	.	323	645	926	904	652	34	78	79	96	2	20	7	49	48
Region1591	chr2R	9842432	9842669	.	238	268	358	454	353	46	66	92	86	5	23	7	66	30
Region1592	chr2R	9875030	9875406	.	377	869	1421	1587	1374	64	126	145	183	11	24	18	99	67
Region1593	chr2R	9891392	9891771	.	380	430	548	666	535	52	102	215	159	5	24	14	80	56
Region1594	chr2R	9910734	9910940	.	207	201	338	360	278	29	78	55	54	6	7	5	44	33
Region1595	chr2R	9929489	9929917	.	429	233	298	676	1189	56	75	253	263	11	29	18	86	43
Region1596	chr2R	9931417	9932150	.	734	163	96	1579	3698	98	114	334	326	8	35	34	147	86
Region1597	chr2R	9933784	9934184	.	401	82	86	410	850	57	75	122	144	10	25	15	61	46
Region1598	chr2R	9935150	9935608	.	459	104	40	450	1146	65	84	129	133	14	31	16	68	43
Region1599	chr2R	9942861	9943121	.	261	582	865	737	690	35	95	90	93	5	18	15	52	31
Region1600	chr2R	9958716	9958997	.	282	496	602	845	614	55	82	125	131	4	20	12	68	37
Region1601	chr2R	9959697	9960660	.	964	561	833	1742	4333	152	224	391	409	17	70	38	197	128
Region1602	chr2R	9967357	9967662	.	306	216	267	355	458	63	71	225	196	7	30	17	60	46
Region1603	chr2R	9968947	9969612	.	666	709	1154	822	1040	101	165	413	372	17	62	40	143	106
Region1604	chr2R	9971013	9971632	.	620	679	981	1608	973	122	173	225	261	18	58	18	126	71
Region1605	chr2R	9972723	9973019	.	297	475	669	617	494	62	94	85	125	10	13	13	45	40
Region1606	chr2R	9973263	9974634	.	1372	1820	4024	3144	8418	208	296	698	555	33	122	58	229	176
Region1607	chr2R	9975049	9976152	.	1104	611	1079	841	2646	156	264	370	254	20	80	38	158	110
Region1608	chr2R	9976966	9978453	.	1488	2336	3439	2758	10702	190	295	588	567	23	92	71	238	188
Region1609	chr2R	9978829	9981504	.	2676	3468	4109	4994	11766	340	521	1596	568	28	174	106	383	280
Region1610	chr2R	9983625	9985229	.	1605	715	1237	1047	3649	233	337	558	533	20	104	59	230	190
Region1611	chr2R	9985634	9987268	.	1635	1467	2139	1747	5681	233	295	683	514	24	116	67	231	208
Region1612	chr2R	9988830	9989251	.	422	1058	1522	1313	1219	72	137	168	210	13	28	15	128	67
Region1613	chr2R	10026650	10027002	.	353	428	771	844	622	75	98	139	136	20	27	20	70	38
Region1614	chr2R	10038213	10038457	.	245	184	238	188	413	49	58	178	95	4	17	16	48	39
Region1615	chr2R	10047936	10048759	.	824	571	929	867	1905	114	203	270	223	20	50	44	183	100
Region1616	chr2R	10052038	10052364	.	327	303	453	528	340	59	102	97	94	9	17	8	47	39
Region1617	chr2R	10066443	10067106	.	664	538	883	1242	1002	113	181	268	222	25	44	34	107	91
Region1618	chr2R	10075542	10075741	.	200	375	534	661	339	30	63	40	49	2	17	11	30	16
Region1619	chr2R	10076999	10077753	.	755	1443	3280	345	432	118	145	279	241	19	48	34	134	83
Region1620	chr2R	10078108	10078543	.	436	881	1834	591	591	73	97	175	186	19	40	17	87	49
Region1621	chr2R	10096790	10097029	.	240	255	372	426	433	48	75	76	62	2	13	7	38	23
Region1622	chr2R	10099504	10100148	.	645	510	787	699	991	106	176	245	197	14	48	28	139	98
Region1623	chr2R	10100801	10101166	.	366	435	808	828	937	69	98	173	186	6	24	21	75	61
Region1624	chr2R	10117509	10117818	.	310	389	480	580	530	50	93	112	139	7	27	11	59	35
Region1625	chr2R	10124695	10124948	.	254	281	517	313	352	40	84	147	170	3	25	10	48	38
Region1626	chr2R	10142165	10142585	.	421	1066	1497	1856	1288	62	115	192	145	8	28	18	98	67
Region1627	chr2R	10271530	10271823	.	294	235	404	474	699	40	90	180	150	13	24	16	69	41
Region1628	chr2R	10310050	10310305	.	256	140	219	270	293	56	68	116	99	5	18	9	38	32
Region1629	chr2R	10420991	10421263	.	273	146	269	236	370	45	76	95	97	5	29	13	65	32
Region1630	chr2R	10421889	10422140	.	252	168	314	224	445	51	56	124	124	5	16	8	55	32
Region1631	chr2R	10423218	10424019	.	802	481	916	562	682	111	168	293	312	26	63	33	135	115
Region1632	chr2R	10428360	10428651	.	292	349	614	322	319	58	75	148	150	14	28	18	53	45
Region1633	chr2R	10430184	10430655	.	472	503	1202	761	1308	79	137	258	309	13	41	24	130	69
Region1634	chr2R	10432395	10432721	.	327	378	808	648	1029	64	114	120	157	12	21	7	74	51
Region1635	chr2R	10437873	10438147	.	275	345	422	366	455	43	99	116	77	5	14	16	53	30
Region1636	chr2R	10441445	10441661	.	217	166	224	345	329	43	72	120	121	1	20	10	65	40
Region1637	chr2R	10465723	10465959	.	237	198	268	231	428	38	61	72	61	1	10	8	44	31
Region1638	chr2R	10468134	10468715	.	582	545	810	834	1069	86	141	342	225	12	56	37	139	100
Region1639	chr2R	10480027	10480286	.	260	302	452	404	494	54	97	99	139	11	18	25	88	42
Region1640	chr2R	10483841	10484277	.	437	317	427	429	774	66	137	283	235	7	39	27	88	69
Region1641	chr2R	10485147	10485778	.	632	1142	2398	2560	6194	96	189	261	226	12	41	37	152	77
Region1642	chr2R	10486244	10487105	.	862	1289	2501	2696	8520	122	236	263	269	23	48	32	172	94
Region1643	chr2R	10500593	10500841	.	249	212	322	243	314	41	70	193	155	1	25	11	45	43
Region1644	chr2R	10508398	10508778	.	381	424	629	236	244	57	94	308	369	18	32	17	83	76
Region1645	chr2R	10532314	10532703	.	390	229	378	372	420	59	107	353	204	11	29	23	89	83
Region1646	chr2R	10533108	10533887	.	780	353	579	634	1319	153	228	488	311	16	76	47	184	136
Region1647	chr2R	10534198	10536508	.	2311	3856	6790	8354	16858	310	614	926	924	71	166	117	507	309
Region1648	chr2R	10540364	10540718	.	355	231	580	420	855	53	92	131	111	8	27	27	94	61
Region1649	chr2R	10541520	10541971	.	452	757	1456	1323	2161	74	112	252	239	18	32	20	108	53
Region1650	chr2R	10542295	10542564	.	270	160	210	389	304	34	82	99	91	2	25	12	54	41
Region1651	chr2R	10543301	10543582	.	282	204	271	442	393	48	77	114	101	3	24	19	54	47
Region1652	chr2R	10558758	10559142	.	385	559	959	851	1351	57	90	183	175	10	35	16	66	49
Region1653	chr2R	10559519	10559969	.	451	360	759	581	1277	78	140	205	176	11	39	13	100	57
Region1654	chr2R	10561473	10561974	.	502	144	204	378	875	85	102	232	223	13	37	32	109	76
Region1655	chr2R	10581461	10582731	.	1271	1714	3300	2876	6999	144	292	499	438	28	82	44	242	163
Region1656	chr2R	10582943	10583876	.	934	3960	6861	6146	13844	137	231	582	490	31	72	47	223	138
Region1657	chr2R	10584201	10584600	.	400	577	850	512	1137	60	108	226	203	19	33	20	119	59
Region1658	chr2R	10596084	10596534	.	451	391	762	279	460	70	120	166	166	11	30	24	91	56
Region1659	chr2R	10614558	10614780	.	223	142	83	349	464	38	50	223	80	6	11	8	28	34
Region1660	chr2R	10645469	10645827	.	359	427	423	689	442	99	185	90	99	13	25	16	63	33
Region1661	chr2R	10673174	10673525	.	352	233	513	289	456	63	75	132	120	9	28	9	65	50
Region1662	chr2R	10731420	10731674	.	255	248	400	437	319	30	74	74	92	4	9	12	46	27
Region1663	chr2R	10739748	10739995	.	248	352	531	544	337	52	62	79	99	6	20	10	58	46
Region1664	chr2R	10782758	10783012	.	255	520	685	673	591	41	84	119	116	9	18	19	34	49
Region1665	chr2R	10798621	10798912	.	292	241	439	316	527	52	92	167	145	1	32	17	52	45
Region1666	chr2R	10805150	10805455	.	306	254	381	327	442	45	85	143	130	7	24	17	71	39
Region1667	chr2R	10808840	10809084	.	245	223	282	299	346	47	94	113	101	7	16	14	72	37
Region1668	chr2R	10810853	10811173	.	321	840	914	1306	772	55	114	108	105	16	26	12	60	32
Region1669	chr2R	10819733	10820105	.	373	724	1030	1203	951	71	115	185	149	13	31	16	108	71
Region1670	chr2R	10821356	10821753	.	398	297	589	535	605	64	107	196	195	6	28	22	83	63
Region1671	chr2R	10838609	10838862	.	254	297	471	378	349	42	77	77	70	6	13	9	41	16
Region1672	chr2R	10843643	10845058	.	1416	1447	2701	2591	6778	190	375	662	511	32	100	64	304	189
Region1673	chr2R	10861481	10861658	.	178	195	275	364	268	37	63	88	113	3	11	7	40	42
Region1674	chr2R	10874499	10874930	.	432	432	734	677	911	54	129	172	203	15	21	25	112	57
Region1675	chr2R	10875625	10875917	.	293	237	355	401	302	42	77	95	112	1	26	12	45	31
Region1676	chr2R	10879559	10879785	.	227	229	287	386	327	46	68	65	73	2	13	6	55	23
Region1677	chr2R	10886663	10886949	.	287	243	396	383	429	53	92	108	102	5	28	12	52	38
Region1678	chr2R	10898861	10899308	.	448	887	1147	1148	896	70	109	153	162	4	30	19	65	47
Region1679	chr2R	11064116	11064457	.	342	112	131	248	663	60	60	192	158	8	18	17	58	40
Region1680	chr2R	11085243	11085872	.	630	279	635	396	910	95	157	181	153	10	36	25	88	62
Region1681	chr2R	11090313	11091271	.	959	220	272	782	2272	125	221	374	294	20	63	24	119	121
Region1682	chr2R	11100439	11100893	.	455	539	891	635	1234	58	122	139	156	12	31	14	74	49
Region1683	chr2R	11134409	11134651	.	243	530	568	412	225	10	19	24	36	0	7	3	29	19
Region1684	chr2R	11182635	11183130	.	496	1085	1823	1427	2416	56	126	222	201	13	30	22	87	66
Region1685	chr2R	11188992	11189284	.	293	338	437	350	581	54	57	148	103	9	24	17	53	38
Region1686	chr2R	11191399	11192107	.	709	1235	2032	1624	5684	86	156	230	196	18	32	30	125	84
Region1687	chr2R	11196807	11197635	.	829	1160	1772	1643	3319	104	209	283	326	6	42	30	136	80
Region1688	chr2R	11198123	11200028	.	1906	3431	7407	5800	14383	223	449	735	718	39	152	81	341	234
Region1689	chr2R	11204479	11204792	.	314	210	390	325	647	42	81	147	164	9	24	19	71	39
Region1690	chr2R	11219099	11219607	.	509	485	513	758	380	66	112	136	124	14	20	17	65	40
Region1691	chr2R	11237408	11238017	.	610	1177	2667	1231	3424	81	154	257	214	18	48	30	121	70
Region1692	chr2R	11279601	11280137	.	537	492	778	584	633	95	149	312	278	11	45	31	126	93
Region1693	chr2R	11283862	11284095	.	234	216	275	337	355	47	58	102	85	0	20	9	45	29
Region1694	chr2R	11289201	11289973	.	773	865	1222	1460	1319	127	198	340	349	18	67	38	149	113
Region1695	chr2R	11297281	11297634	.	354	261	538	501	659	66	80	180	150	9	29	12	96	48
Region1696	chr2R	11306947	11307961	.	1015	694	1046	1022	1513	142	271	345	314	10	67	39	190	126
Region1697	chr2R	11360597	11360834	.	238	190	229	393	246	56	75	91	81	3	11	10	33	26
Region1698	chr2R	11367220	11367566	.	347	117	254	295	431	36	87	107	113	9	25	15	68	39
Region1699	chr2R	11370976	11371363	.	388	1069	1405	2207	1594	53	92	173	162	9	24	17	101	41
Region1700	chr2R	11382918	11383191	.	274	183	419	313	496	40	74	99	110	4	15	15	53	37
Region1701	chr2R	11397222	11398185	.	964	1346	2447	2084	3345	125	275	357	346	32	71	38	215	128
Region1702	chr2R	11398648	11399190	.	543	361	642	368	864	70	136	190	155	9	38	17	95	61
Region1703	chr2R	11400347	11400806	.	460	143	186	885	3094	84	110	154	147	11	36	15	97	60
Region1704	chr2R	11410822	11411064	.	243	393	331	453	176	46	67	39	49	3	5	6	20	22
Region1705	chr2R	11415591	11415843	.	253	381	431	826	685	70	105	187	151	9	15	22	56	35
Region1706	chr2R	11418222	11418399	.	178	204	180	381	326	54	83	132	131	4	16	9	31	35
Region1707	chr2R	11451815	11452032	.	218	237	242	358	302	44	72	85	73	7	18	3	34	26
Region1708	chr2R	11455377	11456084	.	708	1042	1411	1290	4166	90	163	298	229	13	59	27	108	76
Region1709	chr2R	11469451	11469745	.	295	469	494	933	604	56	75	172	177	4	21	12	45	28
Region1710	chr2R	11470937	11471280	.	344	976	1386	1303	830	49	90	170	139	5	17	19	61	53
Region1711	chr2R	11475131	11475885	.	755	2036	2961	3850	2911	101	175	320	312	10	55	32	142	106
Region1712	chr2R	11524725	11525149	.	425	303	718	567	1136	54	98	174	132	5	26	15	67	49
Region1713	chr2R	11525812	11526470	.	659	389	832	712	1354	78	126	316	224	15	51	22	87	88
Region1714	chr2R	11527742	11528532	.	791	2352	3313	4564	3008	126	169	432	332	22	58	31	161	114
Region1715	chr2R	11529457	11529890	.	434	1830	2594	3425	2669	63	113	231	225	18	27	14	100	56
Region1716	chr2R	11532316	11532837	.	522	447	1040	623	1780	76	108	184	181	17	28	19	73	72
Region1717	chr2R	11537320	11537797	.	478	286	787	387	1268	79	95	235	234	10	31	18	89	61
Region1718	chr2R	11546546	11547161	.	616	705	1800	969	2298	76	140	280	265	16	37	28	95	90
Region1719	chr2R	11555805	11556083	.	279	91	185	289	672	47	75	87	103	10	13	13	55	29
Region1720	chr2R	11565700	11565918	.	219	163	277	261	307	30	48	95	75	6	15	10	32	21
Region1721	chr2R	11566955	11567263	.	309	243	502	125	116	45	73	158	83	6	13	10	45	33
Region1722	chr2R	11592312	11592570	.	259	162	428	279	531	40	91	92	98	1	30	12	42	31
Region1723	chr2R	11593017	11593329	.	313	247	459	335	723	58	87	152	120	3	21	12	60	38
Region1724	chr2R	11596904	11597239	.	336	281	624	436	705	48	107	195	195	11	28	20	89	46
Region1725	chr2R	11597739	11598255	.	517	471	947	413	648	76	150	293	258	16	56	26	111	79
Region1726	chr2R	11603342	11603756	.	415	742	1201	1192	1764	50	96	266	263	9	34	16	68	57
Region1727	chr2R	11604507	11604673	.	167	180	211	212	280	32	44	91	64	3	16	10	40	28
Region1728	chr2R	11604931	11605226	.	296	230	389	312	373	48	76	186	113	5	20	17	49	50
Region1729	chr2R	11609119	11609481	.	363	210	409	305	552	64	88	159	167	5	21	14	79	65
Region1730	chr2R	11613150	11613361	.	212	177	219	259	339	35	71	113	67	4	21	11	44	29
Region1731	chr2R	11615024	11615431	.	408	443	880	704	1437	56	107	184	201	9	29	24	98	49
Region1732	chr2R	11615949	11616238	.	290	156	370	261	530	50	99	114	129	10	19	11	57	34
Region1733	chr2R	11618883	11619186	.	304	247	446	338	389	54	77	91	63	9	17	11	46	29
Region1734	chr2R	11626481	11626676	.	196	125	278	230	348	41	67	81	91	8	25	6	48	22
Region1735	chr2R	11628116	11628298	.	183	185	261	169	216	27	75	73	42	1	14	4	31	15
Region1736	chr2R	11632302	11632855	.	554	205	596	439	982	99	149	159	164	13	33	21	94	54
Region1737	chr2R	11633132	11633746	.	615	269	477	700	992	92	162	251	261	10	56	30	146	84
Region1738	chr2R	11634786	11635041	.	256	183	270	297	562	32	83	70	61	9	22	12	53	43
Region1739	chr2R	11636002	11636393	.	392	116	125	477	1618	54	91	170	158	4	30	29	94	54
Region1740	chr2R	11638307	11638631	.	325	155	310	252	696	43	73	141	144	15	27	16	89	50
Region1741	chr2R	11639535	11639731	.	197	154	349	269	366	33	66	116	95	4	10	14	49	36
Region1742	chr2R	11650942	11651178	.	237	225	430	282	401	45	80	140	140	13	15	12	54	30
Region1743	chr2R	11658941	11659281	.	341	117	176	259	604	42	96	163	169	9	32	15	82	55
Region1744	chr2R	11673100	11673366	.	267	271	486	167	145	38	63	193	173	6	19	8	43	44
Region1745	chr2R	11679237	11679556	.	320	582	791	768	581	73	102	132	120	16	29	15	72	57
Region1746	chr2R	11710225	11710483	.	259	386	602	521	541	49	83	101	97	7	25	14	56	34
Region1747	chr2R	11711977	11712362	.	386	420	889	617	636	58	111	194	116	4	17	7	74	48
Region1748	chr2R	11732930	11733410	.	481	454	923	460	1284	84	97	147	118	7	26	19	65	53
Region1749	chr2R	11742130	11742536	.	407	284	543	456	1281	65	106	145	126	7	30	12	61	40
Region1750	chr2R	11793991	11794952	.	962	1156	2258	2040	5353	128	217	314	303	16	62	39	168	115
Region1751	chr2R	11795542	11796454	.	913	542	1013	989	2436	127	208	304	279	32	57	47	135	120
Region1752	chr2R	11800035	11800534	.	500	314	649	317	758	60	133	186	140	10	29	18	72	57
Region1753	chr2R	11825151	11825415	.	265	256	460	492	399	33	82	65	57	5	19	2	37	30
Region1754	chr2R	11885549	11885777	.	229	235	474	344	418	32	69	107	113	12	19	14	55	19
Region1755	chr2R	11891920	11893448	.	1529	1040	1434	1671	2267	227	398	494	542	42	105	74	318	211
Region1756	chr2R	11899403	11899600	.	198	142	226	227	305	35	68	94	74	1	16	8	41	21
Region1757	chr2R	11981958	11982735	.	778	1755	3151	2922	6454	124	156	400	267	12	65	43	158	104
Region1758	chr2R	11984840	11985515	.	676	270	491	540	1089	119	168	330	263	7	48	34	181	116
Region1759	chr2R	11988963	11989228	.	266	187	254	364	271	55	73	92	83	5	20	13	41	39
Region1760	chr2R	12017412	12018678	.	1267	488	853	1155	2439	182	268	428	414	35	104	57	207	156
Region1761	chr2R	12019699	12020003	.	305	175	345	261	583	40	96	114	86	15	26	9	70	27
Region1762	chr2R	12024980	12025409	.	430	350	815	519	1377	57	116	211	159	5	39	22	102	72
Region1763	chr2R	12026729	12027326	.	598	327	527	645	1664	86	154	243	248	20	57	26	130	81
Region1764	chr2R	12027833	12028080	.	248	301	374	340	352	44	65	77	106	11	17	11	58	30
Region1765	chr2R	12038819	12039105	.	287	243	380	509	374	47	90	70	54	7	13	4	38	36
Region1766	chr2R	12065945	12066221	.	277	305	354	628	379	23	55	104	113	1	14	9	47	40
Region1767	chr2R	12114332	12114702	.	371	93	49	300	742	57	66	124	117	9	23	17	56	42
Region1768	chr2R	12118833	12119156	.	324	229	219	355	507	43	53	227	85	1	19	11	45	32
Region1769	chr2R	12138597	12138886	.	290	621	679	1078	552	51	93	112	117	9	15	15	60	53
Region1770	chr2R	12140497	12140746	.	250	295	219	509	237	39	70	56	53	2	18	15	41	17
Region1771	chr2R	12150940	12151171	.	232	284	336	429	274	46	85	94	130	6	18	17	44	33
Region1772	chr2R	12168528	12169265	.	738	745	1273	1091	1664	110	207	374	315	22	63	29	152	92
Region1773	chr2R	12172853	12173112	.	260	141	254	323	440	39	79	103	99	11	29	11	65	46
Region1774	chr2R	12174133	12174424	.	292	364	519	480	467	43	111	95	107	3	31	14	74	42
Region1775	chr2R	12199780	12201333	.	1554	1507	1845	2260	2419	195	337	698	635	33	130	70	301	175
Region1776	chr2R	12208996	12209348	.	353	281	311	262	697	57	104	145	145	10	20	13	91	50
