EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification
Region8375	chrX	9496970	9497612	FBgn0261260	chrX	9360317	9472416	24553	Toll10b Down	Toll10b Down
Region8421	chrX	10087978	10088779	FBgn0030177	chrX	10083248	10084722	3255	Toll9 Down	Toll9 Up
Region8422	chrX	10089366	10089823	FBgn0030177	chrX	10083248	10084722	4643	Toll9 Down	Toll10b Down
Region8424	chrX	10113394	10114002	FBgn0083940	chrX	10122197	10148445	8194	Toll9 Up	Toll9 Up
Region8425	chrX	10115605	10116070	FBgn0083940	chrX	10122197	10148445	6126	Toll9 Up	Toll9 Up
Region8474	chrX	10822082	10823864	FBgn0285926	chrX	10797072	10813361	8720	Time Up	Time Up
Region8476	chrX	10825037	10825491	FBgn0003321	chrX	10833512	10846588	8020	Toll9 Up	Toll10b Up
Region8723	chrX	13754678	13755556	FBgn0020909	chrX	13757271	13758541	1714	Toll9 Down	Time Up
Region9197	chrX	19764591	19766236	FBgn0031070	chrX	19759374	19762233	2357	Toll9 Down	Toll10b Down
Region9206	chrX	19786660	19787270	FBgn0259789	chrX	19769440	19782286	4373	Toll10b Down	Toll10b Down
Region9207	chrX	19787998	19789111	FBgn0259789	chrX	19769440	19782286	5711	Toll10b Down	Toll9 Up
Region9233	chrX	20377358	20378791	FBgn0027334	chrX	20391536	20392255	12744	Toll10b Up	Gd7 Down
Region9271	chrX	20941694	20942193	FBgn0031142	chrX	21023650	21025790	81456	Toll9 Up	Gd7 Down
Region9301	chrX	21542714	21543280	FBgn0027588	chrX	21600846	21604569	57565	Toll10b Down	Gd7 Up
Region9302	chrX	21543521	21543928	FBgn0027588	chrX	21600846	21604569	56917	Toll10b Down	Gd7 Up
Region9321	chrX	22836475	22836955	FBgn0000719	chrX	22827050	22829239	7235	Toll9 Down	Toll10b Down
