SampleInfo	Antibody	Assaytype	Nuclearcycle	Genotype	seqID	bamFiles	Time	Treatment	Replicate	Experiment
gd7_5h_3	NA	ATAC-Seq	NA	gd7	P13169_1027_S79	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1027_S79.dmel.bowtie2.sorted.bam	5h	NA	3	Toll ATAC-Seq
gd7_5h_1_Fixed	NA	ATAC-Seq	NA	gd7	P13169_1028_S80	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1028_S80.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq
gd7_5h_2_Fixed	NA	ATAC-Seq	NA	gd7	P13169_1029_S81	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1029_S81.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq
Toll9/10_Fixed_1_5h	NA	ATAC-Seq	NA	Toll9/10	P13169_1030_S82	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1030_S82.dmel.bowtie2.sorted.bam	Fixed	NA	1	Toll ATAC-Seq
Toll9/10_Fixed_2_5h	NA	ATAC-Seq	NA	Toll9/10	P13169_1031_S83	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1031_S83.dmel.bowtie2.sorted.bam	Fixed	NA	2	Toll ATAC-Seq
Naive_Nc9_1_Fixed	NA	ATAC-Seq	NA	Naive	P13169_1032_S84	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1032_S84.dmel.bowtie2.sorted.bam	Nc9	NA	1	Toll ATAC-Seq
Naive_Nc9_2_Fixed	NA	ATAC-Seq	NA	Naive	P13169_1033_S85	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1033_S85.dmel.bowtie2.sorted.bam	Nc9	NA	2	Toll ATAC-Seq
Naive_Nc9_3_Fixed	NA	ATAC-Seq	NA	Naive	P13169_1034_S86	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1034_S86.dmel.bowtie2.sorted.bam	Nc9	NA	3	Toll ATAC-Seq
Naive_Nc10_1_Fixed	NA	ATAC-Seq	NA	Naive	P13169_1035_S87	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1035_S87.dmel.bowtie2.sorted.bam	Nc10	NA	1	Toll ATAC-Seq
Naive_Nc10_2_Fixed	NA	ATAC-Seq	NA	Naive	P13169_1036_S88	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1036_S88.dmel.bowtie2.sorted.bam	Nc10	NA	2	Toll ATAC-Seq
Naive_Nc10_3_Fixed	NA	ATAC-Seq	NA	Naive	P13169_1037_S89	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1037_S89.dmel.bowtie2.sorted.bam	Nc10	NA	3	Toll ATAC-Seq
Naive_Nc11_1_Fixed	NA	ATAC-Seq	NA	Naive	P13169_1038_S90	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1038_S90.dmel.bowtie2.sorted.bam	Nc11	NA	1	Toll ATAC-Seq
Naive_Nc11_2_Fixed	NA	ATAC-Seq	NA	Naive	P13169_1039_S91	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1039_S91.dmel.bowtie2.sorted.bam	Nc11	NA	2	Toll ATAC-Seq
gd7_5h_1_spiked-in	NA	ATAC-Seq	NA	gd7	P13169_1040_S92	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1040_S92.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq
gd7_5h_2_spiked-in	NA	ATAC-Seq	NA	gd7	P13169_1041_S93	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1041_S93.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq
Toll9/10_5h_1_spiked-in	NA	ATAC-Seq	NA	Toll9/10	P13169_1042_S94	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1042_S94.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq
Toll9/10_5h_2_spiked-in	NA	ATAC-Seq	NA	Toll9/10	P13169_1043_S95	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1043_S95.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq
Toll10b_K27ac_2_R1	K27ac	ChIP-seq	NA	Toll10b	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	2	Toll ChIP-Seq
Toll910_H3_2_R1	H3	ChIP-seq	NA	Toll910	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	2	Toll ChIP-Seq
Toll910_K27ac_2_R1	K27ac	ChIP-seq	NA	Toll910	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	2	Toll ChIP-Seq
gd7_K27me3_1_R1	K27me3	ChIP-seq	NA	gd7	SRR	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	1	Toll ChIP-Seq
Toll910_K27me3_1_R1	K27me3	ChIP-seq	NA	Toll910	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	1	Toll ChIP-Seq
Toll10b_K27me3_1_R1	K27me3	ChIP-seq	NA	Toll10b	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	1	Toll ChIP-Seq
Toll910_H3_1_R1	H3	ChIP-seq	NA	Toll910	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	1	Toll ChIP-Seq
Toll10b_K27ac_1_R1	K27ac	ChIP-seq	NA	Toll10b	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	1	Toll ChIP-Seq
Toll910_K27me3_2_R1	K27me3	ChIP-seq	NA	Toll910	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	2	Toll ChIP-Seq
Toll910_Input_2_R1	Input	ChIP-seq	NA	Toll910	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	2	Toll ChIP-Seq
gd7_K27ac_2_R1	K27ac	ChIP-seq	NA	gd7	SRR	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	2	Toll ChIP-Seq
gd7_K27me3_2_R1	K27me3	ChIP-seq	NA	gd7	SRR	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	2	Toll ChIP-Seq
Toll910_Input_1_R1	Input	ChIP-seq	NA	Toll910	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	1	Toll ChIP-Seq
gd7_K27ac_1_R1	K27ac	ChIP-seq	NA	gd7	SRR	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	1	Toll ChIP-Seq
Toll910_K27ac_1_R1	K27ac	ChIP-seq	NA	Toll910	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	1	Toll ChIP-Seq
Toll10b_K27me3_2_R1	K27me3	ChIP-seq	NA	Toll10b	SRR	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	NA	2	Toll ChIP-Seq
gd7_WCE_rep4	WCE	ChIP-seq	NA	gd7	SRR	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep4	Toll ChIP-Seq
Tol10b_H3K4me1_rep2	H3K4me1	ChIP-seq	NA	Tol10b	SRR	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep2	Toll ChIP-Seq
gd7_zld_rep1	zld	ChIP-seq	NA	gd7	SRR	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep1	Toll ChIP-Seq
gd7_zld_rep2	zld	ChIP-seq	NA	gd7	SRR	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep2	Toll ChIP-Seq
Tol10b_H3K4me1_rep1	H3K4me1	ChIP-seq	NA	Tol10b	SRR	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep1	Toll ChIP-Seq
Toll10b_WCE_rep5	WCE	ChIP-seq	NA	Toll10b	SRR	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep5	Toll ChIP-Seq
Toll10b_WCE_rep3	WCE	ChIP-seq	NA	Toll10b	SRR	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep3	Toll ChIP-Seq
gd7_H3K4me1_rep1	H3K4me1	ChIP-seq	NA	gd7	SRR	./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep1	Toll ChIP-Seq
gd7_WCE_rep2	WCE	ChIP-seq	NA	gd7	SRR	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep2	Toll ChIP-Seq
Toll10b_zld_rep1	zld	ChIP-seq	NA	Toll10b	SRR	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep1	Toll ChIP-Seq
Tol10b_WCE_rep4	WCE	ChIP-seq	NA	Tol10b	SRR	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep4	Toll ChIP-Seq
Toll10b_WCE_rep2	WCE	ChIP-seq	NA	Toll10b	SRR	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep2	Toll ChIP-Seq
Toll10b_zld_rep2	zld	ChIP-seq	NA	Toll10b	SRR	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep2	Toll ChIP-Seq
gd7_WCE_rep1	WCE	ChIP-seq	NA	gd7	SRR	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam	2_4_hrs	NA	rep1	Toll ChIP-Seq
