# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "ppc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/CBP_PPC.featureCount.count.tab.txt" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_CBP_S7.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_input_S1.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_CBP_S8.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_input_S2.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_CBP_S11.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_input_S5.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_CBP_S12.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_input_S6.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_CBP_S9.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_input_S3.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_CBP_S10.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_input_S4.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/Undetermined_S0.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_CBP_S7.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_input_S1.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_CBP_S8.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_input_S2.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_CBP_S11.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_input_S5.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_CBP_S12.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_input_S6.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_CBP_S9.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_input_S3.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_CBP_S10.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_input_S4.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/Undetermined_S0.dm6.bowtie2.sorted.bam
FBtr0343769	2L	16760454	16760604	-	151	20	59	27	58	14	73	9	70	16	67	10	64	11
FBtr0080906	2L	16766516	16766666	+	151	15	35	6	46	17	37	4	45	9	25	9	37	6
FBtr0301827	2L	16766684	16766834	+	151	13	34	11	45	9	31	4	31	9	25	8	24	3
FBtr0301828	2L	16766876	16767026	+	151	5	45	6	66	4	57	1	59	1	58	1	45	2
FBtr0307494	2L	16767727	16767877	+	151	5	73	14	63	7	61	2	64	4	67	1	67	10
FBtr0307495	2L	16768561	16768711	+	151	14	61	5	68	5	79	8	67	13	58	6	66	6
FBtr0331931	2L	16790621	16790771	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080932	2L	16790621	16790771	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080908	2L	16791518	16791668	+	151	19	46	17	70	18	41	7	57	18	32	11	55	5
FBtr0331620	2L	16794161	16794311	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080909	2L	16794161	16794311	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080910	2L	16796545	16796695	+	151	8	70	10	74	13	64	3	62	12	51	12	54	10
FBtr0080911	2L	16798975	16799125	+	151	24	51	22	50	13	65	6	57	13	56	16	71	7
FBtr0344850	2L	16799718	16799868	+	151	23	48	28	49	14	49	18	65	15	43	11	40	7
FBtr0331625	2L	16803977	16804127	-	151	21	45	16	53	19	52	2	47	9	46	12	48	6
FBtr0331621	2L	16804834	16804984	+	151	23	36	24	49	15	55	6	49	17	46	6	40	8
FBtr0080914	2L	16807266	16807416	+	151	11	53	15	43	6	35	8	42	16	37	12	46	9
FBtr0080917	2L	16816610	16816760	+	151	92	75	74	80	64	76	23	77	53	61	37	70	15
FBtr0347182	2L	16817058	16817208	+	151	29	62	24	86	14	63	6	88	11	59	10	54	11
FBtr0080931	2L	16820993	16821143	-	151	7	69	5	61	4	102	2	75	4	76	4	63	11
FBtr0080930	2L	16825107	16825257	-	151	240	73	209	77	80	64	49	86	155	70	96	60	18
FBtr0080919	2L	16827028	16827178	+	151	90	72	68	66	49	77	23	68	51	54	49	77	14
FBtr0331623	2L	16827309	16827459	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331622	2L	16827309	16827459	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080929	2L	16833898	16834048	-	151	10	52	6	61	8	48	6	69	12	51	2	47	9
FBtr0331624	2L	16834402	16834552	-	151	7	67	1	69	10	78	1	74	6	61	1	48	6
FBtr0080928	2L	16837158	16837308	-	151	17	60	6	51	9	53	0	65	4	60	9	68	5
FBtr0344544	2L	16837922	16838072	+	151	1	64	0	60	1	63	0	75	2	71	0	76	13
FBtr0344543	2L	16838541	16838691	+	151	14	59	15	47	5	60	3	56	21	52	7	58	9
FBtr0344539	2L	16840087	16840237	+	151	26	54	20	56	10	66	11	44	17	41	5	56	9
FBtr0332334	2L	16847097	16847247	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080927	2L	16847097	16847247	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345747	2L	16848616	16848766	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332333	2L	16848616	16848766	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080925	2L	16852268	16852418	-	151	9	66	7	80	13	59	5	71	11	43	3	70	7
FBtr0344852	2L	16858462	16858612	-	151	11	34	4	45	8	58	4	40	3	17	1	21	8
FBtr0113414	2L	16858614	16858764	-	151	35	41	39	46	25	54	26	46	9	10	8	18	6
FBtr0080923	2L	16861389	16861539	-	151	23	57	22	48	25	59	18	44	19	36	16	65	7
FBtr0112511	2L	16879467	16879617	+	151	60	70	36	74	31	76	11	76	39	49	17	59	12
FBtr0340171	2L	16881162	16881312	+	151	14	28	22	40	10	37	12	39	15	24	12	18	2
FBtr0340172	2L	16888440	16888590	+	151	260	56	276	65	60	58	65	61	199	49	134	73	20
FBtr0301255	2L	16889858	16890008	+	151	3	72	1	91	0	66	1	70	1	73	0	70	5
FBtr0273383	2L	16900373	16900523	-	151	3	61	5	58	6	59	0	69	1	72	1	56	8
FBtr0080957	2L	16902118	16902268	-	151	22	61	21	75	23	66	7	70	12	67	16	59	12
FBtr0304931	2L	16910318	16910468	-	151	1	52	1	68	4	50	2	58	0	70	0	62	7
FBtr0329973	2L	16973041	16973191	+	151	26	35	21	42	9	36	7	41	18	35	11	39	9
FBtr0080955	2L	17013034	17013184	-	151	3	57	4	64	0	59	0	65	0	62	1	57	3
FBtr0346585	2L	17014600	17014750	-	151	0	60	6	55	2	47	0	74	4	50	0	57	8
FBtr0332011	2L	17048181	17048331	-	151	2	59	1	55	1	66	2	70	1	57	0	39	4
FBtr0080953	2L	17087591	17087741	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332225	2L	17087591	17087741	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302499	2L	17125861	17126011	-	151	5	41	1	44	4	56	2	59	3	43	1	55	5
FBtr0340178	2L	17130974	17131124	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0303301	2L	17130974	17131124	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080962	2L	17176568	17176718	+	151	10	51	8	62	4	55	3	68	14	49	2	64	10
FBtr0080963	2L	17178722	17178872	+	151	7	48	2	52	10	74	1	46	5	52	6	63	7
FBtr0080964	2L	17180288	17180438	+	151	4	69	0	58	5	67	4	62	0	46	2	51	14
FBtr0080965	2L	17181888	17182038	+	151	19	45	8	60	12	64	3	61	7	40	2	62	6
FBtr0080972	2L	17260634	17260784	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080971	2L	17260634	17260784	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302408	2L	17286190	17286340	+	151	1	77	0	61	1	60	0	76	2	67	0	67	9
FBtr0339800	2L	17292102	17292252	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080970	2L	17292102	17292252	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080968	2L	17384015	17384165	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339797	2L	17384015	17384165	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080975	2L	17384650	17384800	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301442	2L	17384650	17384800	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332454	2L	17384965	17385115	+	151	34	88	38	67	21	67	13	68	27	73	12	70	10
FBtr0332451	2L	17386096	17386246	+	151	1	66	1	67	0	69	1	82	3	70	0	86	10
FBtr0332455	2L	17389291	17389441	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301441	2L	17389291	17389441	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332452	2L	17389291	17389441	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339796	2L	17389291	17389441	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080979	2L	17410591	17410741	+	151	278	60	272	72	136	51	70	59	191	59	128	66	20
FBtr0081008	2L	17428099	17428249	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301577	2L	17428099	17428249	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301578	2L	17433061	17433211	-	151	9	32	7	33	5	42	3	47	8	35	7	32	8
FBtr0080980	2L	17433812	17433962	+	151	6	52	5	64	2	66	3	67	1	67	4	66	3
FBtr0301383	2L	17445467	17445617	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0340250	2L	17445467	17445617	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301384	2L	17448410	17448560	-	151	11	53	11	50	5	64	5	60	9	63	5	60	6
FBtr0081005	2L	17450264	17450414	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081007	2L	17450264	17450414	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080981	2L	17452874	17453024	+	151	22	55	13	56	4	43	1	64	10	49	11	52	4
FBtr0305682	2L	17453049	17453199	+	151	9	46	5	50	2	63	5	44	3	46	1	36	6
FBtr0081004	2L	17455823	17455973	-	151	11	57	8	60	12	67	7	80	7	53	6	56	3
FBtr0300902	2L	17457944	17458094	-	151	16	78	8	67	10	64	6	65	9	66	4	55	10
FBtr0305683	2L	17471553	17471703	+	151	18	95	7	58	7	64	3	82	11	59	5	60	13
FBtr0330225	2L	17473115	17473265	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330226	2L	17473115	17473265	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305688	2L	17473115	17473265	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080982	2L	17473440	17473590	+	151	101	80	105	70	50	78	22	69	51	75	23	94	9
FBtr0081001	2L	17477788	17477938	-	151	220	66	96	91	123	77	33	77	127	60	69	61	16
FBtr0346627	2L	17480899	17481049	-	151	7	7	3	6	9	7	3	8	7	11	5	7	2
FBtr0305685	2L	17480929	17481079	-	151	7	11	3	8	5	10	1	11	4	7	2	10	0
FBtr0080998	2L	17484207	17484357	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305684	2L	17484207	17484357	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080984	2L	17484451	17484601	+	151	203	70	194	64	77	67	57	69	117	40	105	61	19
FBtr0080997	2L	17492215	17492365	-	151	15	54	14	49	11	35	16	46	8	43	10	34	4
FBtr0080996	2L	17497108	17497258	-	151	51	58	50	52	33	60	24	63	44	60	22	76	12
FBtr0080994	2L	17501006	17501156	-	151	393	62	438	70	121	60	104	67	188	58	165	65	30
FBtr0304742	2L	17501351	17501501	+	151	31	67	25	51	22	59	12	60	17	43	12	46	10
FBtr0080993	2L	17524449	17524599	-	151	1	70	3	67	1	69	0	71	1	50	1	50	10
FBtr0303652	2L	17529022	17529172	-	151	4	65	13	68	11	62	2	64	9	48	4	51	6
FBtr0080991	2L	17532134	17532284	-	151	5	48	6	52	8	57	1	78	6	54	1	65	1
FBtr0080990	2L	17555665	17555815	-	151	5	56	4	63	2	63	0	64	2	57	3	67	4
FBtr0344781	2L	17589134	17589284	+	151	139	46	164	44	46	44	42	59	48	52	53	44	11
FBtr0303252	2L	17589352	17589502	+	151	61	36	79	35	37	38	23	45	24	28	23	40	4
FBtr0303253	2L	17590090	17590240	+	151	25	55	9	57	20	58	6	44	6	52	7	56	6
FBtr0303254	2L	17592210	17592360	+	151	10	47	8	45	14	59	9	65	6	35	3	75	4
FBtr0080987	2L	17592814	17592964	+	151	7	49	0	66	4	66	1	80	2	74	0	49	3
FBtr0340251	2L	17594615	17594765	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0303255	2L	17594615	17594765	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306283	2L	17704631	17704781	+	151	15	36	13	57	16	52	8	64	10	38	10	67	4
FBtr0081016	2L	17752246	17752396	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081017	2L	17752246	17752396	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081015	2L	17778240	17778390	-	151	18	49	27	62	23	56	9	63	22	58	11	49	10
FBtr0303836	2L	17843508	17843658	-	151	24	46	19	62	16	53	14	52	14	41	9	44	8
FBtr0308770	2L	17875147	17875297	-	151	3	60	2	62	4	72	2	69	3	58	0	63	12
FBtr0081022	2L	17963329	17963479	+	151	327	59	312	66	164	74	81	69	202	48	120	61	19
FBtr0273418	2L	17982372	17982522	-	151	16	50	16	46	8	47	6	52	10	50	3	58	5
FBtr0081024	2L	17986349	17986499	+	151	1	52	0	61	1	52	0	68	0	68	0	58	5
FBtr0081025	2L	17990368	17990518	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0340183	2L	17990368	17990518	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302275	2L	18007885	18008035	+	151	17	59	18	47	10	47	10	59	8	48	7	48	12
FBtr0302030	2L	18011375	18011525	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302031	2L	18011375	18011525	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081029	2L	18012330	18012480	+	151	15	31	14	41	14	42	3	35	6	40	10	41	5
FBtr0081030	2L	18078219	18078369	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307350	2L	18078219	18078369	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0340229	2L	18078599	18078749	+	151	6	59	6	59	3	54	5	61	2	52	1	58	5
FBtr0302454	2L	18081578	18081728	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081031	2L	18081578	18081728	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081032	2L	18084206	18084356	+	151	11	62	10	54	16	43	3	54	17	39	5	42	6
FBtr0081045	2L	18092156	18092306	-	151	16	40	17	46	14	34	9	39	13	35	12	44	8
FBtr0081033	2L	18096518	18096668	+	151	6	58	3	51	6	61	2	75	4	74	4	58	7
FBtr0081035	2L	18119945	18120095	+	151	11	29	11	31	4	38	5	37	11	22	5	30	2
FBtr0340577	2L	18120080	18120230	+	151	8	27	2	33	4	30	3	36	2	25	0	41	5
FBtr0081036	2L	18122478	18122628	+	151	20	61	26	48	10	54	7	61	7	38	8	52	8
FBtr0300025	2L	18125649	18125799	-	151	4	68	3	67	2	69	2	68	2	71	0	68	8
FBtr0081043	2L	18137983	18138133	-	151	310	75	362	68	135	65	100	72	227	64	144	58	35
FBtr0081040	2L	18152317	18152467	-	151	804	55	845	68	318	71	245	54	560	55	432	59	50
FBtr0081038	2L	18153073	18153223	+	151	0	71	1	85	0	74	0	78	2	93	1	83	8
FBtr0329926	2L	18154801	18154951	+	151	25	71	21	62	14	54	16	58	27	46	8	65	6
FBtr0081049	2L	18155993	18156143	+	151	20	59	13	72	17	53	3	53	8	64	7	58	3
FBtr0081062	2L	18158580	18158730	-	151	68	74	56	96	42	66	13	79	39	55	21	79	10
FBtr0343823	2L	18159172	18159322	-	151	20	58	14	53	16	51	3	74	16	47	3	56	5
FBtr0343821	2L	18184532	18184682	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081061	2L	18184532	18184682	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343822	2L	18184907	18185057	-	151	4	75	11	55	5	44	5	49	4	51	7	48	4
FBtr0343817	2L	18275670	18275820	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0303280	2L	18275670	18275820	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081050	2L	18294790	18294940	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345614	2L	18294790	18294940	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0344782	2L	18320052	18320202	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0340580	2L	18320052	18320202	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301391	2L	18320052	18320202	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0112805	2L	18320052	18320202	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0112804	2L	18320052	18320202	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0340581	2L	18358926	18359076	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081054	2L	18358926	18359076	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305066	2L	18378541	18378691	+	151	5	61	4	59	4	64	0	61	3	62	0	76	7
FBtr0346591	2L	18443128	18443278	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081091	2L	18443128	18443278	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081088	2L	18448857	18449007	-	151	192	68	114	71	78	64	36	77	99	43	58	61	16
FBtr0081087	2L	18454487	18454637	-	151	380	65	387	58	138	67	83	88	228	50	155	55	30
FBtr0081086	2L	18484338	18484488	-	151	106	20	126	19	49	18	29	25	75	14	51	21	7
FBtr0300676	2L	18484413	18484563	-	151	145	21	132	33	61	19	47	31	82	20	64	23	14
FBtr0332321	2L	18485367	18485517	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0300674	2L	18485367	18485517	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332323	2L	18500757	18500907	-	151	21	33	32	46	14	37	11	51	11	31	12	49	3
FBtr0300341	2L	18503878	18504028	-	151	40	45	46	53	12	34	12	43	22	45	13	55	7
FBtr0305619	2L	18509510	18509660	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081068	2L	18509510	18509660	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081069	2L	18517437	18517587	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343824	2L	18517437	18517587	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343830	2L	18563072	18563222	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0303162	2L	18563072	18563222	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0303163	2L	18572186	18572336	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0112545	2L	18572186	18572336	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343831	2L	18590242	18590392	-	151	259	51	252	55	97	55	79	64	107	55	72	73	14
FBtr0343825	2L	18590841	18590991	+	151	577	72	510	77	294	70	194	77	319	62	185	65	38
FBtr0081080	2L	18604922	18605072	-	151	59	62	39	66	33	69	17	60	37	58	26	61	4
FBtr0343829	2L	18605149	18605299	-	151	23	60	10	103	3	66	5	94	5	61	11	82	7
FBtr0081072	2L	18606782	18606932	+	151	68	67	84	91	36	69	22	70	37	75	27	70	20
FBtr0081079	2L	18612149	18612299	-	151	62	77	75	73	25	72	29	75	37	76	30	90	8
FBtr0081078	2L	18616006	18616156	-	151	457	44	459	78	110	69	82	77	266	46	235	70	29
FBtr0343808	2L	18617206	18617356	+	151	234	65	253	58	86	72	70	80	134	62	102	78	18
FBtr0081077	2L	18652910	18653060	-	151	32	44	50	61	119	54	110	74	55	40	44	52	14
FBtr0306921	2L	18669943	18670093	-	151	17	44	13	80	21	66	10	69	15	36	14	54	9
FBtr0306922	2L	18671146	18671296	-	151	32	45	17	46	8	45	7	47	14	32	8	51	5
FBtr0343810	2L	18673185	18673335	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306920	2L	18673185	18673335	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302267	2L	18674994	18675144	-	151	5	56	10	73	0	48	1	75	2	47	2	67	14
FBtr0305341	2L	18676898	18677048	-	151	21	73	39	62	16	67	12	57	40	69	16	84	13
FBtr0344023	2L	18677171	18677321	+	151	111	28	81	45	40	45	10	36	106	31	60	42	16
FBtr0445413	2L	18677308	18677458	+	151	29	35	31	29	14	28	6	31	22	39	25	29	5
FBtr0081093	2L	18678666	18678816	+	151	23	56	15	52	14	57	10	64	9	43	14	66	9
FBtr0081131	2L	18681975	18682125	-	151	126	104	100	86	62	68	31	73	61	81	33	88	17
FBtr0081130	2L	18688700	18688850	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343118	2L	18688700	18688850	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0273194	2L	18689478	18689628	+	151	109	62	119	46	52	44	38	50	78	47	39	50	14
FBtr0081095	2L	18689641	18689791	+	151	189	53	139	53	71	42	29	52	106	38	58	62	12
FBtr0089628	2L	18695326	18695476	-	151	199	41	182	59	72	53	53	66	110	41	100	56	18
FBtr0343117	2L	18695502	18695652	-	151	61	23	76	14	34	17	20	17	35	12	24	11	6
FBtr0343108	2L	18695614	18695764	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081096	2L	18695681	18695831	+	151	39	12	48	17	15	26	16	14	30	19	17	18	3
FBtr0081097	2L	18698664	18698814	+	151	72	81	42	89	29	81	23	104	30	72	20	82	12
FBtr0081128	2L	18703005	18703155	-	151	143	58	126	77	49	74	32	94	70	70	56	65	16
FBtr0343116	2L	18705603	18705753	-	151	83	35	96	48	33	48	22	65	58	58	37	67	14
FBtr0343115	2L	18708499	18708649	-	151	132	24	124	20	51	16	54	34	67	13	75	27	7
FBtr0081126	2L	18708588	18708738	-	151	75	30	81	21	31	21	18	24	42	31	37	24	9
FBtr0081099	2L	18708796	18708946	+	151	97	72	133	72	46	68	22	70	57	59	51	78	17
FBtr0081125	2L	18713648	18713798	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343113	2L	18713648	18713798	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301647	2L	18731319	18731469	-	151	2	79	1	92	2	59	2	71	3	69	1	76	11
FBtr0343112	2L	18732424	18732574	-	151	21	49	29	71	20	61	13	60	18	42	14	57	8
FBtr0332016	2L	18771658	18771808	-	151	32	43	43	33	12	55	17	60	27	32	13	63	5
FBtr0305621	2L	18782500	18782650	-	151	174	39	160	55	46	53	32	78	89	43	82	57	11
FBtr0305620	2L	18787400	18787550	-	151	23	47	24	79	9	60	5	52	13	31	12	50	9
FBtr0332015	2L	18792806	18792956	-	151	21	34	19	42	8	43	6	39	8	35	8	51	7
FBtr0345441	2L	18810886	18811036	-	151	21	46	18	48	12	50	7	50	18	39	9	49	4
FBtr0343835	2L	18811152	18811302	-	151	24	36	17	48	10	40	7	40	8	42	7	44	2
FBtr0345444	2L	18812598	18812748	+	151	0	3	0	2	5	56	1	69	2	6	0	15	3
FBtr0300818	2L	18819294	18819444	+	151	13	59	8	71	14	57	2	67	11	68	10	68	8
FBtr0308575	2L	18823498	18823648	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0308574	2L	18823498	18823648	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081108	2L	18826720	18826870	+	151	14	64	19	63	16	74	1	81	15	37	6	59	5
FBtr0081121	2L	18830553	18830703	-	151	89	61	70	74	37	79	29	66	66	50	39	61	5
FBtr0344795	2L	18831053	18831203	-	151	192	35	123	58	77	38	29	48	91	37	47	36	14
FBtr0081109	2L	18831179	18831329	+	151	153	47	173	49	45	26	44	45	87	38	64	40	15
FBtr0273228	2L	18839579	18839729	-	151	520	62	554	66	186	66	137	57	295	57	220	54	42
FBtr0331193	2L	18841210	18841360	-	151	2	67	1	73	3	65	0	68	1	63	0	73	5
FBtr0081118	2L	18844479	18844629	-	151	19	69	8	72	9	64	11	46	13	46	11	68	7
FBtr0342919	2L	18845134	18845284	+	151	121	40	113	37	76	34	47	47	69	33	48	45	11
FBtr0089315	2L	18857579	18857729	-	151	30	71	22	84	13	60	4	70	12	47	8	64	13
FBtr0347402	2L	18859148	18859298	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089318	2L	18859148	18859298	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
