# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/H3K4me1.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/H3K4me1.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region243	chr3L	2458491	2458677	.	187	60	332	350	33	51	38	46	0	8	9	29	18
Region244	chr3L	2466614	2466771	.	158	160	455	790	37	60	70	46	5	17	4	34	20
Region245	chr3L	2531397	2531655	.	259	664	1786	3351	50	90	93	105	4	19	14	72	31
Region246	chr3L	2851826	2852095	.	270	342	644	1676	49	81	56	62	10	16	14	57	25
Region247	chr3L	2885679	2885888	.	210	215	882	2065	40	48	44	50	0	6	2	16	20
Region248	chr3L	2893927	2894064	.	138	60	372	393	10	11	39	35	0	3	4	19	20
Region249	chr3L	3224821	3225023	.	203	208	710	1158	30	58	68	59	4	12	8	65	25
Region250	chr3L	3277011	3277214	.	204	130	611	1025	30	48	61	53	0	21	9	39	25
Region251	chr3L	4409491	4409792	.	302	384	147	970	48	71	129	103	2	24	19	76	27
Region252	chr3L	4805800	4806075	.	276	167	773	1602	34	67	66	66	0	18	10	52	30
Region253	chr3L	4840157	4840426	.	270	552	867	1661	29	52	105	82	4	17	13	33	20
Region254	chr3L	5083387	5083569	.	183	177	915	1363	31	63	24	47	3	12	10	29	9
Region255	chr3L	5899401	5899575	.	175	104	439	534	38	72	49	64	2	5	7	43	16
Region256	chr3L	6054801	6054948	.	148	127	403	654	31	45	36	33	7	10	3	33	19
Region257	chr3L	6071583	6071726	.	144	88	593	1018	26	42	24	29	1	7	3	18	3
Region258	chr3L	6124750	6125010	.	261	430	991	1919	48	59	58	58	7	17	6	42	29
Region259	chr3L	6550077	6550437	.	361	1267	2376	6632	58	94	89	119	3	13	14	53	32
Region260	chr3L	6784709	6784914	.	206	63	513	466	35	64	74	39	5	12	5	52	25
Region261	chr3L	6845916	6846249	.	334	205	576	1083	65	71	146	116	6	20	13	56	46
Region262	chr3L	6979975	6980247	.	273	437	476	1511	51	85	148	169	1	25	6	73	48
Region263	chr3L	7714108	7714279	.	172	114	312	589	41	38	65	69	0	12	7	39	26
Region264	chr3L	8137674	8137869	.	196	219	635	1084	35	51	86	59	5	15	7	34	32
Region265	chr3L	8604115	8604283	.	169	158	734	960	37	68	53	57	7	10	5	38	19
Region266	chr3L	8628058	8628248	.	191	196	200	863	37	47	55	49	0	15	6	26	27
Region267	chr3L	8748957	8749106	.	150	125	828	1206	23	44	28	38	2	6	6	37	19
Region268	chr3L	8997991	8998227	.	237	262	604	1153	47	81	117	99	2	20	7	59	37
Region269	chr3L	9047288	9047491	.	204	264	398	1384	32	46	54	41	1	10	10	21	37
Region270	chr3L	9430123	9430350	.	228	220	658	1010	37	71	64	59	7	14	9	51	18
Region271	chr3L	9442755	9442936	.	182	69	412	469	30	56	68	46	2	9	7	22	21
Region272	chr3L	9751696	9751919	.	224	266	717	1635	38	68	61	59	4	12	6	32	18
Region273	chr3L	10225456	10225625	.	170	229	927	1769	32	53	22	24	2	8	2	22	17
Region274	chr3L	10246449	10246731	.	283	201	864	1490	47	88	67	65	0	13	10	57	26
Region275	chr3L	10320874	10321118	.	245	332	826	2374	46	74	63	46	3	13	8	32	17
Region276	chr3L	10321816	10322025	.	210	170	879	1877	29	64	39	32	5	16	3	36	25
Region277	chr3L	10427446	10427605	.	160	114	676	1107	36	52	46	54	3	11	11	30	21
Region278	chr3L	10463299	10463403	.	105	74	670	709	18	22	6	18	0	0	1	16	6
Region279	chr3L	10664556	10664758	.	203	106	369	516	44	63	72	76	8	17	18	69	33
Region280	chr3L	10899311	10899465	.	155	127	547	673	23	56	30	31	3	14	2	37	12
Region281	chr3L	11123145	11123426	.	282	253	441	822	46	85	92	103	9	20	8	64	40
Region282	chr3L	11511354	11511520	.	167	177	701	1415	40	60	35	45	4	8	5	28	13
Region283	chr3L	11681880	11682067	.	188	188	430	830	35	73	51	43	4	8	2	22	23
Region284	chr3L	11694050	11694317	.	268	115	418	341	43	67	167	116	8	26	13	66	29
Region285	chr3L	11789965	11790149	.	185	146	535	875	29	74	78	75	7	20	7	44	26
Region286	chr3L	12066771	12066924	.	154	85	950	1070	24	36	35	57	5	8	6	26	14
Region287	chr3L	13006596	13006803	.	208	127	673	1027	31	69	67	70	1	19	12	40	25
Region288	chr3L	13378561	13379608	.	1048	376	2451	1972	140	210	511	378	14	74	54	293	147
Region289	chr3L	13591267	13591462	.	196	87	284	508	24	33	78	59	2	15	7	32	34
Region290	chr3L	14189958	14190550	.	593	676	1660	3280	88	158	66	116	5	24	21	65	42
Region291	chr3L	14212413	14212637	.	225	289	649	1166	35	72	40	56	8	11	6	30	18
Region292	chr3L	14415637	14415925	.	289	176	373	1193	53	82	148	121	4	22	13	61	49
Region293	chr3L	14445791	14446002	.	212	186	701	516	37	59	55	74	0	11	8	27	19
Region294	chr3L	14513116	14513588	.	473	521	844	2756	75	129	145	123	4	21	15	62	49
Region295	chr3L	14516772	14516966	.	195	104	389	665	33	42	61	50	3	9	5	31	19
Region296	chr3L	14537402	14537647	.	246	526	1676	2874	45	86	87	84	15	13	11	58	27
Region297	chr3L	14562738	14562919	.	182	102	845	933	39	53	37	46	6	7	9	48	25
Region298	chr3L	14621522	14621817	.	296	324	626	1795	53	96	74	69	3	17	12	50	40
Region299	chr3L	14969276	14970139	.	864	319	1498	2051	124	256	654	453	18	107	59	251	143
Region300	chr3L	14972782	14973661	.	880	309	1130	1128	136	235	333	292	22	70	46	169	96
Region301	chr3L	14975636	14975990	.	355	267	513	442	66	84	186	164	11	30	20	111	52
Region302	chr3L	14977195	14977532	.	338	163	536	494	53	89	188	190	6	31	16	102	54
Region303	chr3L	15014435	15014625	.	191	190	757	512	26	57	30	37	5	1	7	37	4
Region304	chr3L	15072225	15072479	.	255	379	1593	1831	41	63	73	69	9	25	7	49	22
Region305	chr3L	15268112	15268304	.	193	330	899	2312	31	42	29	48	1	13	7	13	18
Region306	chr3L	15368289	15368500	.	212	108	316	679	37	54	43	57	1	16	7	41	28
Region307	chr3L	15554286	15554545	.	260	405	863	819	38	71	190	155	7	20	12	58	40
Region308	chr3L	15637067	15637269	.	203	150	421	1131	31	53	21	28	4	10	2	12	6
Region309	chr3L	15835315	15835482	.	168	100	572	650	36	54	27	32	0	10	8	24	20
Region310	chr3L	15837376	15837577	.	202	162	770	1128	40	56	45	51	3	15	11	25	17
Region311	chr3L	16037204	16037460	.	257	378	734	2280	35	69	82	67	9	13	11	41	36
Region312	chr3L	16043941	16044296	.	356	211	218	392	66	91	186	107	1	30	19	74	38
Region313	chr3L	16051017	16051213	.	197	175	538	614	35	68	78	95	6	15	5	59	37
Region314	chr3L	16407829	16408904	.	1076	596	1007	2082	153	251	454	421	25	71	46	237	152
Region315	chr3L	16410044	16410378	.	335	158	318	714	51	89	127	122	3	31	18	66	48
Region316	chr3L	16410648	16410890	.	243	132	298	392	44	73	123	99	6	20	8	54	33
Region317	chr3L	16647913	16648119	.	207	576	1253	2195	38	69	73	92	9	24	7	62	36
Region318	chr3L	16662039	16662184	.	146	69	385	569	36	53	38	37	1	9	7	41	28
Region319	chr3L	16773800	16774013	.	214	114	537	696	31	62	141	77	11	13	10	66	29
Region320	chr3L	16774433	16774950	.	518	160	940	1152	80	134	386	294	8	60	32	123	91
Region321	chr3L	16776021	16776341	.	321	105	495	590	49	80	258	120	7	33	11	73	48
Region322	chr3L	16930553	16930806	.	254	213	513	2089	35	35	127	104	3	16	6	28	30
Region323	chr3L	16956300	16956448	.	149	183	311	770	25	38	48	47	2	12	8	23	16
Region324	chr3L	17242434	17242597	.	164	176	590	851	31	60	36	41	4	7	4	17	11
Region325	chr3L	17339234	17339437	.	204	279	1048	1870	24	79	50	51	8	10	3	37	22
Region326	chr3L	17352865	17353158	.	294	365	1114	1937	52	102	96	100	1	19	11	70	32
Region327	chr3L	17465825	17466054	.	230	309	773	1803	41	75	47	60	4	11	9	40	23
Region328	chr3L	17474865	17475152	.	288	597	1459	3345	53	66	87	66	5	30	22	55	40
Region329	chr3L	17669633	17669808	.	176	163	835	1429	24	60	30	27	2	7	5	12	10
Region330	chr3L	17802170	17802439	.	270	104	336	365	41	79	112	116	0	12	8	65	32
Region331	chr3L	18460407	18460582	.	176	382	655	2004	39	59	18	34	2	6	1	20	13
Region332	chr3L	18461300	18461473	.	174	81	247	606	31	47	32	49	3	5	4	22	12
Region333	chr3L	18618168	18618365	.	198	310	1059	1877	31	66	96	76	8	10	9	70	29
Region334	chr3L	18848469	18848697	.	229	283	615	1058	32	76	47	49	6	15	3	38	14
Region335	chr3L	18892111	18892291	.	181	114	437	641	28	73	49	59	5	12	10	29	23
Region336	chr3L	19000570	19000758	.	189	120	241	423	36	62	68	45	3	8	3	35	20
Region337	chr3L	19081473	19081716	.	244	153	611	816	34	82	135	112	1	23	7	64	33
Region338	chr3L	19140304	19140788	.	485	2270	3456	8367	68	148	108	145	23	30	22	106	48
Region339	chr3L	19294347	19294551	.	205	194	468	774	48	64	54	69	10	24	6	41	27
Region340	chr3L	19556171	19556585	.	415	303	199	663	77	99	176	144	2	39	21	105	52
Region341	chr3L	19793553	19793808	.	256	209	577	1229	44	78	84	71	7	15	14	47	45
Region342	chr3L	19824969	19825156	.	188	120	224	561	52	73	109	125	1	20	13	47	39
Region343	chr3L	20097357	20097647	.	291	419	480	2187	50	87	64	98	3	20	12	31	25
Region344	chr3L	20104116	20104293	.	178	129	291	561	34	48	81	96	0	10	8	23	33
Region345	chr3L	20398865	20399266	.	402	214	461	625	70	102	167	169	10	35	16	111	59
Region346	chr3L	21202132	21202329	.	198	278	1168	1808	38	71	42	53	5	14	10	24	23
Region347	chr3L	21317966	21318206	.	241	416	826	1999	38	68	97	79	4	17	11	48	26
Region348	chr3L	21483907	21484340	.	434	310	492	1039	53	128	128	157	10	34	20	87	53
Region349	chr3L	21640784	21641042	.	259	401	1048	1872	35	61	91	92	7	13	8	60	33
Region350	chr3L	21652910	21653058	.	149	108	245	483	42	66	43	52	3	10	6	58	16
Region351	chr3L	22066220	22066681	.	462	415	336	986	70	125	368	167	12	44	32	107	77
Region352	chr3L	22267247	22267502	.	256	257	348	829	39	66	80	90	4	22	7	74	23
Region353	chr3L	22400508	22401046	.	539	432	400	1062	87	160	212	244	16	44	41	116	57
Region354	chr3L	22403396	22403833	.	438	401	240	806	55	111	157	125	10	31	32	94	58
Region355	chr3L	22616872	22617127	.	256	430	1413	2048	41	57	140	163	2	20	13	66	46
Region356	chr3L	22634244	22634413	.	170	82	479	472	25	60	46	60	5	13	9	46	28
Region357	chr3L	22648220	22648463	.	244	480	1566	2093	40	55	113	151	5	18	14	72	35
Region358	chr3L	23807500	23807790	.	291	439	668	704	47	77	67	124	8	20	11	58	29
Region359	chr3L	23899456	23899709	.	254	328	584	714	41	70	78	116	7	22	11	50	37
Region360	chr3L	23922959	23923223	.	265	373	603	606	39	58	59	127	5	15	25	52	30
Region361	chr3L	24457928	24458158	.	231	317	1001	2587	43	43	100	189	3	28	25	42	38
Region362	chr3L	24498920	24499088	.	169	325	1008	2428	28	35	86	149	3	17	12	43	34
Region363	chr3L	25288468	25289352	.	885	6999	32	220	1053	1004	806	623	28	143	71	90	214
Region364	chr3L	25857128	25857485	.	358	2030	2253	7741	54	84	114	199	8	34	20	62	38
Region365	chr3L	27739226	27739583	.	358	1894	2218	8253	70	117	159	210	20	47	29	86	58
Region366	chr3R	1046090	1046388	.	299	1116	1372	5569	61	83	130	196	9	15	22	60	42
Region367	chr3R	1169102	1169293	.	192	166	342	654	16	33	37	67	4	11	15	19	12
Region368	chr3R	1173356	1173584	.	229	183	359	664	28	47	35	83	2	12	7	28	22
Region369	chr3R	2302271	2302591	.	321	5616	6511	30102	110	169	440	638	24	84	52	189	133
Region370	chr3R	2411893	2412104	.	212	414	871	1578	36	57	126	156	13	20	15	60	33
Region371	chr3R	3374106	3374533	.	428	6790	6751	26834	76	112	150	267	16	40	31	96	63
Region372	chr3R	3674351	3674634	.	284	1935	2445	7473	69	73	108	166	7	25	20	70	32
Region373	chr3R	3683568	3683857	.	290	1927	2441	7632	57	97	114	168	9	25	25	74	33
Region374	chr3R	3832711	3832835	.	125	303	936	2502	41	70	73	181	5	9	17	32	23
Region375	chr3R	3840264	3840503	.	240	537	1010	4073	75	113	157	335	7	34	30	72	55
Region376	chr3R	4081794	4082091	.	298	757	1865	4414	46	69	74	118	7	24	16	57	43
Region377	chr3R	4705267	4705453	.	187	278	456	1376	38	64	46	70	6	6	12	31	21
Region378	chr3R	4853211	4853803	.	593	502	279	662	73	104	428	124	7	35	28	67	66
Region379	chr3R	4865941	4866203	.	263	150	441	695	31	72	153	120	7	16	10	46	38
Region380	chr3R	4888596	4888876	.	281	986	1186	5054	55	94	119	155	14	29	19	46	40
Region381	chr3R	4905872	4906135	.	264	1034	1784	5497	71	81	40	79	4	22	13	25	29
Region382	chr3R	4969266	4969531	.	266	195	798	1618	45	77	68	115	2	14	8	43	32
Region383	chr3R	4970544	4971193	.	650	891	1262	3652	105	199	156	260	12	37	28	130	75
Region384	chr3R	4973052	4973301	.	250	219	498	1288	49	67	79	101	14	31	18	69	41
Region385	chr3R	5126980	5127180	.	201	164	266	418	45	84	54	89	3	19	8	62	28
Region386	chr3R	5200797	5200934	.	138	134	707	645	30	46	46	76	7	16	12	38	30
Region387	chr3R	5217399	5217623	.	225	311	1059	1709	33	89	124	107	12	19	7	62	38
Region388	chr3R	5326189	5326520	.	332	315	1175	1720	56	89	94	106	5	20	14	68	30
Region389	chr3R	5778791	5779064	.	274	664	1546	3122	48	83	67	78	3	18	20	44	33
Region390	chr3R	6009576	6010324	.	749	821	1496	4542	129	195	163	171	28	43	21	123	84
Region391	chr3R	6170822	6171030	.	209	171	362	1012	34	56	42	55	6	19	9	35	33
Region392	chr3R	6254581	6254740	.	160	95	420	742	24	58	43	47	3	6	5	25	25
Region393	chr3R	6645838	6645976	.	139	76	314	470	24	50	26	39	1	6	2	33	19
Region394	chr3R	6646709	6646927	.	219	350	1084	1825	32	55	73	76	4	11	10	35	18
Region395	chr3R	6660012	6660197	.	186	115	487	716	34	64	91	93	5	15	11	54	27
Region396	chr3R	6706433	6706613	.	181	331	541	2546	59	90	52	70	2	10	6	18	18
Region397	chr3R	6708883	6709220	.	338	1422	2609	8148	55	89	79	94	6	22	17	63	44
Region398	chr3R	6709695	6709962	.	268	316	701	2507	31	62	168	180	5	18	20	61	48
Region399	chr3R	6780136	6780447	.	312	406	566	2290	51	86	69	60	8	20	11	45	42
Region400	chr3R	6806677	6807023	.	347	518	782	2680	51	96	85	118	8	22	12	58	31
Region401	chr3R	6810854	6811198	.	345	276	318	621	45	100	162	174	8	27	14	99	52
Region402	chr3R	6854366	6854654	.	289	507	474	1289	45	99	84	138	9	25	20	65	50
Region403	chr3R	6870856	6871092	.	237	431	449	1160	47	78	66	87	7	22	12	50	24
Region404	chr3R	6908204	6908623	.	420	435	659	1775	58	111	177	170	19	31	15	83	76
Region405	chr3R	6912252	6912456	.	205	138	447	566	50	80	89	83	7	15	12	56	38
Region406	chr3R	6912785	6913001	.	217	208	642	1001	35	65	107	119	8	16	16	70	34
Region407	chr3R	6973343	6973663	.	321	270	1075	1375	41	96	105	75	6	20	18	82	42
Region408	chr3R	7086355	7086642	.	288	271	956	1024	74	108	139	136	9	29	16	92	47
Region409	chr3R	7087086	7087346	.	261	137	352	409	50	79	184	145	4	25	12	55	42
Region410	chr3R	7250071	7250303	.	233	122	215	2104	53	46	102	110	0	21	14	52	46
Region411	chr3R	7346575	7346740	.	166	86	245	562	24	67	42	50	0	7	6	21	10
Region412	chr3R	7366021	7366209	.	189	120	371	868	37	39	77	34	1	15	9	28	25
Region413	chr3R	7779717	7780034	.	318	154	471	1199	44	78	68	80	6	19	5	38	35
Region414	chr3R	8301258	8301516	.	259	499	1351	2480	43	94	84	74	17	19	13	49	30
Region415	chr3R	8305302	8305489	.	188	168	393	713	44	57	85	65	6	19	13	70	24
Region416	chr3R	8660380	8660578	.	199	139	393	524	45	56	133	75	5	27	7	58	32
Region417	chr3R	8820676	8820878	.	203	151	582	771	36	85	52	66	12	10	4	56	29
Region418	chr3R	8841149	8841753	.	605	302	456	1319	104	166	235	173	8	50	30	126	84
Region419	chr3R	8842009	8842392	.	384	188	332	851	58	118	117	85	4	36	19	67	49
Region420	chr3R	8907455	8907748	.	294	1055	1237	5073	35	65	121	146	8	17	15	57	50
Region421	chr3R	8944960	8945186	.	227	354	1216	1824	36	78	89	117	3	21	10	56	26
Region422	chr3R	9022767	9023150	.	384	152	454	245	57	71	347	259	1	32	16	102	53
Region423	chr3R	9023989	9025615	.	1627	811	1886	2650	224	395	597	550	43	103	82	378	202
Region424	chr3R	9029354	9030416	.	1063	496	1070	1440	165	262	356	360	21	70	42	206	146
Region425	chr3R	9032289	9032570	.	282	101	343	312	55	89	80	62	2	15	19	42	31
Region426	chr3R	9214376	9214526	.	151	195	728	1579	32	51	29	35	9	9	4	24	13
Region427	chr3R	9328916	9329105	.	190	281	442	1188	43	58	47	70	2	7	4	45	25
Region428	chr3R	9677765	9678049	.	285	428	642	1938	48	103	105	119	3	24	16	53	43
Region429	chr3R	9868564	9868911	.	348	220	887	1745	52	97	69	45	4	25	14	47	34
Region430	chr3R	9869159	9869405	.	247	306	215	1982	48	69	68	83	3	15	7	21	26
Region431	chr3R	9879496	9879843	.	348	224	187	659	42	111	131	115	0	22	18	74	44
Region432	chr3R	9986251	9986403	.	153	90	527	714	33	56	25	16	2	4	4	27	15
Region433	chr3R	10598287	10598707	.	421	236	388	942	85	123	176	129	7	33	17	95	56
Region434	chr3R	10599001	10599369	.	369	214	335	714	63	109	147	131	7	27	21	82	50
Region435	chr3R	10599882	10600252	.	371	205	375	748	54	114	158	166	6	31	21	78	49
Region436	chr3R	10603528	10603839	.	312	113	330	429	45	93	89	68	2	30	9	69	35
Region437	chr3R	10675176	10675457	.	282	1875	2168	7430	63	95	67	108	10	15	9	52	34
Region438	chr3R	10677604	10677775	.	172	168	296	659	25	50	50	54	2	13	9	27	16
Region439	chr3R	10893468	10893686	.	219	263	719	993	40	75	59	77	6	17	10	49	27
Region440	chr3R	11221623	11221802	.	180	187	376	467	17	74	62	53	6	10	5	54	18
Region441	chr3R	11344050	11344238	.	189	140	499	608	35	44	55	49	2	19	11	40	22
Region442	chr3R	11345025	11345226	.	202	156	301	362	41	55	74	81	2	14	17	43	20
Region443	chr3R	11394002	11394210	.	209	151	594	968	32	48	90	74	5	12	7	46	24
Region444	chr3R	11694812	11695001	.	190	360	1976	2781	25	41	30	49	8	10	3	33	14
Region445	chr3R	11775658	11776023	.	366	325	273	1092	57	98	112	126	12	29	19	71	53
Region446	chr3R	12638073	12638359	.	287	206	328	1009	61	73	48	100	3	18	11	60	29
Region447	chr3R	12650642	12650936	.	295	401	1000	1876	53	75	119	132	5	26	17	66	38
Region448	chr3R	12980668	12980913	.	246	233	342	1007	37	63	61	65	6	11	11	36	20
Region449	chr3R	13434915	13435174	.	260	229	587	807	45	70	77	89	3	9	8	54	28
Region450	chr3R	13674835	13675026	.	192	293	978	1481	34	67	30	38	6	7	5	19	15
Region451	chr3R	13833614	13833779	.	166	233	590	1492	33	62	43	40	4	7	2	25	25
Region452	chr3R	14823075	14823282	.	208	89	369	496	50	75	64	44	6	12	7	32	26
Region453	chr3R	14894443	14894629	.	187	231	1017	1683	27	49	42	53	4	10	10	33	21
Region454	chr3R	15243554	15244109	.	556	227	883	1452	94	135	196	196	10	43	20	151	71
Region455	chr3R	15438156	15438316	.	161	114	623	866	28	44	39	45	2	10	8	48	19
Region456	chr3R	15913266	15913449	.	184	176	749	1714	37	36	183	205	1	14	7	37	29
Region457	chr3R	16180542	16180703	.	162	110	981	1307	36	56	46	50	4	14	2	34	13
Region458	chr3R	16260441	16260674	.	234	421	863	1151	33	70	67	62	7	12	9	59	20
Region459	chr3R	16304373	16304549	.	177	168	232	730	33	58	37	36	7	16	7	41	21
Region460	chr3R	16305196	16305410	.	215	197	549	1198	39	52	67	69	7	19	8	58	40
Region461	chr3R	16351014	16351379	.	366	675	1452	4228	44	88	111	125	14	20	17	79	51
Region462	chr3R	16353204	16353534	.	331	116	370	660	48	67	126	87	2	25	13	46	50
Region463	chr3R	16624652	16625025	.	374	483	747	3091	67	121	70	99	9	22	10	43	32
Region464	chr3R	16655829	16656440	.	612	380	959	2583	82	153	100	105	20	34	19	68	49
Region465	chr3R	16798516	16798877	.	362	356	776	1437	62	90	115	105	5	26	15	100	43
Region466	chr3R	16869302	16869575	.	274	183	757	995	38	74	104	111	4	15	15	88	38
Region467	chr3R	16898496	16898676	.	181	167	428	776	30	55	65	49	8	11	6	41	24
Region468	chr3R	16899419	16899701	.	283	368	830	1448	34	71	76	88	0	13	9	44	36
Region469	chr3R	16957853	16958093	.	241	261	1052	1973	46	95	61	52	3	18	9	41	24
Region470	chr3R	16969610	16969894	.	285	1195	2434	7753	45	83	74	92	9	25	12	74	34
Region471	chr3R	17534534	17534752	.	219	385	1115	2525	43	50	78	77	6	12	7	50	45
Region472	chr3R	17616684	17616862	.	179	139	337	878	27	61	36	45	0	3	6	24	10
Region473	chr3R	17617171	17617397	.	227	304	493	2507	40	67	51	58	4	10	10	36	22
Region474	chr3R	17919119	17919298	.	180	149	1041	1099	35	56	26	36	8	4	7	41	17
Region475	chr3R	18242329	18242864	.	536	276	568	1054	71	128	136	120	1	27	14	78	31
Region476	chr3R	18983831	18984168	.	338	276	573	869	46	75	117	122	6	32	11	86	34
Region477	chr3R	19014074	19014350	.	277	405	1006	2360	41	71	140	151	10	12	12	61	25
Region478	chr3R	19096260	19096738	.	479	508	1520	2284	78	107	79	103	7	19	14	78	31
Region479	chr3R	19314903	19315714	.	812	358	843	1531	112	213	309	276	10	73	29	166	97
Region480	chr3R	19492268	19492498	.	231	174	783	2471	38	53	60	71	0	7	8	39	22
Region481	chr3R	19494061	19494324	.	264	120	424	1630	32	62	102	98	2	16	16	47	42
Region482	chr3R	19566303	19566482	.	180	70	554	608	30	65	32	40	2	6	7	40	17
Region483	chr3R	19770843	19771147	.	305	111	511	1624	59	61	103	93	2	19	11	44	30
Region484	chr3R	20557597	20557865	.	269	343	648	1278	43	84	140	106	8	26	9	37	44
Region485	chr3R	20573711	20574147	.	437	316	239	990	70	131	168	154	2	42	19	92	65
Region486	chr3R	21073267	21073427	.	161	120	230	299	25	58	50	60	2	8	6	38	19
Region487	chr3R	21179680	21179900	.	221	270	1078	1336	42	81	43	58	3	9	6	44	9
Region488	chr3R	21373813	21374198	.	386	76	862	1111	52	105	102	90	3	45	12	60	51
Region489	chr3R	21386217	21386405	.	189	129	369	1021	27	58	44	50	0	9	4	15	23
Region490	chr3R	21407329	21407549	.	221	114	321	947	31	64	49	64	4	20	8	32	21
Region491	chr3R	21408485	21408687	.	203	217	392	1032	31	60	87	73	2	12	4	30	31
Region492	chr3R	21520367	21520500	.	134	86	356	559	17	51	31	42	2	8	4	24	15
Region493	chr3R	21889325	21889443	.	119	155	336	1076	22	38	25	34	0	7	2	16	12
Region494	chr3R	22356465	22356663	.	199	180	557	629	39	65	80	87	8	16	10	55	42
Region495	chr3R	22794021	22794288	.	268	745	1519	5092	44	86	62	78	3	25	9	49	26
Region496	chr3R	23157823	23158048	.	226	167	670	676	23	55	63	106	1	14	14	53	24
Region497	chr3R	23214826	23215054	.	229	202	835	1483	45	71	67	61	2	17	8	45	27
Region498	chr3R	23522369	23522894	.	526	416	465	2233	67	115	94	143	2	27	8	45	36
Region499	chr3R	23819209	23819435	.	227	275	1053	1684	28	78	86	88	5	14	8	55	41
Region500	chr3R	24055818	24056215	.	398	107	552	534	48	75	249	211	1	32	23	85	64
Region501	chr3R	24056550	24056991	.	442	155	776	851	51	98	291	216	7	41	21	129	82
Region502	chr3R	24333291	24333490	.	200	166	471	696	46	58	121	89	7	14	4	55	29
Region503	chr3R	24360093	24360325	.	233	209	876	2036	44	75	57	45	4	10	8	44	34
Region504	chr3R	25193859	25194158	.	300	422	512	1494	38	73	62	59	0	18	4	40	44
Region505	chr3R	25245521	25245695	.	175	136	667	1195	35	81	35	55	1	17	4	24	26
Region506	chr3R	25881354	25881614	.	261	353	864	1647	41	65	80	64	6	14	11	65	47
Region507	chr3R	25888266	25888606	.	341	597	1431	3168	67	96	90	91	6	26	11	54	48
Region508	chr3R	26188785	26189032	.	248	466	843	1853	41	77	70	62	2	18	9	34	24
Region509	chr3R	26566799	26567107	.	309	879	1979	4639	54	98	156	113	11	28	10	38	55
Region510	chr3R	26881412	26881811	.	400	770	1088	2254	69	124	199	173	13	34	16	122	80
Region511	chr3R	26988817	26988970	.	154	145	660	932	24	38	32	49	2	7	3	17	10
Region512	chr3R	27151447	27151693	.	247	532	1197	2514	46	72	101	73	2	25	11	42	40
Region513	chr3R	27559113	27559313	.	201	192	699	984	37	92	84	83	7	11	5	59	26
Region514	chr3R	27651790	27652015	.	226	358	2139	3552	32	58	33	62	4	10	4	37	14
Region515	chr3R	28086139	28086329	.	191	124	645	802	26	28	90	73	0	10	8	42	23
