# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "ppc" "-g" "transcript_id" "-T" "8" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/ChIP_Toll_PPC.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam
FBtr0081285	2L	19490004	19490154	-	151	109	50	10	11	10	54	11	24	20	8	51	31	88	163	23	12
FBtr0331324	2L	19490212	19490362	+	151	58	30	2	3	0	12	1	12	7	12	35	25	27	72	13	5
FBtr0081243	2L	19490373	19490523	+	151	112	37	7	5	6	19	1	8	23	27	33	23	46	128	14	7
FBtr0081284	2L	19492863	19493013	-	151	321	160	20	12	34	223	21	32	26	26	52	31	254	554	15	17
FBtr0331327	2L	19493153	19493303	-	151	14	4	3	0	0	30	1	4	3	0	15	7	12	51	0	2
FBtr0331325	2L	19493201	19493351	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081244	2L	19493201	19493351	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081245	2L	19493518	19493668	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331326	2L	19493518	19493668	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081246	2L	19498118	19498268	+	151	101	65	12	16	21	41	8	31	19	16	46	25	98	224	22	4
FBtr0081282	2L	19508664	19508814	-	151	228	114	18	17	23	87	20	15	18	7	64	27	139	374	15	20
FBtr0302108	2L	19516581	19516731	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0299519	2L	19516581	19516731	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302107	2L	19517104	19517254	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081281	2L	19517104	19517254	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081247	2L	19518774	19518924	+	151	15	6	7	9	2	16	5	15	16	21	24	14	8	14	19	14
FBtr0343771	2L	19518889	19519039	+	151	21	16	7	9	1	18	11	13	15	23	23	14	12	25	33	12
FBtr0081248	2L	19526636	19526786	+	151	47	25	11	8	10	19	3	12	24	24	62	37	47	102	27	12
FBtr0344843	2L	19528223	19528373	-	151	45	29	11	9	3	18	8	33	31	24	51	31	20	37	23	8
FBtr0303779	2L	19530205	19530355	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081278	2L	19530205	19530355	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081249	2L	19533429	19533579	+	151	159	73	13	16	21	82	9	27	19	17	60	35	124	294	9	22
FBtr0081251	2L	19538375	19538525	+	151	36	25	14	9	4	29	11	37	35	48	36	29	21	55	32	9
FBtr0100289	2L	19542418	19542568	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081253	2L	19542418	19542568	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081276	2L	19546859	19547009	-	151	69	60	23	16	14	58	32	34	39	43	43	38	39	107	34	21
FBtr0331328	2L	19548457	19548607	+	151	123	63	11	8	18	60	10	26	27	20	54	32	60	106	29	18
FBtr0331329	2L	19549643	19549793	+	151	75	34	20	16	9	45	16	37	33	45	42	23	57	94	30	12
FBtr0081256	2L	19563880	19564030	+	151	52	47	28	27	5	36	25	32	38	18	56	31	19	39	46	19
FBtr0081257	2L	19565813	19565963	+	151	75	47	11	12	6	49	19	41	26	18	54	34	22	50	26	13
FBtr0336619	2L	19566110	19566260	+	151	101	74	21	16	8	66	16	52	38	36	49	31	38	69	33	22
FBtr0081270	2L	19572510	19572660	-	151	261	136	31	9	46	151	16	37	25	9	50	26	181	469	49	30
FBtr0100597	2L	19575487	19575637	-	151	261	181	19	12	40	148	12	45	13	8	58	29	126	310	28	18
FBtr0081267	2L	19577215	19577365	-	151	516	183	17	19	74	307	21	29	16	15	62	37	278	751	32	18
FBtr0081258	2L	19577651	19577801	+	151	334	134	29	30	51	206	16	31	24	13	69	35	253	699	19	13
FBtr0081266	2L	19580251	19580401	-	151	162	92	21	17	26	91	18	51	13	28	53	31	160	324	48	32
FBtr0331246	2L	19582374	19582524	-	151	154	82	10	17	22	158	9	38	16	15	45	31	250	616	23	25
FBtr0081262	2L	19583890	19584040	-	151	84	51	9	5	5	38	6	29	22	18	42	33	39	122	19	5
FBtr0081259	2L	19584185	19584335	+	151	186	83	10	13	18	107	5	35	36	17	59	40	172	419	17	11
FBtr0331242	2L	19586573	19586723	+	151	127	77	14	10	12	57	6	34	30	38	48	37	57	106	20	11
FBtr0331241	2L	19587176	19587326	+	151	188	71	33	15	33	100	15	39	17	13	46	20	144	297	20	8
FBtr0331240	2L	19606519	19606669	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0112800	2L	19606519	19606669	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305950	2L	19611360	19611510	+	151	11	12	25	17	0	18	30	32	32	35	33	23	22	16	59	18
FBtr0343860	2L	19700868	19701018	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081261	2L	19700868	19701018	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0100352	2L	19735620	19735770	-	151	319	207	15	13	29	121	10	39	45	27	48	41	139	395	21	14
FBtr0305952	2L	19735880	19736030	-	151	239	108	8	2	22	68	5	17	10	14	21	16	68	209	7	15
FBtr0081289	2L	19735994	19736144	+	151	193	72	19	6	16	123	7	19	11	13	23	23	117	252	9	8
FBtr0081324	2L	19756804	19756954	-	151	27	40	17	7	7	30	16	40	26	62	25	30	12	34	25	14
FBtr0081323	2L	19758515	19758665	-	151	250	106	5	5	22	147	14	26	28	28	55	32	175	472	21	12
FBtr0081290	2L	19758829	19758979	+	151	107	47	16	7	11	80	13	24	17	23	32	21	126	284	16	11
FBtr0347410	2L	19764036	19764186	-	151	37	45	60	45	4	17	129	48	41	39	47	32	21	41	49	18
FBtr0089320	2L	19768967	19769117	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343855	2L	19768967	19769117	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332179	2L	19791782	19791932	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081318	2L	19791782	19791932	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0300967	2L	19791782	19791932	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081316	2L	19795751	19795901	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081317	2L	19795751	19795901	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332246	2L	19795751	19795901	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0329838	2L	19796315	19796465	+	151	110	76	19	15	23	113	21	33	35	50	38	24	67	133	30	6
FBtr0344856	2L	19826424	19826574	+	151	13	18	25	18	3	13	29	20	29	19	38	34	7	23	62	18
FBtr0329845	2L	19827110	19827260	+	151	33	23	28	27	1	24	33	35	26	30	33	30	15	28	48	13
FBtr0329842	2L	19849939	19850089	+	151	33	33	43	34	3	7	45	32	33	34	29	42	13	24	51	22
FBtr0336736	2L	19866131	19866281	+	151	84	49	65	60	5	17	58	49	49	35	48	30	66	152	159	51
FBtr0081312	2L	19892450	19892600	-	151	23	18	27	23	2	31	38	12	27	18	43	36	11	22	35	23
FBtr0329840	2L	19895995	19896145	+	151	36	26	19	23	4	17	29	36	22	11	46	29	20	37	53	18
FBtr0332236	2L	19918111	19918261	+	151	22	16	23	11	11	31	16	26	25	32	30	25	14	27	39	23
FBtr0329839	2L	19935203	19935353	+	151	37	28	27	19	11	32	31	36	15	9	43	31	21	33	82	24
FBtr0081301	2L	19958663	19958813	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081300	2L	19958663	19958813	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332242	2L	19958782	19958932	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332243	2L	19958782	19958932	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346480	2L	19962629	19962779	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081302	2L	19962629	19962779	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332182	2L	19964086	19964236	+	151	12	3	6	1	1	11	6	6	4	5	2	4	3	5	3	6
FBtr0081303	2L	19964123	19964273	+	151	1	4	8	6	1	2	7	9	2	5	5	3	6	12	9	3
FBtr0345432	2L	20017182	20017332	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332565	2L	20017182	20017332	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081327	2L	20027865	20028015	+	151	29	17	15	18	2	12	28	31	34	35	38	32	11	18	29	11
FBtr0081348	2L	20060877	20061027	-	151	284	94	17	6	16	123	8	13	10	9	54	26	152	375	16	11
FBtr0343850	2L	20061270	20061420	-	151	26	8	1	2	0	16	1	5	8	2	31	11	39	101	3	2
FBtr0081328	2L	20061372	20061522	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081330	2L	20061447	20061597	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081329	2L	20061447	20061597	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081347	2L	20065579	20065729	-	151	205	125	13	16	30	146	11	55	17	27	65	23	149	351	15	20
FBtr0331184	2L	20066341	20066491	+	151	168	75	33	13	17	66	16	36	21	21	71	34	83	171	34	11
FBtr0343848	2L	20072095	20072245	-	151	68	44	45	34	2	22	56	35	31	29	49	27	51	100	21	11
FBtr0089395	2L	20075358	20075508	-	151	716	287	18	5	79	332	19	25	20	14	50	32	329	724	16	18
FBtr0081332	2L	20075707	20075857	+	151	280	158	32	33	28	181	17	51	5	14	36	36	159	357	11	22
FBtr0310560	2L	20084970	20085120	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0310559	2L	20084970	20085120	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0310558	2L	20084970	20085120	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081341	2L	20091122	20091272	-	151	131	67	12	11	24	70	7	12	13	14	20	15	53	169	15	6
FBtr0331618	2L	20091248	20091398	-	151	74	11	2	0	9	31	4	4	5	3	13	7	9	40	6	2
FBtr0331615	2L	20091385	20091535	+	151	55	28	3	3	3	46	1	10	7	7	32	10	31	66	9	0
FBtr0081333	2L	20091562	20091712	+	151	198	89	12	10	25	84	12	26	26	14	49	28	104	280	13	10
FBtr0081335	2L	20093922	20094072	+	151	104	46	6	3	13	37	0	3	10	1	24	8	77	181	4	4
FBtr0081334	2L	20094045	20094195	+	151	234	98	14	11	20	111	16	34	8	3	28	13	102	306	6	11
FBtr0331617	2L	20097531	20097681	+	151	166	73	11	11	10	79	6	11	35	24	39	43	73	172	23	16
FBtr0303230	2L	20097806	20097956	+	151	5	0	1	0	0	0	0	0	0	0	1	0	3	2	0	0
FBtr0081336	2L	20097808	20097958	+	151	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0
FBtr0345683	2L	20134823	20134973	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081378	2L	20134823	20134973	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345635	2L	20257092	20257242	-	151	31	22	19	17	1	22	14	39	23	23	42	26	9	19	45	17
FBtr0081375	2L	20264324	20264474	-	151	27	17	24	29	0	24	31	41	24	29	35	29	12	26	62	23
FBtr0346419	2L	20294643	20294793	+	151	25	15	18	15	2	27	23	17	26	23	43	23	9	24	29	16
FBtr0339234	2L	20311169	20311319	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339233	2L	20311169	20311319	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307893	2L	20311169	20311319	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081355	2L	20341801	20341951	+	151	49	39	18	24	2	46	26	33	41	45	46	28	22	47	38	14
FBtr0081374	2L	20349912	20350062	-	151	431	257	20	26	52	200	11	56	26	18	42	32	217	583	20	24
FBtr0336749	2L	20350384	20350534	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0112885	2L	20350384	20350534	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302106	2L	20350384	20350534	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336748	2L	20353917	20354067	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336747	2L	20353917	20354067	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081372	2L	20373983	20374133	-	151	27	20	23	31	3	16	27	26	40	22	36	34	19	34	37	10
FBtr0081371	2L	20382256	20382406	-	151	22	42	27	26	2	17	28	36	32	39	37	21	11	17	31	13
FBtr0081369	2L	20399296	20399446	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081370	2L	20399296	20399446	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336750	2L	20414700	20414850	-	151	50	19	15	6	1	26	12	37	41	35	49	29	25	33	42	17
FBtr0081367	2L	20416668	20416818	-	151	193	94	19	11	16	99	17	27	10	9	32	23	148	368	10	13
FBtr0346417	2L	20416818	20416968	-	151	43	25	2	1	2	48	2	4	5	0	28	14	26	89	1	3
FBtr0346418	2L	20417007	20417157	+	151	18	2	0	0	2	22	0	0	0	0	0	0	0	0	0	0
FBtr0081358	2L	20417040	20417190	+	151	142	44	14	8	17	58	7	4	1	5	3	6	48	141	4	3
FBtr0307020	2L	20424560	20424710	-	151	26	58	30	22	2	28	16	36	34	39	41	23	18	51	27	17
FBtr0308895	2L	20426149	20426299	+	151	28	36	19	25	3	20	12	23	50	60	45	25	15	43	30	19
FBtr0330661	2L	20428975	20429125	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330203	2L	20428975	20429125	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081365	2L	20449864	20450014	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330662	2L	20449864	20450014	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332968	2L	20450175	20450325	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302224	2L	20450175	20450325	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332971	2L	20458975	20459125	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081364	2L	20458975	20459125	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081362	2L	20459292	20459442	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332969	2L	20459292	20459442	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081363	2L	20463344	20463494	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332970	2L	20463344	20463494	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081381	2L	20614472	20614622	+	151	6	5	7	2	0	14	5	12	16	11	36	29	4	6	24	11
FBtr0336822	2L	20640867	20641017	+	151	30	18	11	13	5	25	11	34	32	34	34	31	10	22	34	20
FBtr0336829	2L	20645357	20645507	-	151	310	121	12	9	53	225	9	17	24	24	45	26	169	375	20	11
FBtr0081404	2L	20645691	20645841	-	151	22	25	9	1	1	37	1	2	3	4	16	11	48	81	5	6
FBtr0081384	2L	20645772	20645922	+	151	132	43	18	10	8	41	6	13	6	5	12	10	71	146	6	5
FBtr0081386	2L	20648862	20649012	+	151	80	37	4	9	10	70	0	9	22	18	49	26	47	101	24	10
FBtr0081403	2L	20656078	20656228	-	151	102	56	30	18	15	45	12	23	21	20	59	34	82	128	9	18
FBtr0339520	2L	20656376	20656526	+	151	128	80	22	18	18	85	7	37	25	27	55	26	102	237	15	7
FBtr0344108	2L	20664648	20664798	-	151	61	28	15	8	4	42	25	32	36	30	43	24	28	59	26	12
FBtr0290060	2L	20667996	20668146	-	151	41	40	27	22	1	26	26	54	33	43	35	23	25	56	31	21
FBtr0290059	2L	20675841	20675991	-	151	189	99	13	5	18	81	3	9	13	13	23	13	156	348	15	6
FBtr0336824	2L	20675995	20676145	+	151	200	61	2	4	15	117	5	9	8	3	34	13	110	216	6	7
FBtr0081390	2L	20676165	20676315	+	151	306	151	29	21	35	173	15	32	32	17	42	24	238	574	9	16
FBtr0081401	2L	20681526	20681676	-	151	211	87	16	9	23	96	12	34	39	34	44	30	126	244	19	10
FBtr0081399	2L	20681746	20681896	-	151	285	80	14	10	25	104	5	19	30	30	61	30	89	214	15	7
FBtr0336825	2L	20682318	20682468	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081391	2L	20682318	20682468	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301347	2L	20714488	20714638	-	151	10	17	17	19	4	20	17	37	25	40	39	34	10	11	39	13
FBtr0081396	2L	20726451	20726601	-	151	31	27	19	15	2	41	14	27	31	35	47	31	17	36	52	8
FBtr0081395	2L	20730182	20730332	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0335150	2L	20730182	20730332	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0335149	2L	20734209	20734359	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081393	2L	20734209	20734359	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305584	2L	20734559	20734709	+	151	399	129	8	6	34	233	2	16	29	23	58	28	153	367	14	10
FBtr0081392	2L	20734861	20735011	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305586	2L	20734861	20735011	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081460	2L	20752167	20752317	-	151	144	66	5	9	25	70	4	15	11	11	14	9	104	185	11	3
FBtr0335148	2L	20752241	20752391	-	151	64	14	5	3	10	30	0	4	2	1	4	2	18	21	0	0
FBtr0081409	2L	20752426	20752576	+	151	201	102	12	18	23	111	8	22	16	18	39	27	139	317	16	10
FBtr0081459	2L	20757779	20757929	-	151	126	49	5	12	11	78	2	19	10	14	26	18	117	208	13	8
FBtr0335147	2L	20757885	20758035	-	151	69	27	6	4	10	84	0	5	6	3	21	7	53	103	8	4
FBtr0081411	2L	20758094	20758244	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0335145	2L	20758094	20758244	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305961	2L	20760250	20760400	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305960	2L	20760250	20760400	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0335152	2L	20770681	20770831	+	151	78	38	203	162	7	39	288	93	8	12	36	10	13	21	154	42
FBtr0081413	2L	20770844	20770994	+	151	189	72	316	236	16	52	451	217	30	24	37	29	53	111	359	213
FBtr0081414	2L	20787606	20787756	+	151	182	95	15	12	19	121	17	23	11	12	76	35	144	338	19	14
FBtr0089946	2L	20794046	20794196	-	151	64	26	15	19	5	35	27	42	32	33	44	27	27	54	47	19
FBtr0089945	2L	20796942	20797092	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089947	2L	20796942	20797092	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081415	2L	20797665	20797815	+	151	138	50	18	4	11	85	13	24	17	11	68	36	57	167	27	26
FBtr0081416	2L	20809924	20810074	+	151	50	46	36	37	8	21	42	54	41	48	30	28	24	55	50	28
FBtr0081455	2L	20816140	20816290	-	151	40	23	42	34	1	22	25	29	35	18	37	29	17	28	62	13
FBtr0339560	2L	20822778	20822928	+	151	63	38	11	21	6	59	11	33	23	31	45	20	24	33	34	17
FBtr0345687	2L	20823592	20823742	+	151	87	42	19	26	7	36	20	46	26	40	35	35	31	50	34	12
FBtr0081419	2L	20824384	20824534	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081420	2L	20824384	20824534	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339561	2L	20825384	20825534	+	151	35	17	12	8	3	15	7	27	16	17	23	8	18	27	15	13
FBtr0081418	2L	20825486	20825636	+	151	28	27	23	17	4	17	29	37	13	22	22	7	13	41	25	11
FBtr0081422	2L	20829559	20829709	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339562	2L	20829559	20829709	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081423	2L	20831212	20831362	+	151	39	27	11	11	3	22	12	29	31	26	50	24	22	35	21	19
FBtr0290042	2L	20835740	20835890	-	151	18	13	8	6	0	10	5	13	15	7	41	19	5	15	19	3
FBtr0081450	2L	20837885	20838035	-	151	40	14	17	11	0	19	18	17	17	24	52	29	8	26	40	17
FBtr0339564	2L	20840700	20840850	+	151	4	13	9	15	0	3	4	9	13	5	3	6	4	7	9	3
FBtr0081424	2L	20840751	20840901	+	151	2	9	13	5	1	4	8	9	3	7	5	6	6	9	12	3
FBtr0081425	2L	20849250	20849400	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339565	2L	20849250	20849400	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081426	2L	20852528	20852678	+	151	21	36	36	32	0	19	38	55	23	50	36	34	9	27	58	21
FBtr0307498	2L	20858645	20858795	+	151	89	20	9	17	1	10	6	26	21	20	46	38	13	21	26	12
FBtr0081427	2L	20859116	20859266	+	151	87	24	24	16	5	17	26	29	31	34	41	25	18	43	45	15
FBtr0333009	2L	20865165	20865315	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081428	2L	20865165	20865315	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081429	2L	20867705	20867855	+	151	29	22	1	23	1	15	19	30	21	20	22	30	13	30	28	13
FBtr0333010	2L	20869804	20869954	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081430	2L	20869804	20869954	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301961	2L	20885876	20886026	-	151	32	36	7	13	3	22	19	47	34	33	32	24	17	37	43	25
FBtr0081444	2L	20890295	20890445	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081445	2L	20890295	20890445	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081443	2L	20917361	20917511	-	151	100	37	1	6	10	67	11	25	20	13	47	27	88	177	21	20
FBtr0330258	2L	20918831	20918981	-	151	81	41	16	8	27	50	8	29	11	14	59	36	95	161	29	13
FBtr0081439	2L	20922776	20922926	-	151	168	51	9	8	23	64	11	29	28	22	46	28	93	169	18	9
FBtr0081438	2L	20926047	20926197	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333011	2L	20926047	20926197	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089944	2L	20927760	20927910	-	151	159	72	10	9	24	96	6	20	18	17	47	35	77	186	15	22
FBtr0306031	2L	20934013	20934163	-	151	45	23	17	6	8	32	19	16	19	29	41	30	30	51	41	15
