# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/K27me3.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/K27me3.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region588	chr2R	17143172	17143647	.	476	51	716	41	269	40	80	57	109	206	188	16	38	24	107	74
Region589	chr2R	17750608	17751076	.	469	99	150	687	87	70	346	77	102	210	156	2	38	20	70	59
Region590	chr2R	17751779	17752399	.	621	201	283	1061	104	147	638	89	141	254	194	7	54	29	111	88
Region591	chr2R	17753671	17756456	.	2786	1402	1009	5756	462	1311	4874	360	455	1232	933	66	179	106	359	341
Region592	chr2R	17758039	17758587	.	549	439	213	1409	101	338	1148	78	114	320	308	13	28	19	72	67
Region593	chr2R	17814565	17815190	.	626	313	351	1188	143	287	430	114	135	197	225	8	37	40	108	68
Region594	chr2R	17815423	17816449	.	1027	656	571	2458	255	682	1269	126	188	494	312	22	73	50	121	150
Region595	chr2R	17817135	17817818	.	684	661	458	2266	204	483	1075	99	153	286	254	10	37	25	92	69
Region596	chr2R	17818199	17819239	.	1041	796	801	2608	310	669	1208	161	224	356	307	22	69	34	144	126
Region597	chr2R	17819521	17822206	.	2686	2865	3175	8371	1469	2749	5946	353	479	853	721	51	175	80	322	267
Region598	chr2R	17824340	17824790	.	451	244	377	844	150	217	420	73	113	103	99	18	34	16	61	70
Region599	chr2R	17825640	17826050	.	411	219	243	729	106	168	373	64	109	148	134	0	32	19	67	57
Region600	chr2R	17826789	17828035	.	1247	616	638	2226	262	620	1320	134	188	556	405	15	92	44	146	132
Region601	chr2R	18535769	18536373	.	605	659	648	276	407	553	369	92	132	203	165	7	36	20	70	91
Region602	chr2R	18678747	18680092	.	1346	712	1596	1233	881	496	626	191	256	642	530	34	101	54	200	140
Region603	chr2R	18680361	18680923	.	563	289	584	509	248	207	224	65	119	283	309	18	48	27	110	68
Region604	chr2R	19260072	19262183	.	2112	1471	2545	1877	1279	1115	969	287	380	840	649	53	140	98	304	266
Region605	chr2R	19268536	19271956	.	3421	2726	4346	1975	2191	2055	1289	442	716	1031	953	73	199	128	530	393
Region606	chr2R	19272361	19273216	.	856	539	1053	453	540	396	221	112	228	315	227	18	74	43	157	87
Region607	chr2R	19273853	19275350	.	1498	2094	3133	1022	1855	1453	1065	192	359	420	346	32	116	40	181	158
Region608	chr2R	19658531	19661764	.	3234	400	8142	314	4690	265	510	461	748	1124	1014	76	302	134	760	444
Region609	chr2R	19826858	19827745	.	888	456	829	498	451	700	580	126	171	488	181	12	63	33	97	97
Region610	chr2R	19837480	19840366	.	2887	1901	3048	1538	1442	1523	1827	402	582	678	624	53	141	96	314	298
Region611	chr2R	19841409	19842265	.	857	804	1056	518	627	698	705	128	194	244	226	15	64	36	116	97
Region612	chr2R	19842669	19843162	.	494	554	602	290	366	418	328	81	117	148	175	15	38	24	49	54
Region613	chr2R	19856694	19857299	.	606	357	607	239	343	203	199	87	125	168	134	9	32	23	67	72
Region614	chr2R	19859001	19860374	.	1374	948	1635	590	743	706	461	178	262	359	301	30	103	45	133	136
Region615	chr2R	19861372	19862326	.	955	814	1025	547	421	579	304	121	200	294	220	20	62	38	126	109
Region616	chr2R	20038243	20038808	.	566	518	517	252	276	443	224	70	90	234	198	14	40	22	71	65
Region617	chr2R	20039882	20040319	.	438	437	481	240	253	283	253	77	100	216	157	9	34	30	62	74
Region618	chr2R	20052799	20054138	.	1340	1036	1565	547	870	780	679	193	276	311	276	33	88	29	147	140
Region619	chr2R	20067435	20068115	.	681	453	631	188	384	340	377	109	167	168	170	17	45	20	91	71
Region620	chr2R	20112399	20112853	.	455	206	335	134	368	189	164	77	93	331	206	9	34	19	80	60
Region621	chr2R	20538309	20539148	.	840	95	1416	94	729	62	165	120	211	274	258	25	76	36	121	105
Region622	chr2R	20553438	20553765	.	328	212	154	540	76	194	324	52	72	151	111	2	21	14	56	44
Region623	chr2R	20554916	20555221	.	306	187	187	680	76	182	311	47	73	100	97	8	22	11	38	53
Region624	chr2R	20555589	20556062	.	474	291	336	835	157	294	569	53	98	142	124	7	22	21	56	46
Region625	chr2R	20556941	20557267	.	327	234	201	641	72	220	365	50	71	151	118	5	37	9	54	28
Region626	chr2R	20603318	20603964	.	647	198	546	52	493	115	167	99	172	270	239	17	46	29	129	81
Region627	chr2R	20606935	20607907	.	973	103	1641	68	659	51	154	161	267	392	361	22	91	45	184	146
Region628	chr2R	20647839	20648468	.	630	340	628	196	328	225	315	78	134	236	209	20	55	30	96	79
Region629	chr2R	20889776	20891154	.	1379	1524	1045	2327	322	1378	835	185	226	392	377	27	83	51	166	128
Region630	chr2R	20894749	20895217	.	469	537	369	1064	123	520	305	44	84	150	162	11	44	23	47	50
Region631	chr2R	20895642	20896102	.	461	589	521	934	201	618	325	61	94	178	157	3	26	22	59	59
Region632	chr2R	20896426	20896917	.	492	499	477	735	144	786	478	73	106	256	176	9	31	21	51	49
Region633	chr2R	20897810	20906339	.	8530	19029	12235	25100	5000	17060	10449	1075	1505	2566	2248	140	458	282	1037	830
Region634	chr2R	20907215	20914015	.	6801	19851	12523	19906	5690	16612	11097	835	1250	2181	2023	113	394	223	875	650
Region635	chr2R	20914469	20925682	.	11214	21085	15077	22732	6522	21704	12014	1342	1940	3430	2864	202	635	384	1184	1094
Region636	chr2R	20926078	20926728	.	651	618	478	651	141	663	219	95	111	191	157	10	27	24	69	58
Region637	chr2R	20927022	20927784	.	763	752	457	796	153	694	279	110	125	211	192	12	30	26	85	90
Region638	chr2R	20928486	20929237	.	752	1214	689	1095	291	1333	497	98	119	260	202	10	49	32	69	76
Region639	chr2R	20929632	20930581	.	950	810	782	872	288	880	264	114	172	226	184	14	49	24	82	82
Region640	chr2R	20930947	20932601	.	1655	1745	1487	1998	525	1939	820	210	292	480	342	30	81	54	156	151
Region641	chr2R	20933423	20936894	.	3472	3193	3002	3359	1426	4579	1918	406	587	1181	730	56	165	130	317	292
Region642	chr2R	20940973	20941925	.	953	1444	990	923	417	1256	544	139	173	324	300	12	73	51	116	114
Region643	chr2R	20942771	20943201	.	431	421	512	403	186	446	188	55	87	125	123	12	22	13	67	44
Region644	chr2R	20943711	20944356	.	646	626	733	482	282	671	276	73	117	211	156	18	30	27	69	51
Region645	chr2R	20944691	20947890	.	3200	6340	4428	4342	2062	5428	2924	428	538	1102	1080	47	180	112	390	318
Region646	chr2R	20948260	20961113	.	12854	25742	25406	21570	12324	23200	16103	1677	2428	4023	3433	233	761	417	1586	1261
Region647	chr2R	20961526	20967547	.	6022	14761	13015	11952	6609	12930	8602	769	1136	1748	1469	124	378	220	700	617
Region648	chr2R	20968157	20969975	.	1819	1901	2428	1648	1066	1917	642	230	358	441	375	34	110	73	203	179
Region649	chr2R	20989493	20991271	.	1779	3030	1591	1486	774	2262	1066	234	327	719	549	30	121	77	220	221
Region650	chr2R	20992310	20993215	.	906	1383	842	537	440	858	524	115	172	334	315	32	54	53	150	123
Region651	chr2R	21361607	21362284	.	678	127	670	466	365	138	276	88	142	240	163	12	49	23	84	79
Region652	chr2R	21364974	21366871	.	1898	281	2182	1070	1151	403	700	218	376	523	300	36	99	53	208	171
Region653	chr2R	21367878	21370479	.	2602	957	3438	2484	2061	834	1424	316	524	1028	752	42	206	95	365	280
Region654	chr2R	22232777	22233185	.	409	432	248	655	85	437	149	64	92	132	110	7	27	22	54	36
Region655	chr2R	22235405	22242036	.	6632	16147	10852	19582	5059	15750	9961	854	1179	1994	1696	115	417	228	746	673
Region656	chr2R	22242453	22243033	.	581	829	715	843	323	807	437	62	119	210	171	9	23	22	64	58
Region657	chr2R	22243937	22249534	.	5598	8964	6698	10261	2554	8387	3664	687	993	1766	1409	83	324	192	685	590
Region658	chr2R	22249795	22250531	.	737	772	600	931	245	738	295	106	135	272	225	8	30	31	102	64
Region659	chr2R	22251588	22252277	.	690	974	661	949	287	963	332	99	137	210	201	18	33	24	84	71
Region660	chr2R	22252564	22254113	.	1550	1915	1273	2050	472	1841	691	225	246	557	478	35	116	47	184	201
Region661	chr2R	22255675	22256895	.	1221	1218	684	1120	205	1105	393	162	234	408	309	28	83	49	181	116
Region662	chr2R	22257137	22258239	.	1103	1407	844	1327	297	1294	455	133	202	364	357	10	60	39	134	132
Region663	chr2R	22258895	22262604	.	3710	3855	2386	3394	770	4178	1310	523	589	1118	960	36	220	145	381	356
Region664	chr2R	22263794	22264377	.	584	659	341	557	109	582	161	74	109	216	195	10	26	27	74	79
Region665	chr2R	22264829	22266747	.	1919	2934	1103	2284	357	2530	729	206	310	693	689	27	120	57	209	215
Region666	chr2R	22266983	22268487	.	1505	1966	907	1773	264	1936	579	213	283	505	459	18	93	59	155	176
Region667	chr2R	22268778	22269642	.	865	1403	510	1277	191	1259	406	83	119	330	304	3	51	33	87	85
Region668	chr2R	22271602	22276825	.	5224	5747	3120	6030	1071	6012	1648	648	810	1434	1348	84	288	170	513	541
Region669	chr2R	22279140	22279629	.	490	511	244	524	99	487	148	53	67	159	161	6	19	19	66	44
Region670	chr2R	22283937	22284830	.	894	1206	486	921	202	1180	347	120	115	519	404	11	52	36	77	91
Region671	chr2R	22684354	22685097	.	744	64	1172	87	402	35	91	108	199	226	270	20	43	35	129	83
Region672	chr2R	22688085	22688501	.	417	133	340	52	292	135	200	66	89	354	116	6	19	20	61	54
Region673	chr2R	22857556	22858203	.	648	962	737	992	358	749	655	68	117	338	312	14	46	25	85	80
Region674	chr2R	22858479	22867089	.	8611	15760	13996	15955	6201	13178	12480	1118	1548	2334	2058	145	472	281	975	839
Region675	chr2R	22867294	22870670	.	3377	5289	5767	5889	2672	6788	6830	418	648	1292	848	55	190	102	341	341
Region676	chr2R	22870937	22871657	.	721	893	769	889	320	848	758	102	119	266	226	13	49	26	92	68
Region677	chr2R	23043886	23044401	.	516	729	387	1112	117	681	126	61	115	195	157	15	32	20	87	58
Region678	chr2R	23044954	23051686	.	6733	21111	17521	9116	11212	21428	3436	867	1139	2356	2120	140	375	230	1030	691
Region679	chr2R	23051926	23054078	.	2153	2607	2587	1426	1029	2317	540	293	419	539	559	46	136	92	303	238
Region680	chr2R	23055127	23055493	.	367	351	432	258	169	424	154	47	69	174	117	5	18	12	53	33
Region681	chr2R	23205082	23206048	.	967	376	1302	571	759	446	312	149	219	325	262	27	65	32	119	89
Region682	chr2R	23207599	23211575	.	3977	1902	5026	3018	2731	1690	1548	485	684	1468	1254	90	275	174	499	458
Region683	chr2R	23618615	23621100	.	2486	4343	2637	6618	954	4345	1370	323	484	728	697	42	160	90	290	282
Region684	chr2R	23621664	23632364	.	10701	19320	12043	29541	4427	20668	8741	1403	1830	2901	2629	158	578	372	1146	1061
Region685	chr2R	23632604	23637794	.	5191	7530	5505	10170	2134	7813	2148	652	1017	1517	1504	131	319	182	713	553
Region686	chr2R	23639216	23639515	.	300	416	184	637	42	396	94	37	79	140	110	14	18	17	87	33
Region687	chr2R	23639913	23644620	.	4708	6105	4238	7659	1748	6510	1824	583	894	1783	1549	77	280	188	750	570
Region688	chr2R	23645245	23645606	.	362	452	268	566	81	362	71	52	86	139	128	10	21	11	70	41
Region689	chr2R	23646536	23647124	.	589	704	477	748	201	645	211	70	123	241	196	15	50	29	120	92
Region690	chr2R	23648057	23648537	.	481	649	475	721	212	582	128	76	111	165	139	11	34	22	75	50
Region691	chr2R	24339472	24340509	.	1038	1127	351	917	131	1157	302	106	153	352	210	8	62	30	108	109
Region692	chr2R	24340899	24342358	.	1460	2305	610	1767	221	2169	534	154	234	459	429	28	88	36	134	171
Region693	chr2R	24366946	24367533	.	588	589	264	337	109	672	238	65	93	198	136	11	43	23	60	35
Region694	chr2R	24367799	24369253	.	1455	1833	626	1206	241	1871	593	169	214	477	396	21	76	40	136	162
Region695	chr2R	24370129	24373633	.	3505	4994	2007	3452	685	5300	2010	437	573	1030	916	36	195	110	340	326
Region696	chr2R	24664821	24665578	.	758	68	568	40	474	47	139	104	143	346	283	14	54	39	173	96
Region697	chr2R	24798187	24814565	.	16379	34708	30922	41678	16363	33144	21266	2088	2977	6236	4735	293	1122	598	1799	1734
Region698	chr2R	24814804	24820058	.	5255	8254	9480	12147	4425	10430	8292	635	970	1686	1254	59	297	155	532	544
Region699	chr2R	24820268	24822595	.	2328	2890	2239	4388	816	2961	1706	286	337	749	594	32	120	93	216	243
Region700	chr2R	24823302	24825211	.	1910	2040	1721	2842	656	2052	1170	236	309	689	561	31	125	63	206	225
Region701	chr2R	24825589	24828585	.	2997	3312	2911	4134	1155	3174	2014	394	497	965	811	50	189	114	263	369
Region702	chr2R	24830755	24831855	.	1101	1386	962	1563	343	1419	822	141	162	438	296	16	69	41	118	141
Region703	chr2R	24832306	24833302	.	997	903	773	1107	271	904	542	133	171	304	250	10	51	27	139	103
Region704	chr2R	24836338	24837730	.	1393	1599	1172	1700	386	1503	894	160	230	566	403	22	90	46	122	144
Region705	chr2R	24838011	24838391	.	381	484	355	524	132	395	254	50	76	130	125	10	22	12	43	44
Region706	chr2R	24838593	24840135	.	1543	1976	1471	1814	601	1936	995	188	251	482	387	30	107	52	141	153
Region707	chr2R	24840648	24845094	.	4447	5698	4383	6472	1774	6396	3636	559	775	1472	1178	69	240	166	409	462
Region708	chr2R	24845465	24851680	.	6216	9641	6648	10554	2747	11340	8249	774	932	2124	1582	94	339	189	583	597
Region709	chr2R	24851896	24854879	.	2984	4771	3411	4972	1486	5081	3773	409	505	1211	874	51	183	92	275	291
Region710	chr2R	24855675	24857185	.	1511	1765	1618	2041	664	1752	1050	180	282	556	384	29	77	62	185	181
Region711	chr2R	25041045	25061692	.	20648	49245	30375	38584	14058	44973	24100	2707	4088	6562	5684	395	1264	753	2695	2379
Region712	chr2R	25061998	25072525	.	10528	24239	15784	19337	7307	22300	13393	1367	2028	3378	2888	189	730	382	1470	1234
Region713	chr2R	25073208	25073585	.	378	503	348	362	154	528	220	57	66	159	112	14	30	17	56	41
Region714	chr2R	25094488	25095147	.	660	289	595	716	384	317	536	95	102	376	219	6	55	31	75	93
Region715	chr2R	25095406	25096562	.	1157	683	1094	1672	589	619	1180	148	212	646	391	22	104	38	127	120
Region716	chr2R	25096922	25097519	.	598	327	703	869	301	290	442	81	139	213	189	10	50	31	86	76
Region717	chr2R	25098953	25099613	.	661	156	922	419	621	277	667	80	126	277	161	4	32	20	67	73
Region718	chr2R	25099964	25100489	.	526	278	833	540	604	298	738	63	99	220	193	7	53	26	60	67
Region719	chr2R	25101045	25104789	.	3745	2612	5800	5263	2793	2675	3484	516	778	1044	805	66	213	118	417	410
Region720	chr2R	25105343	25107676	.	2334	1203	2744	2606	1139	1065	1010	314	487	660	562	47	152	76	274	258
Region721	chr2R	25107903	25108879	.	977	735	1184	1397	490	790	523	124	222	275	293	23	65	26	126	114
Region722	chr2R	25110408	25110974	.	567	791	550	1238	254	770	385	69	104	265	238	4	37	17	74	80
Region723	chr2R	25207293	25207815	.	523	489	197	828	64	484	126	100	130	141	162	24	25	26	81	79
Region724	chr2R	25217910	25218381	.	472	575	222	974	62	501	147	92	129	174	180	24	34	22	93	69
Region725	chr2R	25220953	25221463	.	511	565	330	899	116	530	225	84	125	139	116	9	45	14	109	68
Region726	chr2R	25224108	25224646	.	539	534	372	788	192	462	324	67	140	128	134	7	32	22	75	63
Region727	chr2R	25227175	25228925	.	1751	1814	2209	3003	1014	1636	890	253	426	837	675	54	126	76	305	236
Region728	chr3L	31	19811	.	19781	9312	29810	38757	13929	7191	15722	1610	2414	1190	3202	241	373	538	1710	679
Region729	chr3L	20230	20991	.	762	1013	1198	20	443	878	2	138	172	43	49	3	21	5	18	29
Region730	chr3L	367366	377633	.	10268	25171	17465	27491	8828	25345	17612	1381	1923	3709	2975	200	673	367	1329	1176
Region731	chr3L	378360	386720	.	8361	18241	12228	23438	5631	16962	13532	1062	1555	2582	2143	155	534	312	1034	875
Region732	chr3L	386945	387299	.	355	485	350	729	87	598	278	76	67	118	112	6	30	8	51	44
Region733	chr3L	387570	391869	.	4300	4951	2974	6070	1101	5129	2742	524	732	1213	1034	77	267	144	496	434
Region734	chr3L	392144	392907	.	764	1098	600	1529	224	1066	717	99	154	373	329	6	55	28	97	83
Region735	chr3L	393518	394456	.	939	1360	685	1537	205	1215	687	124	175	414	316	22	56	35	105	110
Region736	chr3L	394694	395016	.	323	457	262	518	74	436	189	53	78	124	82	4	23	6	53	40
Region737	chr3L	395474	396384	.	911	1099	618	1234	224	1071	490	104	138	304	258	10	58	23	95	95
Region738	chr3L	398668	399378	.	711	710	508	901	147	778	313	106	138	160	177	10	38	35	80	79
Region739	chr3L	401021	402012	.	992	1272	686	1619	234	1318	497	132	191	290	239	18	61	36	118	97
Region740	chr3L	410862	413195	.	2334	2848	1480	3503	521	2569	1112	306	429	656	676	32	119	85	266	234
Region741	chr3L	414278	414900	.	623	891	616	877	199	672	314	74	128	173	184	3	31	25	85	66
Region742	chr3L	417902	418529	.	628	616	538	676	207	695	313	89	142	207	145	18	36	20	83	68
Region743	chr3L	419416	420066	.	651	697	549	848	194	638	275	99	108	218	181	5	39	25	89	71
Region744	chr3L	422446	423080	.	635	828	422	1055	117	765	340	73	142	274	201	5	35	23	93	83
Region745	chr3L	425555	428188	.	2634	3355	1997	4212	642	3179	1248	361	520	712	644	76	180	115	276	306
Region746	chr3L	428601	432549	.	3949	6344	3199	8105	1035	6180	2339	489	708	1043	992	72	225	116	468	401
Region747	chr3L	432867	434011	.	1145	2214	1133	3119	410	2308	1411	161	234	479	352	14	91	53	176	133
Region748	chr3L	434375	434719	.	345	421	163	677	48	355	165	58	92	107	109	8	20	11	53	42
Region749	chr3L	745857	748236	.	2380	775	3819	2125	1852	674	852	329	461	723	691	49	153	122	382	269
Region750	chr3L	749634	750174	.	541	138	523	143	312	231	299	82	140	466	172	9	50	41	117	91
Region751	chr3L	902718	903606	.	889	1010	1086	477	455	876	414	110	171	336	298	25	49	33	99	105
Region752	chr3L	903923	904518	.	596	487	719	230	359	405	199	112	116	209	171	9	34	23	72	62
Region753	chr3L	906375	907835	.	1461	1256	1717	726	795	963	626	178	265	477	384	16	72	55	157	158
Region754	chr3L	909289	910759	.	1471	853	1392	507	701	925	552	183	255	691	479	16	82	50	164	153
Region755	chr3L	1099561	1100626	.	1066	1581	697	1353	404	1847	856	130	177	564	349	9	61	38	101	116
Region756	chr3L	1103388	1106104	.	2717	3281	1429	3892	606	3636	1522	285	346	915	739	22	148	85	251	260
Region757	chr3L	1106792	1107352	.	561	540	312	663	189	592	341	64	67	213	141	5	26	19	41	44
Region758	chr3L	1178721	1179265	.	545	611	731	903	307	747	508	74	110	81	96	6	29	14	52	45
Region759	chr3L	1179506	1182793	.	3288	4640	2123	7064	812	5294	2937	381	508	886	707	46	176	109	331	289
Region760	chr3L	1355078	1357338	.	2261	2755	1775	1811	704	2679	1006	293	368	710	635	37	141	87	254	224
Region761	chr3L	1358772	1366893	.	8122	14349	12870	11005	6385	13879	9735	1019	1328	2276	1918	127	410	220	861	700
Region762	chr3L	1405448	1406508	.	1061	972	1181	642	531	1112	464	127	201	355	264	16	70	27	112	108
Region763	chr3L	1406942	1407503	.	562	380	657	258	243	359	238	84	116	191	114	8	36	17	66	69
Region764	chr3L	1407835	1409663	.	1829	1269	2193	1058	1199	1318	998	201	308	504	442	34	94	72	184	181
Region765	chr3L	1409865	1413787	.	3923	3739	4321	2532	1975	3675	1898	549	685	1216	1021	42	239	130	453	430
Region766	chr3L	1415544	1416214	.	671	877	475	472	192	745	265	74	96	240	234	6	35	23	89	70
Region767	chr3L	1416910	1418048	.	1139	1620	730	830	319	1614	440	156	189	410	344	16	64	43	125	131
Region768	chr3L	1421337	1423408	.	2072	3058	1180	1759	430	3040	937	256	317	924	713	20	121	93	222	218
Region769	chr3L	1431196	1431670	.	475	704	256	346	108	692	124	60	83	199	170	2	26	15	68	50
Region770	chr3L	1431913	1432482	.	570	738	312	434	84	711	144	79	107	244	233	18	42	26	81	59
Region771	chr3L	1432948	1433406	.	459	541	250	345	88	531	176	52	87	212	178	6	18	23	53	46
Region772	chr3L	1434549	1435732	.	1184	1303	668	978	224	1240	410	154	208	485	361	23	58	49	166	132
Region773	chr3L	1436134	1436893	.	760	1001	486	637	157	914	315	98	143	246	206	8	53	32	90	97
Region774	chr3L	1439904	1440593	.	690	990	543	490	195	873	295	103	73	296	230	12	33	20	85	84
Region775	chr3L	1444015	1444389	.	375	442	300	277	116	436	128	49	81	144	124	0	22	16	58	51
Region776	chr3L	1449180	1450028	.	849	777	691	420	266	694	320	133	156	226	252	19	37	26	99	102
Region777	chr3L	1451136	1451522	.	387	509	340	276	145	531	187	58	72	148	124	2	26	19	50	39
Region778	chr3L	1451941	1452270	.	330	429	342	223	149	465	161	61	75	94	109	1	18	7	45	38
Region779	chr3L	1452505	1453272	.	768	869	668	613	288	962	363	93	139	236	201	8	47	26	80	72
Region780	chr3L	1453623	1455964	.	2342	2322	2286	1490	884	2433	808	316	449	741	689	58	120	89	288	267
Region781	chr3L	1456943	1458071	.	1129	1103	1268	888	543	1087	579	138	202	450	275	15	58	37	110	120
Region782	chr3L	1458307	1460107	.	1801	1707	1750	1428	870	2240	1069	189	232	541	376	22	98	58	165	151
Region783	chr3L	1460442	1462961	.	2520	3464	2324	3361	795	3210	1125	346	525	835	823	51	138	89	386	292
Region784	chr3L	1465437	1465938	.	502	348	544	371	268	684	336	63	108	270	174	7	37	25	71	73
Region785	chr3L	1917020	1917330	.	311	381	359	406	143	346	216	52	84	85	84	4	15	14	32	22
Region786	chr3L	1917843	1920715	.	2873	4668	5049	4648	2220	4654	3932	370	495	758	670	39	153	84	315	283
Region787	chr3L	1921167	1925557	.	4391	8310	7767	7894	4022	8599	7373	534	704	1558	1289	55	293	150	514	406
Region788	chr3L	3619810	3625742	.	5933	7516	8183	7433	3326	8048	3770	770	1206	1346	1183	86	322	179	644	541
Region789	chr3L	3626120	3632303	.	6184	8393	5691	7298	2007	8570	3095	768	1097	1609	1324	99	323	216	648	638
Region790	chr3L	3633024	3633448	.	425	563	274	335	139	551	160	58	83	126	119	7	17	11	40	51
Region791	chr3L	3634494	3636406	.	1913	2038	1074	1270	383	1983	480	231	350	468	434	33	103	57	164	191
Region792	chr3L	3637001	3637403	.	403	522	281	226	106	482	124	60	89	105	92	5	24	17	46	48
Region793	chr3L	3640613	3641167	.	555	567	274	243	93	585	160	83	120	184	131	8	39	16	68	55
Region794	chr3L	3641754	3642391	.	638	867	333	362	113	694	176	107	149	209	170	2	27	19	69	60
Region795	chr3L	3843251	3843619	.	369	250	293	779	121	282	362	59	67	119	71	10	20	12	51	22
Region796	chr3L	3843884	3845819	.	1936	3765	2826	4931	1201	3518	2302	259	342	504	502	33	91	54	222	172
Region797	chr3L	3846266	3849242	.	2977	3947	2980	6760	1204	4118	2962	408	614	845	719	57	195	96	425	310
Region798	chr3L	3849855	3850710	.	856	671	1038	1225	420	775	622	129	203	157	145	10	43	25	103	69
Region799	chr3L	3851072	3851590	.	519	557	632	1026	241	577	513	100	142	155	136	9	34	17	69	51
Region800	chr3L	3852455	3852972	.	518	558	496	819	223	648	409	62	95	184	138	11	33	16	68	43
Region801	chr3L	3859323	3859824	.	502	537	409	783	163	592	404	67	95	207	144	7	36	24	58	50
Region802	chr3L	3860125	3860497	.	373	564	316	732	116	471	252	55	75	136	129	4	16	15	55	35
Region803	chr3L	3863750	3864898	.	1149	1268	771	1534	240	1283	607	141	173	377	314	15	66	43	129	145
Region804	chr3L	3865276	3866131	.	856	1105	467	1223	172	1081	472	100	120	397	370	24	47	30	90	111
Region805	chr3L	3868330	3868708	.	379	469	355	531	140	420	162	46	78	103	126	8	22	13	44	48
Region806	chr3L	3873369	3874055	.	687	835	766	1406	277	883	618	87	118	224	157	5	50	25	91	59
Region807	chr3L	3875292	3878427	.	3136	5268	4053	7457	1835	5048	2997	370	485	911	826	49	185	90	369	315
Region808	chr3L	3879137	3881040	.	1904	3848	2752	5035	1324	4158	2648	236	352	485	415	27	108	74	216	180
Region809	chr3L	3881289	3883693	.	2405	2933	1897	3778	583	3055	1080	286	447	569	517	41	138	68	280	238
Region810	chr3L	3885064	3885539	.	476	555	389	628	125	584	205	71	104	137	121	11	32	18	60	47
Region811	chr3L	3885833	3886293	.	461	600	357	653	132	583	187	81	93	122	148	8	24	21	84	44
Region812	chr3L	3888074	3889031	.	958	1341	633	1445	218	1253	439	145	144	354	276	22	71	26	92	96
