# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/K27ac.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/K27ac.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region973	chr2L	21178843	21179712	.	870	1011	1867	340	715	1393	789	116	213	386	339	27	73	42	195	124
Region974	chr2L	21179937	21180654	.	718	596	1589	211	306	628	749	120	191	338	380	35	61	41	146	98
Region975	chr2L	21218095	21218509	.	415	229	750	74	311	414	360	48	97	293	247	10	31	33	69	56
Region976	chr2L	21220002	21220555	.	554	384	701	137	362	898	418	84	143	265	348	11	45	30	129	102
Region977	chr2L	21221294	21221914	.	621	563	1981	206	626	1388	857	93	186	285	350	18	51	54	154	77
Region978	chr2L	21261189	21261853	.	665	546	1494	132	571	1083	640	107	181	367	376	21	49	45	168	100
Region979	chr2L	21262890	21263818	.	929	1125	2584	337	917	2841	1059	163	190	308	418	27	81	59	166	143
Region980	chr2L	21309574	21311449	.	1876	2355	4966	600	2257	5522	1982	262	454	596	835	47	104	99	350	204
Region981	chr2L	21344281	21346077	.	1797	963	2972	236	1465	3544	1274	260	452	610	804	48	138	82	314	220
Region982	chr2L	21557926	21558360	.	435	527	729	147	425	1101	297	65	116	202	257	27	39	30	114	74
Region983	chr2L	21573387	21574119	.	733	1247	2025	397	980	2964	966	114	213	199	348	29	61	43	147	91
Region984	chr2L	21617642	21618744	.	1103	876	2033	279	731	2007	1049	169	280	303	361	56	80	60	152	112
Region985	chr2L	21619074	21620247	.	1174	1205	2331	448	1101	3148	1272	195	322	294	419	30	62	60	187	133
Region986	chr2L	21621101	21622062	.	962	458	1195	107	471	1286	622	174	218	238	383	27	77	58	191	142
Region987	chr2L	21624254	21625193	.	940	820	1452	171	516	1666	683	134	249	166	241	27	57	48	124	99
Region988	chr2L	21628077	21631708	.	3632	4631	8915	1801	3882	11978	4126	519	940	951	1323	106	221	184	672	411
Region989	chr2L	21632278	21633973	.	1696	1220	3176	669	1805	4178	1472	256	430	690	841	58	138	109	425	227
Region990	chr2L	21657766	21659339	.	1574	1451	3389	398	1523	3464	1261	240	365	511	677	30	104	77	256	217
Region991	chr2L	21681160	21682126	.	967	994	3041	306	977	2656	1319	154	248	487	634	27	83	71	248	168
Region992	chr2L	21708396	21708845	.	450	429	666	96	235	688	264	75	108	70	131	10	33	24	57	39
Region993	chr2L	21748549	21748865	.	317	283	154	105	98	160	86	46	97	97	114	5	18	27	62	38
Region994	chr2L	21749420	21749715	.	296	226	126	100	59	82	79	33	57	63	85	7	22	23	35	25
Region995	chr2L	21751671	21751929	.	259	226	140	66	80	158	54	57	62	69	92	4	27	21	67	31
Region996	chr2L	21752538	21752808	.	271	263	141	88	83	210	88	65	80	70	130	6	17	24	59	28
Region997	chr2L	21753184	21753702	.	519	551	348	170	229	746	191	82	130	123	161	25	29	21	100	58
Region998	chr2L	21754408	21754663	.	256	308	322	64	133	432	148	35	105	43	78	5	16	11	35	32
Region999	chr2L	21755233	21755572	.	340	260	349	108	142	446	144	55	65	83	118	8	28	20	58	38
Region1000	chr2L	21756346	21758651	.	2306	2912	5100	890	2403	5902	2220	322	518	750	1063	83	159	140	424	286
Region1001	chr2L	21782497	21783071	.	575	193	278	31	828	1112	129	83	113	299	307	12	48	45	116	99
Region1002	chr2L	21829673	21829978	.	306	133	434	44	138	280	238	56	92	79	101	8	26	15	52	38
Region1003	chr2L	21830251	21830727	.	477	126	555	53	200	303	254	54	105	145	171	13	41	33	93	58
Region1004	chr2L	21841086	21843289	.	2204	741	2617	296	642	901	1304	300	429	774	857	37	130	124	329	268
Region1005	chr2L	21844005	21844690	.	686	278	725	120	205	370	426	102	162	161	282	29	42	29	107	90
Region1006	chr2L	21845231	21846550	.	1320	537	1713	278	826	1276	818	179	270	577	673	23	95	59	210	207
Region1007	chr2L	21846784	21847486	.	703	283	809	125	296	495	424	85	183	249	336	17	50	37	145	84
Region1008	chr2L	21848376	21849182	.	807	238	979	85	330	685	506	129	172	265	298	30	64	50	134	100
Region1009	chr2L	21849780	21850299	.	520	145	672	61	212	547	302	84	127	126	227	16	48	23	94	65
Region1010	chr2L	21850981	21851396	.	416	212	557	96	162	374	298	63	109	119	149	8	39	31	67	54
Region1011	chr2L	21851829	21852220	.	392	187	443	78	127	264	283	57	111	101	121	6	23	18	45	39
Region1012	chr2L	21853871	21854432	.	562	281	763	151	182	441	429	77	174	113	171	10	34	27	91	55
Region1013	chr2L	21854693	21855969	.	1277	717	1592	319	519	1100	881	183	319	340	468	32	76	69	190	127
Region1014	chr2L	21856640	21857192	.	553	148	591	52	155	459	326	78	119	114	162	20	37	26	71	55
Region1015	chr2L	21869176	21869599	.	424	104	492	21	247	297	250	70	95	212	250	5	18	21	64	62
Region1016	chr2L	21875605	21876878	.	1274	386	1476	174	585	1195	739	177	268	423	490	33	93	59	204	138
Region1017	chr2L	21878505	21879579	.	1075	445	1157	138	634	1173	579	154	234	466	568	47	82	65	184	127
Region1018	chr2L	22113908	22114153	.	246	454	373	80	198	686	192	50	79	64	87	17	27	22	48	24
Region1019	chr2L	22114902	22115368	.	467	421	449	91	180	681	210	64	108	101	141	9	18	20	63	56
Region1020	chr2L	22120706	22122323	.	1618	1532	2982	395	1325	3192	1166	210	350	431	606	31	98	95	244	152
Region1021	chr2L	22129250	22131114	.	1865	1496	3698	405	1426	3407	1460	253	441	492	862	43	108	97	271	164
Region1022	chr2L	22131379	22131857	.	479	299	687	105	358	864	321	82	122	133	270	9	45	21	105	48
Region1023	chr2L	22134277	22134802	.	526	427	680	153	436	1264	352	102	146	156	280	24	33	40	79	58
Region1024	chr2L	22148304	22149928	.	1625	886	2079	196	878	2497	907	226	371	454	808	33	104	104	249	208
Region1025	chr2L	22150608	22152476	.	1869	1100	2550	344	1449	3446	1036	272	450	587	851	59	128	128	304	226
Region1026	chr2L	22168195	22169641	.	1447	1168	3119	357	997	2883	1347	211	350	378	653	35	72	89	197	149
Region1027	chr2L	22239112	22240559	.	1448	1112	3368	359	1202	3351	1464	194	344	440	672	40	97	89	268	174
Region1028	chr2L	22247131	22247898	.	768	836	2023	225	770	1848	942	113	191	291	438	27	67	69	166	114
Region1029	chr2L	22248613	22249216	.	604	290	872	29	207	472	313	105	142	60	120	17	19	18	34	29
Region1030	chr2L	22249421	22250403	.	983	988	2135	202	670	1767	820	132	269	206	363	20	61	46	112	109
Region1031	chr2L	22261350	22261648	.	299	312	106	57	132	158	36	40	33	200	56	2	21	16	44	29
Region1032	chr2L	22536076	22536611	.	536	353	1032	110	358	915	475	83	150	209	386	16	32	35	111	67
Region1033	chr2L	22536928	22539351	.	2424	1482	4493	436	1659	4302	1832	356	519	648	1220	67	152	175	384	259
Region1034	chr2L	22550092	22551076	.	985	918	2324	280	1092	2937	1022	177	236	360	602	53	62	80	191	141
Region1035	chr2L	22569852	22570414	.	563	0	958	59	358	1080	404	87	131	196	197	6	48	24	49	71
Region1036	chr2L	22574565	22575027	.	463	170	537	46	226	668	256	67	120	178	209	10	45	31	90	56
Region1037	chr2L	22577409	22580120	.	2712	2419	5849	586	2070	6622	2368	392	647	557	1031	61	163	134	358	263
Region1038	chr2L	22923861	22924314	.	454	194	650	58	206	509	310	78	112	174	290	17	47	42	102	62
Region1039	chr2L	22924553	22925319	.	767	452	1500	153	424	1212	654	91	202	151	328	19	37	35	92	95
Region1040	chr2L	22981792	22982743	.	952	1059	2627	344	1443	3439	1185	158	242	323	619	29	68	68	155	134
Region1041	chr2L	23067746	23069483	.	1738	803	3489	221	1017	2699	1451	232	385	344	701	48	105	100	226	180
Region1042	chr2L	23164415	23165641	.	1227	273	1458	85	509	1579	598	154	273	260	329	27	86	43	98	127
Region1043	chr2L	23172995	23174553	.	1559	1898	3181	429	1294	4128	1450	216	379	306	612	45	90	87	199	149
Region1044	chr2L	23176273	23176616	.	344	262	678	81	208	590	305	60	94	105	148	15	21	18	43	36
Region1045	chr2L	23312887	23313651	.	765	645	2215	139	564	1653	874	99	197	223	338	33	60	43	110	76
Region1046	chr2L	23314126	23315808	.	1683	786	2003	215	805	1885	889	244	348	446	830	57	119	112	259	183
Region1047	chr2R	86691	87435	.	745	923	2282	274	1027	3116	897	213	333	244	472	30	65	51	138	125
Region1048	chr2R	342900	343292	.	393	134	287	34	246	432	122	68	94	137	159	5	17	19	55	37
Region1049	chr2R	1070621	1072929	.	2309	2596	6226	496	1926	5280	2275	309	541	420	828	60	116	115	256	213
Region1050	chr2R	1210802	1211053	.	252	154	337	66	232	666	170	61	93	81	196	16	12	22	61	38
Region1051	chr2R	1215077	1215526	.	450	230	548	111	340	1078	236	81	132	110	294	19	27	30	83	65
Region1052	chr2R	1241751	1242049	.	299	124	194	23	215	384	94	42	63	91	140	4	14	17	41	30
Region1053	chr2R	1264045	1265233	.	1189	1139	3060	261	1062	3019	1266	186	276	287	486	32	65	59	182	125
Region1054	chr2R	1344413	1346258	.	1846	920	3241	309	928	2504	1422	236	368	456	908	44	119	121	269	191
Region1055	chr2R	1589328	1589791	.	464	68	816	26	178	432	334	98	136	195	210	16	48	31	107	99
Region1056	chr2R	1590107	1591175	.	1069	366	2685	146	710	2006	1127	237	356	333	408	53	81	63	112	160
Region1057	chr2R	2023395	2023745	.	351	329	465	92	405	921	211	110	181	256	454	25	53	60	120	112
Region1058	chr2R	2027308	2027722	.	415	390	810	130	380	943	376	151	213	311	482	24	74	60	129	119
Region1059	chr2R	2118629	2118933	.	305	106	453	38	152	546	218	57	76	80	102	3	19	14	42	35
Region1060	chr2R	2564133	2565404	.	1272	1310	3008	185	1162	3365	1134	167	322	351	451	41	87	61	135	153
Region1061	chr2R	2770882	2771217	.	336	205	548	56	183	462	256	48	88	80	151	12	18	24	51	53
Region1062	chr2R	2846241	2846714	.	474	426	882	88	320	859	400	73	128	86	169	12	28	21	60	62
Region1063	chr2R	2847228	2848418	.	1191	824	1571	172	511	1154	657	160	229	231	424	29	62	65	151	94
Region1064	chr2R	2856587	2856867	.	281	247	454	69	161	470	192	38	68	53	103	4	17	16	39	28
Region1065	chr2R	2945961	2946781	.	821	392	1128	70	281	586	440	88	167	221	355	27	52	48	122	101
Region1066	chr2R	2952940	2953484	.	545	325	679	69	178	540	303	74	129	105	206	17	28	29	74	52
Region1067	chr2R	2995014	2995157	.	144	126	227	86	245	751	108	36	67	52	100	7	14	13	30	26
Region1068	chr2R	3000829	3001305	.	477	244	665	27	167	385	318	81	182	108	249	21	33	28	52	53
Region1069	chr2R	3002794	3003151	.	358	524	1111	145	562	1779	387	108	187	99	246	13	17	23	45	31
Region1070	chr2R	3007119	3007737	.	619	393	948	143	444	1193	393	123	199	290	560	47	68	65	157	152
Region1071	chr2R	3080768	3081129	.	362	301	657	84	378	972	253	100	149	132	303	9	35	38	79	76
Region1072	chr2R	3383863	3384162	.	300	288	782	103	366	712	282	101	124	227	479	11	41	42	135	75
Region1073	chr2R	3500933	3501909	.	977	911	2165	306	1358	3835	770	249	342	278	605	35	77	68	125	121
Region1074	chr2R	3502550	3502839	.	290	296	640	81	376	755	269	82	125	157	260	14	38	34	64	56
Region1075	chr2R	3942195	3943664	.	1470	1959	3545	379	1312	4130	1424	202	392	266	446	55	80	57	160	146
Region1076	chr2R	3998244	3998475	.	232	282	363	138	226	584	149	37	64	76	102	12	7	17	50	25
Region1077	chr2R	4011796	4012355	.	560	347	759	87	222	774	350	90	150	135	207	17	31	31	83	71
Region1078	chr2R	4012854	4014928	.	2075	2109	4980	502	1829	6011	2056	266	494	371	672	67	110	95	217	183
Region1079	chr2R	4123352	4124681	.	1330	757	1960	125	509	1354	862	271	399	389	530	61	118	91	162	171
Region1080	chr2R	4130580	4131658	.	1079	750	2716	204	697	2252	1163	158	241	297	501	29	58	62	162	124
Region1081	chr2R	4187557	4188066	.	510	330	995	87	278	838	430	77	137	125	183	29	36	31	62	57
Region1082	chr2R	4188769	4189455	.	687	220	818	91	362	803	406	86	155	178	297	19	68	35	105	88
Region1083	chr2R	4221101	4221289	.	189	114	438	20	77	178	234	59	93	39	119	2	15	19	35	31
Region1084	chr2R	4242248	4243844	.	1597	991	2759	267	902	2440	1252	230	359	341	569	41	91	80	207	169
Region1085	chr2R	4309411	4309888	.	478	176	677	39	155	382	271	60	130	141	255	21	35	16	70	58
Region1086	chr2R	4418980	4419684	.	705	1206	1950	351	1025	3329	770	164	211	196	354	18	62	31	96	98
Region1087	chr2R	4470555	4472178	.	1624	1346	4079	287	1117	2875	1474	233	379	388	753	33	67	78	170	124
Region1088	chr2R	4515687	4518977	.	3291	2698	6667	663	1938	5850	2748	467	736	714	1270	118	208	163	452	362
Region1089	chr2R	4544170	4547875	.	3706	2265	6240	581	2085	5569	2696	518	875	940	1688	119	251	199	529	431
Region1090	chr2R	4593267	4594529	.	1263	1155	1819	326	936	2681	826	164	273	291	522	37	78	79	168	145
Region1091	chr2R	4594781	4596294	.	1514	1543	3405	387	1189	3628	1389	234	399	248	427	43	50	70	135	130
Region1092	chr2R	4618105	4620096	.	1992	2212	5595	647	1886	6304	2299	272	414	444	724	26	123	113	317	192
Region1093	chr2R	4670344	4672885	.	2542	1327	4787	351	1317	3984	2126	365	606	558	890	68	166	135	352	231
Region1094	chr2R	4728200	4730346	.	2147	1551	4043	369	1205	3000	1628	307	504	493	823	78	122	110	279	267
Region1095	chr2R	4742970	4743505	.	536	78	685	25	68	226	272	73	121	77	102	10	23	15	34	47
Region1096	chr2R	4744213	4745244	.	1032	675	2367	143	480	1402	1007	145	252	140	297	32	37	39	87	74
Region1097	chr2R	4782963	4783560	.	598	240	1031	119	469	835	428	77	133	266	375	27	46	46	126	91
Region1098	chr2R	4788203	4789811	.	1609	1289	3041	322	982	2737	1314	208	380	312	567	49	79	61	186	152
Region1099	chr2R	4823465	4824342	.	878	782	2244	163	619	1987	984	121	200	162	324	18	52	39	110	78
Region1100	chr2R	4824563	4825554	.	992	585	1617	158	549	1280	665	142	213	259	368	20	44	49	120	80
Region1101	chr2R	4827755	4830113	.	2359	1005	4599	264	1486	4302	2010	446	752	639	834	48	191	102	234	331
Region1102	chr2R	5089802	5091993	.	2192	2070	4890	601	2054	5788	1963	295	527	536	886	54	130	103	344	235
Region1103	chr2R	5121352	5122891	.	1540	1447	3733	315	1223	3042	1489	261	385	318	575	29	114	87	237	167
Region1104	chr2R	5126840	5129988	.	3149	2427	5129	487	2025	5018	2316	470	776	712	1221	88	171	164	324	317
Region1105	chr2R	5144640	5145500	.	861	617	1344	140	575	1436	637	117	189	124	264	22	46	32	71	58
Region1106	chr2R	5250249	5251061	.	813	579	1864	146	322	1149	805	112	214	124	207	27	50	34	80	83
Region1107	chr2R	5259656	5260439	.	784	669	1144	168	703	1987	501	115	182	119	270	18	32	31	77	56
Region1108	chr2R	5292581	5295089	.	2509	2010	5444	525	1822	5529	2168	356	533	599	918	63	157	113	343	252
Region1109	chr2R	5305458	5306322	.	865	553	1231	164	761	1291	491	115	212	383	551	21	84	60	158	122
Region1110	chr2R	5307288	5307994	.	707	605	1637	109	497	1411	761	106	196	166	314	22	39	25	63	64
Region1111	chr2R	5340282	5341770	.	1489	882	3124	295	828	2804	1403	205	352	265	498	47	98	81	206	133
Region1112	chr2R	5350251	5351498	.	1248	795	2604	245	797	2277	1097	175	278	279	446	35	74	74	223	136
Region1113	chr2R	5353981	5355006	.	1026	794	1828	258	1005	2428	870	128	262	370	580	24	79	74	229	137
Region1114	chr2R	5358399	5360252	.	1854	698	2573	185	1076	3252	992	262	430	343	533	38	100	77	204	163
Region1115	chr2R	5362265	5363143	.	879	714	2055	158	506	1506	842	121	225	171	291	26	57	44	137	94
Region1116	chr2R	5363488	5364348	.	861	625	1622	140	534	1733	698	117	194	192	283	16	59	48	86	100
Region1117	chr2R	5371383	5371603	.	221	156	280	83	205	798	118	27	43	29	63	5	12	9	20	18
Region1118	chr2R	5371867	5372163	.	297	215	435	90	309	946	179	76	124	91	131	12	23	13	54	39
Region1119	chr2R	5415394	5417964	.	2571	1294	3792	282	1083	2788	1790	376	619	408	669	62	103	105	216	232
Region1120	chr2R	5604364	5604793	.	430	214	638	38	148	422	302	69	97	78	153	7	30	17	42	44
Region1121	chr2R	5651808	5654486	.	2679	2489	6411	635	2080	5949	2622	389	619	706	1147	57	176	134	468	318
Region1122	chr2R	5662423	5664868	.	2446	2461	5573	619	2248	5966	2356	361	633	592	1019	66	122	113	351	275
Region1123	chr2R	5670250	5672594	.	2345	1777	4798	460	1673	4909	2019	307	507	597	884	58	124	108	348	279
Region1124	chr2R	5697874	5698802	.	929	598	1844	195	710	1807	822	137	193	328	378	23	73	49	167	109
Region1125	chr2R	5701484	5702621	.	1138	644	1821	224	626	1966	793	157	281	263	424	31	86	67	198	139
Region1126	chr2R	5754597	5754812	.	216	132	340	62	118	229	164	40	56	153	165	8	28	16	69	36
Region1127	chr2R	5759958	5760483	.	526	364	1087	76	347	638	434	89	133	299	257	12	45	33	135	59
Region1128	chr2R	5760899	5761373	.	475	377	1163	145	446	883	530	86	119	257	341	6	46	27	117	72
Region1129	chr2R	5937484	5938516	.	1033	1529	1499	485	932	1522	616	140	210	411	514	9	56	61	167	93
Region1130	chr2R	5938779	5939329	.	551	481	774	188	264	472	338	78	125	199	251	7	33	36	99	83
Region1131	chr2R	5967346	5967736	.	391	303	670	82	242	736	291	58	108	86	147	10	28	18	67	60
Region1132	chr2R	5973786	5974388	.	603	577	1607	141	603	1138	737	92	166	309	343	16	53	30	118	84
Region1133	chr2R	5980069	5982595	.	2527	2363	5782	578	2011	5212	2190	344	555	919	1094	71	186	111	378	284
Region1134	chr2R	6015128	6015617	.	490	498	1028	215	602	1147	472	86	124	218	253	18	42	25	127	76
Region1135	chr2R	6017806	6018151	.	346	225	555	63	220	364	252	45	85	203	213	10	26	22	78	51
Region1136	chr2R	6036049	6036677	.	629	574	929	164	659	1232	482	72	143	265	358	15	36	33	142	93
Region1137	chr2R	6042685	6043063	.	379	234	801	75	250	623	387	68	94	158	181	11	30	24	97	58
Region1138	chr2R	6076005	6077356	.	1352	807	2070	233	712	2055	847	176	325	444	536	36	101	79	251	180
Region1139	chr2R	6084917	6086148	.	1232	1461	2727	357	927	2705	1140	169	322	383	348	4	84	43	200	154
Region1140	chr2R	6131281	6131802	.	522	133	631	42	201	413	328	86	145	144	214	9	31	21	99	73
Region1141	chr2R	6132328	6133689	.	1362	657	1999	261	896	1585	1089	202	320	518	710	33	101	62	252	195
Region1142	chr2R	6134617	6135218	.	602	164	756	74	315	520	371	82	164	272	297	16	41	33	109	77
Region1143	chr2R	6193229	6195991	.	2763	608	4392	312	3232	7285	2168	416	620	801	957	64	179	139	530	372
Region1144	chr2R	6196759	6199011	.	2253	440	3618	209	1408	3312	1841	310	550	616	688	53	154	112	341	277
Region1145	chr2R	6199296	6201914	.	2619	756	4205	258	1772	3741	1893	363	577	779	953	68	143	113	378	320
Region1146	chr2R	6202443	6203298	.	856	157	928	49	406	529	438	118	163	543	265	19	57	40	127	120
Region1147	chr2R	6213642	6214040	.	399	212	685	61	254	534	271	66	108	254	251	12	38	30	101	75
Region1148	chr2R	6214271	6215316	.	1046	834	1585	237	773	1877	755	164	263	308	330	27	85	56	175	142
Region1149	chr2R	6219531	6219918	.	388	263	373	132	192	543	184	62	121	112	148	7	17	20	72	42
Region1150	chr2R	6221083	6222186	.	1104	1045	1870	365	927	2877	897	167	264	312	390	31	103	57	214	120
Region1151	chr2R	6351114	6351476	.	363	217	652	39	572	1380	299	134	230	417	458	27	80	70	163	150
Region1152	chr2R	6439643	6440466	.	824	981	2173	278	982	3060	848	250	361	255	557	29	77	55	123	133
Region1153	chr2R	6459957	6460463	.	507	199	1008	65	278	647	454	131	198	233	333	19	41	40	103	76
Region1154	chr2R	6511842	6512377	.	536	294	691	85	331	709	389	92	140	124	144	9	36	27	79	61
Region1155	chr2R	6513156	6514553	.	1398	539	3062	207	1335	2400	1388	184	298	558	570	35	98	86	240	180
Region1156	chr2R	6514782	6518380	.	3599	1701	7270	662	4102	7589	3446	477	793	1251	1404	95	212	172	630	446
Region1157	chr2R	6526801	6527749	.	949	154	1493	49	503	697	681	146	229	351	334	17	71	47	126	120
Region1158	chr2R	6570867	6573159	.	2293	615	4115	280	1385	2204	1978	308	506	855	1016	55	177	123	381	292
Region1159	chr2R	6573602	6576483	.	2882	994	4369	478	1691	2482	2052	394	650	1288	1269	97	218	146	500	349
Region1160	chr2R	6577689	6578235	.	547	93	613	24	202	311	252	74	96	249	288	19	45	30	102	74
Region1161	chr2R	6585329	6585740	.	412	106	541	45	191	288	247	53	98	141	157	17	38	20	66	38
Region1162	chr2R	6594522	6594988	.	467	189	482	72	279	483	291	71	100	136	206	13	28	18	77	46
Region1163	chr2R	6599609	6602073	.	2465	575	3173	198	1591	2724	1524	353	562	870	1004	63	186	154	437	315
Region1164	chr2R	6602343	6603102	.	760	152	964	43	468	671	491	118	160	281	304	11	59	40	125	102
Region1165	chr2R	6603323	6603923	.	601	128	764	50	328	747	414	98	172	164	186	33	48	22	102	76
Region1166	chr2R	6610525	6612881	.	2357	1099	4218	521	1202	2461	2056	336	598	728	973	59	173	98	395	256
Region1167	chr2R	6613240	6613538	.	299	104	452	51	85	257	262	51	93	60	95	6	15	10	28	36
Region1168	chr2R	6613801	6614277	.	477	276	698	64	215	433	298	79	125	238	121	12	38	23	74	46
Region1169	chr2R	6632020	6632341	.	322	239	640	85	222	570	322	58	81	104	134	8	23	16	72	44
Region1170	chr2R	6632697	6633125	.	429	298	644	109	329	959	289	68	102	156	172	15	31	35	108	64
Region1171	chr2R	6635606	6637152	.	1547	1912	4241	525	1650	3351	1743	216	310	738	642	25	116	76	289	204
Region1172	chr2R	6653235	6653690	.	456	303	903	76	264	538	378	49	103	266	231	8	45	25	89	65
Region1173	chr2R	6655655	6656406	.	752	722	2418	279	718	1183	1086	111	176	556	425	23	65	49	173	119
Region1174	chr2R	6661388	6664225	.	2838	4038	8952	1357	4626	8913	3976	369	630	1330	1268	96	179	135	540	369
Region1175	chr2R	6668166	6669589	.	1424	1573	2916	418	1798	3791	1361	207	328	557	650	41	109	89	275	204
Region1176	chr2R	6672808	6674268	.	1461	1257	3477	279	1349	2850	1413	184	350	651	636	37	108	77	298	253
Region1177	chr2R	6675356	6676267	.	912	580	1603	115	561	1226	702	132	235	304	355	32	72	45	156	130
Region1178	chr2R	6695975	6697440	.	1466	1389	4046	349	1477	2964	1730	209	334	821	726	47	122	80	299	228
Region1179	chr2R	6741937	6742379	.	443	423	983	118	421	865	391	73	108	220	174	4	35	25	111	65
Region1180	chr2R	6746430	6746859	.	430	231	721	77	323	676	349	72	105	232	190	16	45	18	73	75
Region1181	chr2R	6749234	6750334	.	1101	800	2663	370	1237	2829	1207	138	254	494	419	16	72	63	209	136
Region1182	chr2R	6756622	6757265	.	644	648	1226	167	539	1292	584	99	154	271	279	15	49	29	156	79
Region1183	chr2R	6807662	6808059	.	398	337	645	81	502	804	265	56	92	180	127	17	29	16	70	47
Region1184	chr2R	6809371	6812149	.	2779	2590	5892	789	2882	6520	2505	359	592	953	1075	96	199	140	501	341
Region1185	chr2R	6812809	6813974	.	1166	1189	1631	334	1073	2122	694	153	230	569	513	19	103	50	237	145
Region1186	chr2R	6872270	6872695	.	426	447	933	150	411	842	412	68	106	183	163	6	38	24	79	34
Region1187	chr2R	6923380	6923761	.	382	215	676	82	339	535	303	68	86	208	165	6	35	21	74	73
Region1188	chr2R	6971283	6971589	.	307	173	477	75	204	455	246	56	71	124	145	10	38	14	67	55
Region1189	chr2R	6974568	6975123	.	556	446	1275	101	477	1088	568	76	149	265	199	21	31	31	77	64
Region1190	chr2R	6985028	6986584	.	1557	1184	3138	359	1234	2355	1301	225	348	688	505	42	115	81	255	186
Region1191	chr2R	6992953	6993334	.	382	152	584	54	205	335	255	73	71	233	108	14	31	19	69	50
Region1192	chr2R	7012318	7012765	.	448	305	559	106	529	893	256	72	126	254	245	11	25	28	88	64
Region1193	chr2R	7277495	7279302	.	1808	1700	5653	395	1384	2529	2278	258	410	892	527	29	128	73	266	216
Region1194	chr2R	7379496	7380544	.	1049	303	1287	152	379	754	587	160	246	279	297	29	76	40	160	136
Region1195	chr2R	7380933	7381814	.	882	442	2370	174	895	2112	1217	126	261	352	429	27	65	33	163	115
Region1196	chr2R	7386659	7387953	.	1295	1033	2987	264	931	1824	1304	182	309	720	566	31	89	65	245	195
